name	ID	manual	auto	checked	blacklisted	is_obsolete
myofilament	GO_0036379	1	1	1	0	0
myofibril	GO_0030016	1	1	1	0	0
myofibril assembly	GO_0030239	1	0	1	0	0
adult visceral muscle development	GO_0007524	1	0	1	0	0
adult somatic muscle development	GO_0007527	1	0	1	0	0
voltage-gated sodium channel activity involved in cardiac muscle cell action potential	GO_0086006	0	1	1	1	0
voltage-gated sodium channel activity involved in bundle of His cell action potential	GO_0086061	0	1	1	1	0
voltage-gated sodium channel activity involved in SA node cell action potential	GO_0086063	0	1	1	1	0
voltage-gated sodium channel activity involved in Purkinje myocyte action potential	GO_0086062	0	1	1	1	0
voltage-gated sodium channel activity involved in AV node cell action potential	GO_0086060	0	1	1	1	0
voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization	GO_1902282	0	1	1	1	0
voltage-gated potassium channel activity involved in cardiac muscle cell action potential repolarization	GO_0086008	0	1	1	1	0
voltage-gated potassium channel activity involved in bundle of His cell action potential repolarization	GO_0086087	0	1	1	1	0
voltage-gated potassium channel activity involved in atrial cardiac muscle cell action potential repolarization	GO_0086089	0	1	1	1	0
voltage-gated potassium channel activity involved in SA node cell action potential repolarization	GO_0086090	0	1	1	1	0
voltage-gated potassium channel activity involved in SA node cell action potential depolarization	GO_0086041	0	1	1	1	0
voltage-gated potassium channel activity involved in Purkinje myocyte action potential repolarization	GO_0086088	0	1	1	1	0
voltage-gated potassium channel activity involved in AV node cell action potential repolarization	GO_0086086	0	1	1	1	0
voltage-gated calcium channel activity involved in cardiac muscle cell action potential	GO_0086007	0	1	1	1	0
voltage-gated calcium channel activity involved in bundle of His cell action potential	GO_0086057	0	1	1	1	0
voltage-gated calcium channel activity involved in Purkinje myocyte cell action potential	GO_0086058	0	1	1	1	0
voltage-gated calcium channel activity involved in AV node cell action potential	GO_0086056	0	1	1	1	0
voltage-gated calcium channel activity involved SA node cell action potential	GO_0086059	0	1	1	1	0
ventricular cardiac muscle cell fate commitment	GO_0060925	0	1	1	0	0
ventricular cardiac muscle cell differentiation	GO_0055012	0	1	1	0	0
ventricular cardiac muscle cell development	GO_0055015	0	1	1	0	0
ventricular cardiac muscle cell action potential	GO_0086005	0	1	1	0	0
vascular smooth muscle cell fate specification	GO_0097082	0	1	1	0	0
vascular smooth muscle cell fate determination	GO_0097083	0	1	1	0	0
vascular smooth muscle cell fate commitment	GO_0097081	0	1	1	0	0
vascular smooth muscle cell differentiation	GO_0035886	0	1	1	0	0
vascular smooth muscle cell development	GO_0097084	0	1	1	0	0
ureter smooth muscle cell differentiation	GO_0072193	0	1	1	0	0
troponin complex	GO_0005861	0	1	1	0	0
tongue muscle cell differentiation	GO_0035981	0	1	1	0	0
terminal cisterna lumen	GO_0014804	0	1	1	0	0
terminal cisterna	GO_0014802	0	1	1	0	0
striated muscle thin filament	GO_0005865	0	1	1	0	0
striated muscle myosin thick filament	GO_0005863	0	1	1	0	0
striated muscle dense body	GO_0055120	0	1	1	0	0
striated muscle cell proliferation	GO_0014855	0	1	1	0	0
striated muscle cell differentiation	GO_0051146	0	1	1	0	0
striated muscle cell development	GO_0055002	0	1	1	0	0
striated muscle cell apoptotic process	GO_0010658	0	1	1	0	0
stretch-activated, cation-selective, calcium channel activity involved in regulation of cardiac muscle cell action potential	GO_0097365	0	1	1	0	0
smooth muscle dense body	GO_0030486	0	1	1	0	0
smooth muscle contractile fiber	GO_0030485	0	1	1	0	0
smooth muscle cell proliferation	GO_0048659	0	1	1	0	0
smooth muscle cell migration	GO_0014909	0	1	1	0	0
smooth muscle cell differentiation involved in prostate glandular acinus development	GO_0060530	0	1	1	0	0
smooth muscle cell differentiation	GO_0051145	0	1	1	0	0
smooth muscle cell chemotaxis	GO_0071670	0	1	1	0	0
smooth muscle cell apoptotic process	GO_0034390	0	1	1	0	0
skeletal muscle satellite cell proliferation	GO_0014841	0	1	1	0	0
skeletal muscle myofibril	GO_0098723	0	1	1	0	0
skeletal muscle fiber differentiation	GO_0098528	0	1	1	0	0
skeletal muscle fiber development	GO_0048741	0	1	1	0	0
skeletal muscle cell proliferation	GO_0014856	0	1	1	0	0
sinoatrial node cell fate commitment	GO_0060930	0	1	1	1	0
sinoatrial node cell differentiation	GO_0060921	0	1	1	1	0
