name	ID	manual	auto	checked	blacklisted
smooth muscle cell chemotaxis	GO_0071670	0	1	0	0
myoblast migration	GO_0051451	0	1	0	0
muscle cell chemotaxis toward tendon cell	GO_0036061	0	1	0	0
smooth muscle cell proliferation	GO_0048659	0	1	0	0
muscle cell migration	GO_0014812	0	1	0	0
myoblast migration involved in skeletal muscle regeneration	GO_0014839	0	1	0	0
cardiac muscle cell proliferation	GO_0060038	0	1	0	0
skeletal muscle cell proliferation	GO_0014856	0	1	0	0
muscle cell proliferation	GO_0033002	0	1	0	0
smooth muscle cell migration	GO_0014909	0	1	0	0
striated muscle cell proliferation	GO_0014855	0	1	0	0
