name	ID	manual	auto	checked	blacklisted	is_obsolete
neuronal action potential	GO_0019228	1	1	1	0	0
action potential	GO_0001508	1	1	1	0	0
voltage-gated sodium channel activity involved in cardiac muscle cell action potential	GO_0086006	0	1	0	0	0
voltage-gated sodium channel activity involved in bundle of His cell action potential	GO_0086061	0	1	0	0	0
voltage-gated sodium channel activity involved in SA node cell action potential	GO_0086063	0	1	0	0	0
voltage-gated sodium channel activity involved in Purkinje myocyte action potential	GO_0086062	0	1	0	0	0
voltage-gated sodium channel activity involved in AV node cell action potential	GO_0086060	0	1	0	0	0
voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization	GO_1902282	0	1	0	0	0
voltage-gated potassium channel activity involved in cardiac muscle cell action potential repolarization	GO_0086008	0	1	0	0	0
voltage-gated potassium channel activity involved in bundle of His cell action potential repolarization	GO_0086087	0	1	0	0	0
voltage-gated potassium channel activity involved in atrial cardiac muscle cell action potential repolarization	GO_0086089	0	1	0	0	0
voltage-gated potassium channel activity involved in SA node cell action potential repolarization	GO_0086090	0	1	0	0	0
voltage-gated potassium channel activity involved in SA node cell action potential depolarization	GO_0086041	0	1	0	0	0
voltage-gated potassium channel activity involved in Purkinje myocyte action potential repolarization	GO_0086088	0	1	0	0	0
voltage-gated potassium channel activity involved in AV node cell action potential repolarization	GO_0086086	0	1	0	0	0
voltage-gated calcium channel activity involved in cardiac muscle cell action potential	GO_0086007	0	1	0	0	0
voltage-gated calcium channel activity involved in bundle of His cell action potential	GO_0086057	0	1	0	0	0
voltage-gated calcium channel activity involved in Purkinje myocyte cell action potential	GO_0086058	0	1	0	0	0
voltage-gated calcium channel activity involved in AV node cell action potential	GO_0086056	0	1	0	0	0
voltage-gated calcium channel activity involved SA node cell action potential	GO_0086059	0	1	0	0	0
ventricular cardiac muscle cell action potential	GO_0086005	0	1	0	0	0
stretch-activated, cation-selective, calcium channel activity involved in regulation of cardiac muscle cell action potential	GO_0097365	0	1	0	0	0
stretch-activated, cation-selective, calcium channel activity involved in regulation of action potential	GO_0097364	0	1	0	0	0
regulation of voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization	GO_1903760	0	1	0	0	0
regulation of ventricular cardiac muscle cell action potential	GO_0098911	0	1	0	0	0
regulation of skeletal muscle contraction via regulation of action potential	GO_0014861	0	1	0	0	0
regulation of neuronal action potential	GO_0098908	0	1	0	0	0
regulation of membrane repolarization during action potential	GO_0098903	0	1	0	0	0
regulation of membrane depolarization during cardiac muscle cell action potential	GO_1900825	0	1	0	0	0
regulation of membrane depolarization during action potential	GO_0098902	0	1	0	0	0
regulation of cardiac muscle cell action potential involved in regulation of contraction	GO_0098909	0	1	0	0	0
regulation of cardiac muscle cell action potential	GO_0098901	0	1	0	0	0
regulation of bundle of His cell action potential	GO_0098905	0	1	0	0	0
regulation of atrial cardiac muscle cell action potential	GO_0098910	0	1	0	0	0
regulation of action potential	GO_0098900	0	1	0	0	0
regulation of SA node cell action potential	GO_0098907	0	1	0	0	0
regulation of Purkinje myocyte action potential	GO_0098906	0	1	0	0	0
regulation of AV node cell action potential	GO_0098904	0	1	0	0	0
positive regulation of voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization	GO_1903762	0	1	0	0	0
positive regulation of membrane depolarization during cardiac muscle cell action potential	GO_1900827	0	1	0	0	0
positive regulation of action potential	GO_0045760	0	1	0	0	0
peripheral nervous system non-myelinated axon ensheathment	GO_0032294	0	1	0	0	0
peripheral nervous system axon ensheathment	GO_0032292	0	1	0	0	0
non-myelinated axon ensheathment in central nervous system	GO_0032293	0	1	0	0	0
non-myelinated axon ensheathment	GO_0032285	0	1	0	0	0
negative regulation of voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization	GO_1903761	0	1	0	0	0
negative regulation of membrane depolarization during cardiac muscle cell action potential	GO_1900826	0	1	0	0	0
negative regulation of action potential	GO_0045759	0	1	0	0	0
myelination of posterior lateral line nerve axons	GO_0048932	0	1	0	0	0
myelination of lateral line nerve axons	GO_0048897	0	1	0	0	0
myelination of anterior lateral line nerve axons	GO_0048914	0	1	0	0	0
myelination in peripheral nervous system	GO_0022011	0	1	0	0	0
myelination	GO_0042552	0	1	0	0	0
membrane repolarization during ventricular cardiac muscle cell action potential	GO_0098915	0	1	0	0	0
membrane repolarization during cardiac muscle cell action potential	GO_0086013	0	1	0	0	0
membrane repolarization during bundle of His cell action potential	GO_0086050	0	1	0	0	0
membrane repolarization during atrial cardiac muscle cell action potential	GO_0098914	0	1	0	0	0
membrane repolarization during action potential	GO_0086011	0	1	0	0	0
membrane repolarization during SA node cell action potential	GO_0086052	0	1	0	0	0
membrane repolarization during Purkinje myocyte action potential	GO_0086051	0	1	0	0	0
membrane repolarization during AV node cell action potential	GO_0086049	0	1	0	0	0
membrane depolarization during ventricular cardiac muscle cell action potential	GO_0098913	0	1	0	0	0
membrane depolarization during cardiac muscle cell action potential	GO_0086012	0	1	0	0	0
membrane depolarization during bundle of His cell action potential	GO_0086048	0	1	0	0	0
membrane depolarization during atrial cardiac muscle cell action potential	GO_0098912	0	1	0	0	0
membrane depolarization during action potential	GO_0086010	0	1	0	0	0
membrane depolarization during SA node cell action potential	GO_0086046	0	1	0	0	0
