name	ID	manual	auto	checked	blacklisted	is_obsolete
vagus nerve structural organization	GO_0021645	1	1	1	0	0
vagus nerve morphogenesis	GO_0021644	1	1	1	0	0
vagus nerve maturation	GO_0021643	1	1	1	0	0
vagus nerve formation	GO_0021646	1	1	1	0	0
vagus nerve development	GO_0021564	1	1	1	0	0
trochlear nerve structural organization	GO_0021641	1	1	1	0	0
trochlear nerve morphogenesis	GO_0021639	1	1	1	0	0
trochlear nerve maturation	GO_0021640	1	1	1	0	0
trochlear nerve formation	GO_0021642	1	1	1	0	0
trochlear nerve development	GO_0021558	1	1	1	0	0
trigeminothalamic tract morphogenesis	GO_0021974	1	1	1	0	0
trigeminal sensory nucleus development	GO_0021730	1	1	1	0	0
trigeminal nerve structural organization	GO_0021637	1	1	1	0	0
trigeminal nerve morphogenesis	GO_0021636	1	1	1	0	0
trigeminal nerve maturation	GO_0021635	1	1	1	0	0
trigeminal nerve formation	GO_0021638	1	1	1	0	0
trigeminal nerve development	GO_0021559	1	1	1	0	0
trigeminal motor nucleus development	GO_0021731	1	1	1	0	0
sympathetic nervous system development	GO_0048485	1	1	1	0	0
symmetric neuroblast division	GO_0055058	1	1	1	0	0
striatal medium spiny neuron differentiation	GO_0021773	1	1	1	0	0
stomatogastric nervous system development	GO_0007421	1	1	1	0	0
regulation of dendritic spine morphogenesis	GO_0061001	1	1	1	0	0
regulation of dendritic spine development	GO_0060998	1	1	1	0	0
regulation of dendrite morphogenesis	GO_0048814	1	1	1	0	0
regulation of dendrite development	GO_0050773	1	1	1	0	0
preganglionic parasympathetic fiber development	GO_0021783	1	1	1	0	0
postganglionic parasympathetic nervous system development	GO_0021784	1	1	1	0	0
posterior lateral line ganglion neuron differentiation	GO_0048928	1	1	1	0	0
posterior lateral line ganglion development	GO_0048917	1	1	1	0	0
parasympathetic nervous system development	GO_0048486	1	1	1	0	0
neuroblast division in dorsal lateral ganglionic eminence	GO_0021851	1	1	1	0	0
nervous system development	GO_0007399	1	1	1	0	0
myelination in peripheral nervous system	GO_0022011	1	1	1	0	0
medial ganglionic eminence cell proliferation	GO_0022020	1	1	1	0	0
lateral line ganglion neuron differentiation	GO_0048891	1	1	1	0	0
lateral line ganglion development	GO_0048890	1	1	1	0	0
lateral ganglionic eminence cell proliferation	GO_0022018	1	1	1	0	0
larval central nervous system remodeling	GO_0035193	1	1	1	0	0
enteric nervous system development	GO_0048484	1	1	1	0	0
dorsal lateral ganglionic eminence cell proliferation	GO_0022019	1	1	1	0	0
determination of left/right asymmetry in nervous system	GO_0035545	1	1	1	0	0
caudal ganglionic eminence cell proliferation	GO_0022021	1	1	1	0	0
accessory nerve structural organization	GO_0021609	1	1	1	0	0
accessory nerve morphogenesis	GO_0021607	1	1	1	0	0
accessory nerve maturation	GO_0021606	1	1	1	0	0
accessory nerve formation	GO_0021608	1	1	1	0	0
accessory nerve development	GO_0021565	1	1	1	0	0
abducens nucleus development	GO_0021742	1	1	1	0	0
abducens nerve structural organization	GO_0021600	1	1	1	0	0
abducens nerve morphogenesis	GO_0021598	1	1	1	0	0
abducens nerve maturation	GO_0021601	1	1	1	0	0
abducens nerve formation	GO_0021599	1	1	1	0	0
abducens nerve development	GO_0021560	1	1	1	0	0
regulation of nervous system development	GO_0051960	1	0	1	0	0
positive regulation of nervous system development	GO_0051962	1	0	1	0	0
negative regulation of nervous system development	GO_0051961	1	0	1	0	0
ganglion mother cell fate determination	GO_0007402	1	0	1	0	0
zona limitans intrathalamica formation	GO_0022006	0	1	1	0	0
visceral motor neuron differentiation	GO_0021524	0	1	1	0	0
vestibulospinal tract morphogenesis	GO_0021962	0	1	1	0	0
vestibulocochlear nerve structural organization	GO_0021649	0	1	1	0	0
vestibulocochlear nerve morphogenesis	GO_0021648	0	1	1	0	0
vestibulocochlear nerve maturation	GO_0021647	0	1	1	0	0
vestibulocochlear nerve formation	GO_0021650	0	1	1	0	0
vestibulocochlear nerve development	GO_0021562	0	1	1	0	0
vestibular receptor cell stereocilium organization	GO_0060121	0	1	1	0	0
vestibular receptor cell morphogenesis	GO_0060116	0	1	1	0	0
vestibular receptor cell fate commitment	GO_0060115	0	1	1	0	0
vestibular receptor cell differentiation	GO_0060114	0	1	1	0	0
vestibular receptor cell development	GO_0060118	0	1	1	0	0
vestibular nucleus development	GO_0021750	0	1	1	0	0
ventricular zone neuroblast division	GO_0021847	0	1	1	0	0
