name	ID	manual	auto	checked	blacklisted	is_obsolete
positive regulation of neuron projection regeneration	GO_0070572	1	1	1	0	0
positive regulation of neuron projection development	GO_0010976	1	1	1	0	0
positive regulation of neuron maturation	GO_0014042	1	1	1	0	0
hypothalamus gonadotrophin-releasing hormone neuron development	GO_0021888	1	1	1	0	0
ventral spinal cord interneuron specification	GO_0021521	1	0	1	0	0
ventral spinal cord interneuron fate determination	GO_0060580	1	0	1	0	0
ventral spinal cord interneuron fate commitment	GO_0060579	1	0	1	0	0
ventral spinal cord interneuron differentiation	GO_0021514	1	0	1	0	0
ventral spinal cord development	GO_0021517	1	0	1	0	0
positive regulation of neuron migration	GO_2001224	1	0	1	0	0
positive regulation of neuron differentiation	GO_0045666	1	0	1	0	0
positive regulation of neuron death	GO_1901216	1	0	1	0	0
positive regulation of neuron apoptotic process	GO_0043525	1	0	1	0	0
positive regulation of neuromuscular synaptic transmission	GO_1900075	1	0	1	0	0
positive regulation of neurological system process	GO_0031646	1	0	1	0	0
positive regulation of neurogenesis	GO_0050769	1	0	1	0	0
positive regulation of neuroblast proliferation	GO_0002052	1	0	1	0	0
positive regulation of neural retina development	GO_0061075	1	0	1	0	0
positive regulation of neural precursor cell proliferation	GO_2000179	1	0	1	0	0
positive regulation of neural crest formation	GO_0090300	1	0	1	0	0
hypothalamus gonadotrophin-releasing hormone neuron fate commitment	GO_0021887	1	0	1	0	0
hypothalamus gonadotrophin-releasing hormone neuron differentiation	GO_0021886	1	0	1	0	0
autonomic nervous system development	GO_0048483	1	0	1	0	0
asymmetric radial glial cell division in forebrain	GO_0021866	1	0	1	0	0
asymmetric neuroblast division resulting in ganglion mother cell formation	GO_0055060	1	0	1	0	0
asymmetric neuroblast division	GO_0055059	1	0	1	0	0
vestibulospinal tract morphogenesis	GO_0021962	0	1	1	0	0
vestibular receptor cell stereocilium organization	GO_0060121	0	1	1	0	0
vestibular receptor cell morphogenesis	GO_0060116	0	1	1	0	0
vestibular receptor cell development	GO_0060118	0	1	1	0	0
trigeminothalamic tract morphogenesis	GO_0021974	0	1	1	0	0
tectospinal tract morphogenesis	GO_0021977	0	1	1	0	0
tectobulbar tract morphogenesis	GO_0034429	0	1	1	0	0
synaptic target recognition	GO_0008039	0	1	1	0	0
synaptic target inhibition	GO_0016201	0	1	1	0	0
synaptic target attraction	GO_0016200	0	1	1	0	0
sympathetic neuron projection guidance	GO_0097491	0	1	1	0	0
sympathetic neuron projection extension	GO_0097490	0	1	1	0	0
sympathetic neuron axon guidance	GO_0097492	0	1	1	0	0
sprouting of injured axon	GO_0048682	0	1	1	0	0
spinothalamic tract morphogenesis	GO_0021963	0	1	1	0	0
spinal sensory neuron axon guidance	GO_0097375	0	1	1	0	0
spinal cord ventral commissure morphogenesis	GO_0021965	0	1	1	0	0
spinal cord interneuron axon guidance	GO_0097377	0	1	1	0	0
sensory neuron axon guidance	GO_0097374	0	1	1	0	0
semaphorin-plexin signaling pathway involved in neuron projection guidance	GO_1902285	0	1	1	0	0
semaphorin-plexin signaling pathway involved in dendrite guidance	GO_1902286	0	1	1	0	0
semaphorin-plexin signaling pathway involved in axon guidance	GO_1902287	0	1	1	0	0
rubrospinal tract morphogenesis	GO_0021964	0	1	1	0	0
rhabdomere morphogenesis	GO_0061541	0	1	1	0	0
rhabdomere membrane biogenesis	GO_0045313	0	1	1	0	0
rhabdomere development	GO_0042052	0	1	1	0	0
retrograde extension	GO_0003389	0	1	1	0	0
retinal rod cell development	GO_0046548	0	1	1	0	0
retinal ganglion cell axon guidance	GO_0031290	0	1	1	0	0
retinal cone cell development	GO_0046549	0	1	1	0	0
regulation of sprouting of injured axon	GO_0048686	0	1	1	0	0
regulation of rhodopsin gene expression	GO_0007468	0	1	1	0	0
regulation of retinal ganglion cell axon guidance	GO_0090259	0	1	1	0	0
regulation of photoreceptor cell axon guidance	GO_2000289	0	1	1	0	0
regulation of neuron projection regeneration	GO_0070570	0	1	1	0	0
regulation of neuron projection development	GO_0010975	0	1	1	0	0
regulation of neuron maturation	GO_0014041	0	1	1	0	0
regulation of eye photoreceptor cell development	GO_0042478	0	1	1	0	0
regulation of dendritic spine morphogenesis	GO_0061001	0	1	1	0	0
regulation of dendritic spine development	GO_0060998	0	1	1	0	0
regulation of dendrite morphogenesis	GO_0048814	0	1	1	0	0
regulation of dendrite development	GO_0050773	0	1	1	0	0
regulation of compound eye photoreceptor development	GO_0045314	0	1	1	0	0
regulation of collateral sprouting of intact axon in response to injury	GO_0048683	0	1	1	0	0
regulation of collateral sprouting of injured axon	GO_0048693	0	1	1	0	0
regulation of collateral sprouting in absence of injury	GO_0048696	0	1	1	0	0
regulation of collateral sprouting	GO_0048670	0	1	1	0	0
regulation of axonogenesis	GO_0050770	0	1	1	0	0
regulation of axon regeneration	GO_0048679	0	1	1	0	0
regulation of axon guidance	GO_1902667	0	1	1	0	0
regulation of axon extension involved in regeneration	GO_0048690	0	1	1	0	0
regulation of axon extension involved in axon guidance	GO_0048841	0	1	1	0	0
regulation of axon extension	GO_0030516	0	1	1	0	0
regulation of axon diameter	GO_0031133	0	1	1	0	0
pyramidal neuron migration	GO_0021852	0	1	1	0	0
pyramidal neuron development	GO_0021860	0	1	1	0	0
postnatal olfactory bulb interneuron migration	GO_0021827	0	1	1	0	0
posterior lateral line neuromast hair cell morphogenesis	GO_0035680	0	1	1	0	0
posterior lateral line neuromast hair cell development	GO_0035677	0	1	1	0	0
posterior commissure morphogenesis	GO_0021961	0	1	1	0	0
positive regulation of sprouting of injured axon	GO_0048687	0	1	1	0	0
positive regulation of rhodopsin gene expression	GO_0045872	0	1	1	0	0
positive regulation of retinal ganglion cell axon guidance	GO_1902336	0	1	1	0	0
positive regulation of eye photoreceptor cell development	GO_0042479	0	1	1	0	0
positive regulation of dendritic spine morphogenesis	GO_0061003	0	1	1	0	0
positive regulation of dendritic spine development	GO_0060999	0	1	1	0	0
positive regulation of dendrite morphogenesis	GO_0050775	0	1	1	0	0
positive regulation of dendrite development	GO_1900006	0	1	1	0	0
positive regulation of compound eye photoreceptor development	GO_0045315	0	1	1	0	0
positive regulation of collateral sprouting of intact axon in response to injury	GO_0048684	0	1	1	0	0
positive regulation of collateral sprouting of injured axon	GO_0048694	0	1	1	0	0
positive regulation of collateral sprouting in absence of injury	GO_0048697	0	1	1	0	0
positive regulation of collateral sprouting	GO_0048672	0	1	1	0	0
positive regulation of axonogenesis	GO_0050772	0	1	1	0	0
positive regulation of axon regeneration	GO_0048680	0	1	1	0	0
positive regulation of axon guidance	GO_1902669	0	1	1	0	0
positive regulation of axon extension involved in regeneration	GO_0048691	0	1	1	0	0
positive regulation of axon extension involved in axon guidance	GO_0048842	0	1	1	0	0
positive regulation of axon extension	GO_0045773	0	1	1	0	0
pons reticulospinal tract morphogenesis	GO_0021975	0	1	1	0	0
photoreceptor cell outer segment organization	GO_0035845	0	1	1	0	0
photoreceptor cell morphogenesis	GO_0008594	0	1	1	0	0
photoreceptor cell development	GO_0042461	0	1	1	0	0
photoreceptor cell axon guidance	GO_0072499	0	1	1	0	0
peripheral nervous system neuron development	GO_0048935	0	1	1	0	0
peripheral nervous system neuron axonogenesis	GO_0048936	0	1	1	0	0
peripheral nervous system axon regeneration	GO_0014012	0	1	1	0	0
olfactory bulb tufted cell development	GO_0061449	0	1	1	0	0
olfactory bulb interneuron development	GO_0021891	0	1	1	0	0
olfactory bulb axon guidance	GO_0071678	0	1	1	0	0
ocellus photoreceptor cell development	GO_0042463	0	1	1	0	0
noradrenergic neuron development	GO_0003358	0	1	1	0	0
neuronal ion channel clustering	GO_0045161	0	1	1	0	0
neuron remodeling	GO_0016322	0	1	1	0	0
neuron recognition	GO_0008038	0	1	1	0	0
