name	ID	manual	auto	checked	blacklisted	is_obsolete
somatic motor neuron fate commitment	GO_0021917	1	1	1	0	0
somatic motor neuron differentiation	GO_0021523	1	1	1	0	0
visceral motor neuron differentiation	GO_0021524	0	1	0	0	0
vestibulospinal tract morphogenesis	GO_0021962	0	1	0	0	0
vestibular receptor cell stereocilium organization	GO_0060121	0	1	0	0	0
vestibular receptor cell morphogenesis	GO_0060116	0	1	0	0	0
vestibular receptor cell fate commitment	GO_0060115	0	1	0	0	0
vestibular receptor cell differentiation	GO_0060114	0	1	0	0	0
vestibular receptor cell development	GO_0060118	0	1	0	0	0
ventricular zone cell fate commitment	GO_0021900	0	1	0	0	0
ventral spinal cord interneuron specification	GO_0021521	0	1	0	0	0
ventral spinal cord interneuron fate determination	GO_0060580	0	1	0	0	0
ventral spinal cord interneuron fate commitment	GO_0060579	0	1	0	0	0
ventral spinal cord interneuron differentiation	GO_0021514	0	1	0	0	0
trigeminothalamic tract morphogenesis	GO_0021974	0	1	0	0	0
tectospinal tract morphogenesis	GO_0021977	0	1	0	0	0
tectobulbar tract morphogenesis	GO_0034429	0	1	0	0	0
synaptic target recognition	GO_0008039	0	1	0	0	0
synaptic target inhibition	GO_0016201	0	1	0	0	0
synaptic target attraction	GO_0016200	0	1	0	0	0
sympathetic neuron projection guidance	GO_0097491	0	1	0	0	0
sympathetic neuron projection extension	GO_0097490	0	1	0	0	0
sympathetic neuron axon guidance	GO_0097492	0	1	0	0	0
subpallium neuron fate commitment	GO_0060163	0	1	0	0	0
striatal medium spiny neuron differentiation	GO_0021773	0	1	0	0	0
sprouting of injured axon	GO_0048682	0	1	0	0	0
spinothalamic tract morphogenesis	GO_0021963	0	1	0	0	0
spinal sensory neuron axon guidance	GO_0097375	0	1	0	0	0
spinal cord ventral commissure morphogenesis	GO_0021965	0	1	0	0	0
spinal cord motor neuron differentiation	GO_0021522	0	1	0	0	0
spinal cord motor neuron cell fate specification	GO_0021520	0	1	0	0	0
spinal cord interneuron axon guidance	GO_0097377	0	1	0	0	0
spinal cord commissural neuron specification	GO_0021518	0	1	0	0	0
spinal cord association neuron specification	GO_0021519	0	1	0	0	0
spinal cord association neuron differentiation	GO_0021527	0	1	0	0	0
smoothened signaling pathway involved in ventral spinal cord interneuron specification	GO_0021775	0	1	0	0	0
smoothened signaling pathway involved in spinal cord motor neuron cell fate specification	GO_0021776	0	1	0	0	0
sevenless signaling pathway	GO_0045500	0	1	0	0	0
sensory neuron axon guidance	GO_0097374	0	1	0	0	0
semaphorin-plexin signaling pathway involved in neuron projection guidance	GO_1902285	0	1	0	0	0
semaphorin-plexin signaling pathway involved in dendrite guidance	GO_1902286	0	1	0	0	0
semaphorin-plexin signaling pathway involved in axon guidance	GO_1902287	0	1	0	0	0
rubrospinal tract morphogenesis	GO_0021964	0	1	0	0	0
rhabdomere morphogenesis	GO_0061541	0	1	0	0	0
rhabdomere membrane biogenesis	GO_0045313	0	1	0	0	0
rhabdomere development	GO_0042052	0	1	0	0	0
retrotrapezoid nucleus neuron differentiation	GO_0061452	0	1	0	0	0
retrograde extension	GO_0003389	0	1	0	0	0
retinoic acid receptor signaling pathway involved in ventral spinal cord interneuron specification	GO_0021774	0	1	0	0	0
retinal rod cell fate commitment	GO_0060223	0	1	0	0	0
retinal rod cell differentiation	GO_0060221	0	1	0	0	0
retinal rod cell development	GO_0046548	0	1	0	0	0
retinal ganglion cell axon guidance	GO_0031290	0	1	0	0	0
retinal cone cell fate specification	GO_0042672	0	1	0	0	0
retinal cone cell fate determination	GO_0042671	0	1	0	0	0
retinal cone cell fate commitment	GO_0046551	0	1	0	0	0
retinal cone cell differentiation	GO_0042670	0	1	0	0	0
retinal cone cell development	GO_0046549	0	1	0	0	0
retinal bipolar neuron differentiation	GO_0060040	0	1	0	0	0
regulation of transcription from RNA polymerase II promoter involved in ventral spinal cord interneuron specification	GO_0021913	0	1	0	0	0
regulation of transcription from RNA polymerase II promoter involved in spinal cord motor neuron fate specification	GO_0021912	0	1	0	0	0
regulation of transcription from RNA polymerase II promoter involved in spinal cord association neuron specification	GO_0021920	0	1	0	0	0
regulation of transcription from RNA polymerase II promoter involved in somatic motor neuron fate commitment	GO_0021918	0	1	0	0	0
regulation of transcription from RNA polymerase II promoter involved in forebrain neuron fate commitment	GO_0021882	0	1	0	0	0
regulation of timing of subpallium neuron differentiation	GO_0060165	0	1	0	0	0
regulation of timing of neuron differentiation	GO_0060164	0	1	0	0	0
regulation of sprouting of injured axon	GO_0048686	0	1	0	0	0
regulation of spinal cord association neuron differentiation	GO_1902829	0	1	0	0	0
regulation of sevenless signaling pathway	GO_0045501	0	1	0	0	0
regulation of rhodopsin gene expression	GO_0007468	0	1	0	0	0
regulation of retinal rod cell fate commitment	GO_0060224	0	1	0	0	0
regulation of retinal ganglion cell axon guidance	GO_0090259	0	1	0	0	0
regulation of retinal cone cell fate specification	GO_0042673	0	1	0	0	0
regulation of retinal cone cell fate commitment	GO_0060222	0	1	0	0	0
regulation of photoreceptor cell differentiation	GO_0046532	0	1	0	0	0
regulation of photoreceptor cell axon guidance	GO_2000289	0	1	0	0	0
regulation of neuron projection regeneration	GO_0070570	0	1	0	0	0
regulation of neuron projection development	GO_0010975	0	1	0	0	0
regulation of neuron maturation	GO_0014041	0	1	0	0	0
regulation of neuron differentiation	GO_0045664	0	1	0	0	0
regulation of mechanoreceptor differentiation	GO_0045631	0	1	0	0	0
regulation of inner ear receptor cell differentiation	GO_2000980	0	1	0	0	0
regulation of forebrain neuron differentiation	GO_2000977	0	1	0	0	0
regulation of eye photoreceptor cell development	GO_0042478	0	1	0	0	0
regulation of dendritic spine morphogenesis	GO_0061001	0	1	0	0	0
regulation of dendritic spine development	GO_0060998	0	1	0	0	0
regulation of dendrite morphogenesis	GO_0048814	0	1	0	0	0
regulation of dendrite development	GO_0050773	0	1	0	0	0
regulation of compound eye photoreceptor development	GO_0045314	0	1	0	0	0
regulation of collateral sprouting of intact axon in response to injury	GO_0048683	0	1	0	0	0
regulation of collateral sprouting of injured axon	GO_0048693	0	1	0	0	0
regulation of collateral sprouting in absence of injury	GO_0048696	0	1	0	0	0
regulation of collateral sprouting	GO_0048670	0	1	0	0	0
regulation of axonogenesis	GO_0050770	0	1	0	0	0
regulation of axon regeneration	GO_0048679	0	1	0	0	0
regulation of axon guidance	GO_1902667	0	1	0	0	0
regulation of axon extension involved in regeneration	GO_0048690	0	1	0	0	0
regulation of axon extension involved in axon guidance	GO_0048841	0	1	0	0	0
regulation of axon extension	GO_0030516	0	1	0	0	0
regulation of axon diameter	GO_0031133	0	1	0	0	0
regulation of auditory receptor cell fate specification	GO_0042669	0	1	0	0	0
regulation of auditory receptor cell differentiation	GO_0045607	0	1	0	0	0
regulation of amacrine cell differentiation	GO_1902869	0	1	0	0	0
regulation of R8 cell differentiation	GO_0045679	0	1	0	0	0
regulation of R7 cell differentiation	GO_0045676	0	1	0	0	0
regulation of BMP signaling pathway involved in spinal cord association neuron specification	GO_1902878	0	1	0	0	0
radial glial cell fate commitment in forebrain	GO_0022023	0	1	0	0	0
pyramidal neuron migration	GO_0021852	0	1	0	0	0
pyramidal neuron differentiation	GO_0021859	0	1	0	0	0
pyramidal neuron development	GO_0021860	0	1	0	0	0
postnatal olfactory bulb interneuron migration	GO_0021827	0	1	0	0	0
posterior lateral line neuromast hair cell morphogenesis	GO_0035680	0	1	0	0	0
