name	ID	manual	auto	checked	blacklisted	is_obsolete
synchronous neurotransmitter secretion	GO_0071911	1	1	1	0	0
neurotransmitter uptake	GO_0001504	1	1	1	0	0
neurotransmitter transport	GO_0006836	1	1	1	0	0
neurotransmitter secretion involved in regulation of skeletal muscle contraction	GO_0014860	1	1	1	0	0
neurotransmitter secretion	GO_0007269	1	1	1	0	0
neurotransmitter metabolic process	GO_0042133	1	1	1	0	0
neurotransmitter catabolic process	GO_0042135	1	1	1	0	0
neurotransmitter biosynthetic process	GO_0042136	1	1	1	0	0
catecholamine uptake involved in synaptic transmission	GO_0051934	1	1	1	0	0
calcium ion-independent exocytosis of neurotransmitter	GO_0048792	1	1	1	0	0
calcium ion-dependent exocytosis of neurotransmitter	GO_0048791	1	1	1	0	0
asynchronous neurotransmitter secretion	GO_0071912	1	1	1	0	0
signal initiation by neurotransmitter	GO_0023005	1	0	1	1	1
sequestering of neurotransmitter	GO_0042137	1	0	1	0	0
regulation of neurotransmitter uptake	GO_0051580	1	0	1	0	0
regulation of neurotransmitter transport	GO_0051588	1	0	1	0	0
regulation of neurotransmitter secretion	GO_0046928	1	0	1	0	0
regulation of neurotransmitter levels	GO_0001505	1	0	1	0	0
regulation of catecholamine uptake involved in synaptic transmission	GO_0051940	1	0	1	0	0
regulation of catecholamine secretion	GO_0050433	1	0	1	0	0
regulation of catecholamine metabolic process	GO_0042069	1	0	1	0	0
positive regulation of neurotransmitter uptake	GO_0051582	1	0	1	0	0
positive regulation of neurotransmitter transport	GO_0051590	1	0	1	0	0
positive regulation of neurotransmitter secretion	GO_0001956	1	0	1	0	0
norepinephrine-epinephrine vasoconstriction involved in regulation of systemic arterial blood pressure	GO_0001994	1	0	1	0	0
norepinephrine-epinephrine catabolic process in blood stream	GO_0001995	1	0	1	0	0
norepinephrine uptake	GO_0051620	1	0	1	0	0
norepinephrine transport	GO_0015874	1	0	1	0	0
norepinephrine secretion	GO_0048243	1	0	1	0	0
norepinephrine metabolic process	GO_0042415	1	0	1	0	0
norepinephrine catabolic process	GO_0042422	1	0	1	0	0
norepinephrine biosynthetic process	GO_0042421	1	0	1	0	0
neurotransmitter-mediated guidance of interneurons involved in substrate-independent cerebral cortex tangential migration	GO_0021845	1	0	1	0	0
neurotransmitter-gated ion channel clustering	GO_0072578	1	0	1	0	0
