name	ID	manual	auto	checked	blacklisted	is_obsolete
nucleus organization	GO_0006997	1	1	1	0	0
nucleus localization	GO_0051647	1	1	1	0	0
nuclear speck organization	GO_0035063	1	1	1	0	0
nuclear pore organization	GO_0006999	1	1	1	0	0
nuclear pore distribution	GO_0031081	1	1	1	0	0
nuclear pore complex assembly	GO_0051292	1	1	1	0	0
nuclear migration involved in conjugation with mutual genetic exchange	GO_0000745	1	1	1	0	0
nuclear migration involved in conjugation with cellular fusion	GO_0000743	1	1	1	0	0
nuclear migration along microfilament	GO_0031022	1	1	1	0	0
nuclear migration	GO_0007097	1	1	1	0	0
nuclear matrix organization	GO_0043578	1	1	1	0	0
nuclear matrix anchoring at nuclear membrane	GO_0090292	1	1	1	0	0
nucleus-vacuole junction assembly	GO_0071562	1	0	1	0	0
nucleus-associated proteasomal ubiquitin-dependent protein catabolic process	GO_0071630	1	0	1	0	0
nucleoid organization	GO_0090143	1	0	1	0	0
nucleocytoplasmic transport	GO_0006913	1	0	1	0	0
nucleobase-containing small molecule metabolic process	GO_0055086	1	0	1	0	0
nucleobase-containing small molecule interconversion	GO_0015949	1	0	1	0	0
nucleobase-containing small molecule catabolic process	GO_0034656	1	0	1	0	0
nucleobase-containing small molecule biosynthetic process	GO_0034404	1	0	1	0	0
nucleobase-containing compound transport	GO_0015931	1	0	1	0	0
nucleobase-containing compound metabolic process	GO_0006139	1	0	1	0	0
nucleobase-containing compound catabolic process	GO_0034655	1	0	1	0	0
nucleobase-containing compound biosynthetic process	GO_0034654	1	0	1	0	0
nucleobase transport	GO_0015851	1	0	1	0	0
nucleobase metabolic process	GO_0009112	1	0	1	0	0
nucleobase catabolic process	GO_0046113	1	0	1	0	0
nucleobase biosynthetic process	GO_0046112	1	0	1	0	0
nucleic acid-protein covalent cross-linking	GO_0018143	1	0	1	0	0
nucleic acid transport	GO_0050657	1	0	1	0	0
nucleic acid phosphodiester bond hydrolysis	GO_0090305	1	0	1	0	0
