name	ID	manual	auto	checked	blacklisted	is_obsolete
oocyte nucleus migration involved in oocyte dorsal/ventral axis specification	GO_0007312	1	1	1	0	0
oocyte nucleus localization involved in oocyte dorsal/ventral axis specification	GO_0051663	1	1	1	0	0
oocyte microtubule cytoskeleton polarization	GO_0008103	1	1	1	0	0
oocyte microtubule cytoskeleton organization	GO_0016325	1	1	1	0	0
oocyte dorsal/ventral axis specification	GO_0007310	1	1	1	0	0
oocyte construction	GO_0007308	1	1	1	0	0
oocyte axis specification	GO_0007309	1	1	1	0	0
oocyte anterior/posterior axis specification	GO_0007314	1	1	1	0	0
oocyte animal/vegetal axis specification	GO_0060832	1	1	1	0	0
oocyte morphogenesis	GO_0048601	1	0	1	0	0
oocyte maturation	GO_0001556	1	0	1	0	0
oocyte localization involved in germarium-derived egg chamber formation	GO_0030720	1	0	1	0	0
oocyte growth in germarium-derived egg chamber	GO_0030715	1	0	1	0	0
oocyte growth	GO_0001555	1	0	1	0	0
oocyte fate determination	GO_0030716	1	0	1	0	0
oocyte fate commitment	GO_0048600	1	0	1	0	0
oocyte differentiation	GO_0009994	1	0	1	0	0
oocyte development	GO_0048599	1	0	1	0	0
pole plasm protein localization	GO_0007318	0	1	0	0	0
pole plasm oskar mRNA localization	GO_0045451	0	1	0	0	0
pole plasm mitochondrial srRNA localization	GO_0019097	0	1	0	0	0
pole plasm mitochondrial rRNA localization	GO_0019095	0	1	0	0	0
pole plasm mitochondrial lrRNA localization	GO_0019096	0	1	0	0	0
pole plasm mRNA localization	GO_0019094	0	1	0	0	0
pole plasm assembly	GO_0007315	0	1	0	0	0
pole plasm RNA localization	GO_0007316	0	1	0	0	0
maternal specification of dorsal/ventral axis, oocyte, soma encoded	GO_0007313	0	1	0	0	0
maternal specification of dorsal/ventral axis, oocyte, germ-line encoded	GO_0007311	0	1	0	0	0
maintenance of pole plasm mRNA location	GO_0046594	0	1	0	0	0
maintenance of oocyte nucleus location involved in oocyte dorsal/ventral axis specification	GO_0042070	0	1	0	0	0
establishment of pole plasm mRNA localization	GO_0046595	0	1	0	0	0
establishment of oocyte nucleus localization involved in oocyte dorsal/ventral axis specification	GO_0030722	0	1	0	0	0
bicoid mRNA localization	GO_0045450	0	1	0	0	0
Wnt signaling pathway involved in animal/vegetal axis specification	GO_0060833	0	1	0	0	0
P granule organization	GO_0030719	0	1	0	0	0
