name	ID	manual	auto	checked	blacklisted	is_obsolete
organ regeneration	GO_0031100	1	1	1	0	0
organ morphogenesis	GO_0009887	1	1	1	0	0
organ maturation	GO_0048799	1	1	1	0	0
organ induction	GO_0001759	1	1	1	0	0
organ formation	GO_0048645	1	1	1	0	0
organ growth	GO_0035265	1	0	1	0	0
zygosporangium development	GO_0075271	0	1	1	0	0
wing disc proximal/distal pattern formation	GO_0007473	0	1	1	0	0
wing disc pattern formation	GO_0035222	0	1	1	0	0
wing disc morphogenesis	GO_0007472	0	1	1	0	0
wing disc dorsal/ventral pattern formation	GO_0048190	0	1	1	0	0
wing disc development	GO_0035220	0	1	1	0	0
wing disc anterior/posterior pattern formation	GO_0048100	0	1	1	0	0
wing cell fate specification	GO_0035311	0	1	1	0	0
wing and notum subfield formation	GO_0035309	0	1	1	0	0
white fat cell differentiation involved in mammary gland fat development	GO_0060642	0	1	1	0	0
white fat cell differentiation	GO_0050872	0	1	0	0	0
vulval development	GO_0040025	0	1	1	0	0
vulval cell fate specification	GO_0072327	0	1	1	0	0
vulval cell fate determination	GO_0072326	0	1	1	0	0
vulval cell fate commitment	GO_0072325	0	1	1	0	0
visceral serous pericardium development	GO_0061032	0	1	1	0	0
visceral muscle development	GO_0007522	0	1	1	0	0
visceral motor neuron differentiation	GO_0021524	0	1	1	0	0
vestibular receptor cell stereocilium organization	GO_0060121	0	1	1	0	0
vestibular receptor cell morphogenesis	GO_0060116	0	1	1	0	0
vestibular receptor cell fate commitment	GO_0060115	0	1	1	0	0
vestibular receptor cell differentiation	GO_0060114	0	1	1	0	0
vestibular receptor cell development	GO_0060118	0	1	1	0	0
vestibular nucleus development	GO_0021750	0	1	1	0	0
vesicle-mediated transport involved in floral organ abscission	GO_0060858	0	1	1	0	0
ventriculo bulbo valve morphogenesis	GO_0003187	0	1	1	0	0
ventriculo bulbo valve formation	GO_0003196	0	1	1	0	0
ventriculo bulbo valve development	GO_0003173	0	1	1	0	0
ventricular zone neuroblast division	GO_0021847	0	1	1	0	0
ventricular zone cell-producing asymmetric radial glial cell division in forebrain	GO_0021868	0	1	1	0	0
ventricular zone cell fate commitment	GO_0021900	0	1	1	0	0
ventricular trabecula myocardium morphogenesis	GO_0003222	0	1	1	0	0
ventricular system development	GO_0021591	0	1	1	0	0
ventricular septum morphogenesis	GO_0060412	0	1	1	0	0
ventricular septum intermedium morphogenesis	GO_0003288	0	1	1	0	0
ventricular septum intermedium development	GO_0003282	0	1	1	0	0
ventricular septum development	GO_0003281	0	1	1	0	0
ventricular compact myocardium morphogenesis	GO_0003223	0	1	1	0	0
ventricular cardiac myofibril assembly	GO_0055005	0	1	1	0	0
ventricular cardiac muscle tissue morphogenesis	GO_0055010	0	1	1	0	0
ventricular cardiac muscle tissue development	GO_0003229	0	1	1	0	0
ventricular cardiac muscle cell fate commitment	GO_0060925	0	1	1	0	0
ventricular cardiac muscle cell differentiation	GO_0055012	0	1	1	0	0
ventricular cardiac muscle cell development	GO_0055015	0	1	1	0	0
ventral trunk neural crest cell migration	GO_0036486	0	1	1	0	0
ventral spinal cord interneuron specification	GO_0021521	0	1	1	0	0
ventral spinal cord interneuron fate determination	GO_0060580	0	1	1	0	0
ventral spinal cord interneuron fate commitment	GO_0060579	0	1	1	0	0
ventral spinal cord interneuron differentiation	GO_0021514	0	1	1	0	0
ventral spinal cord development	GO_0021517	0	1	1	0	0
ventral cord development	GO_0007419	0	1	1	0	0
ventral cochlear nucleus development	GO_0021749	0	1	1	0	0
vegetative meristem growth	GO_0010448	0	1	1	0	0
vasculogenesis involved in coronary vascular morphogenesis	GO_0060979	0	1	1	0	0
vagina development	GO_0060068	0	1	1	0	0
uterus morphogenesis	GO_0061038	0	1	1	0	0
uterus development	GO_0060065	0	1	1	0	0
uterine wall growth	GO_0042702	0	1	1	0	0
uterine gland development	GO_1903709	0	1	0	0	0
uterine epithelium development	GO_0035847	0	1	1	0	0
urinary bladder development	GO_0060157	0	1	1	0	0
urethra epithelium development	GO_0061071	0	1	1	0	0
urethra development	GO_0061068	0	1	1	0	0
ureteric bud morphogenesis	GO_0060675	0	1	1	0	0
ureteric bud invasion	GO_0072092	0	1	1	0	0
ureteric bud formation	GO_0060676	0	1	1	0	0
ureteric bud elongation	GO_0060677	0	1	1	0	0
ureteric bud development	GO_0001657	0	1	1	0	0
ureter urothelium development	GO_0072190	0	1	1	0	0
ureter smooth muscle development	GO_0072191	0	1	1	0	0
ureter smooth muscle cell differentiation	GO_0072193	0	1	1	0	0
ureter part of ureteric bud development	GO_0035503	0	1	1	0	0
ureter morphogenesis	GO_0072197	0	1	1	0	0
ureter maturation	GO_0035799	0	1	1	0	0
ureter epithelial cell differentiation	GO_0072192	0	1	1	0	0
ureter development	GO_0072189	0	1	1	0	0
uredinium development	GO_0075279	0	1	1	0	0
type B pancreatic cell maturation	GO_0072560	0	1	1	0	0
