name	ID	manual	auto	checked	blacklisted	is_obsolete
primary ovarian follicle growth involved in primary follicle stage	GO_0043930	1	1	1	0	0
primary ovarian follicle growth involved in double layer follicle stage	GO_0043929	1	1	1	0	0
preantral ovarian follicle growth	GO_0001546	1	1	1	0	0
ovarian nurse cell to oocyte transport	GO_0007300	1	1	1	0	0
ovarian fusome organization	GO_0030723	1	1	1	0	0
ovarian follicle cell-cell adhesion	GO_0007299	1	1	1	0	0
ovarian follicle cell stalk formation	GO_0030713	1	1	1	0	0
ovarian follicle cell migration	GO_0007297	1	1	1	0	0
ovarian follicle cell development	GO_0030707	1	1	1	0	0
ovarian cumulus expansion	GO_0001550	1	1	1	0	0
follicular fluid formation in ovarian follicle antrum involved in scattered antral spaces stage	GO_0003005	1	1	1	0	0
follicular fluid formation in ovarian follicle antrum involved in fused antrum stage	GO_0003003	1	1	1	0	0
follicular fluid formation in ovarian follicle antrum involved in distinct antral spaces stage	GO_0003004	1	1	1	0	0
regulation of ovarian follicle development	GO_2000354	1	0	1	0	0
regulation of antral ovarian follicle growth	GO_2000387	1	0	1	0	0
primary ovarian follicle growth	GO_0001545	1	0	1	0	0
positive regulation of ovarian follicle development	GO_2000386	1	0	1	0	0
positive regulation of antral ovarian follicle growth	GO_2000388	1	0	1	0	0
plant-type ovary development	GO_0035670	1	0	1	0	0
ovule morphogenesis	GO_0048482	1	0	1	0	0
ovule development	GO_0048481	1	0	1	0	0
ovulation from ovarian follicle	GO_0001542	1	0	1	0	0
ovulation cycle process	GO_0022602	1	0	1	0	0
ovulation cycle	GO_0042698	1	0	1	0	0
ovulation	GO_0030728	1	0	1	0	0
oviposition	GO_0018991	1	0	1	0	0
oviduct morphogenesis	GO_0035848	1	0	1	0	0
oviduct epithelium development	GO_0035846	1	0	1	0	0
oviduct development	GO_0060066	1	0	1	0	0
ovary septum development	GO_0080126	1	0	1	0	0
ovarian follicle rupture	GO_0001543	1	0	1	0	0
ovarian follicle endowment	GO_0001551	1	0	1	0	0
ovarian follicle development	GO_0001541	1	0	1	0	0
ovarian follicle atresia	GO_0001552	1	0	1	0	0
negative regulation of ovarian follicle development	GO_2000355	1	0	1	0	0
luteinizing hormone signaling pathway involved in ovarian follicle development	GO_0035471	1	0	1	0	0
initiation of primordial ovarian follicle growth	GO_0001544	1	0	1	0	0
follicular fluid formation in ovarian follicle antrum	GO_0001548	1	0	1	0	0
female gonad morphogenesis	GO_0061040	1	0	1	0	0
antral ovarian follicle growth	GO_0001547	1	0	1	0	0
vitelline membrane formation involved in chorion-containing eggshell formation	GO_0007305	0	1	0	0	0
vitelline membrane formation	GO_0030704	0	1	0	0	0
scattered antral spaces stage	GO_0048163	0	1	0	0	0
regulation of pole plasm oskar mRNA localization	GO_0007317	0	1	0	0	0
regulation of oocyte maturation	GO_1900193	0	1	0	0	0
regulation of oocyte development	GO_0060281	0	1	0	0	0
regulation of nurse cell apoptotic process	GO_0045477	0	1	0	0	0
regulation of meiotic cell cycle process involved in oocyte maturation	GO_1903538	0	1	0	0	0
regulation of cumulus cell differentiation	GO_0045592	0	1	0	0	0
regulation of border follicle cell migration	GO_1903684	0	1	0	0	0
regulation of border follicle cell delamination	GO_0030710	0	1	0	0	0
regulation of bicoid mRNA localization	GO_0008359	0	1	0	0	0
primary oocyte stage	GO_0048159	0	1	0	0	0
primary follicle stage	GO_0048160	0	1	0	0	0
positive regulation of pole plasm oskar mRNA localization	GO_0045856	0	1	0	0	0
positive regulation of oocyte maturation	GO_1900195	0	1	0	0	0
positive regulation of oocyte development	GO_0060282	0	1	0	0	0
positive regulation of nurse cell apoptotic process	GO_0045850	0	1	0	0	0
positive regulation of cumulus cell differentiation	GO_0045594	0	1	0	0	0
positive regulation of border follicle cell migration	GO_1903688	0	1	0	0	0
positive regulation of border follicle cell delamination	GO_0030711	0	1	0	0	0
positive regulation of bicoid mRNA localization	GO_0045854	0	1	0	0	0
pole plasm protein localization	GO_0007318	0	1	0	0	0
pole plasm oskar mRNA localization	GO_0045451	0	1	0	0	0
pole plasm mitochondrial srRNA localization	GO_0019097	0	1	0	0	0
pole plasm mitochondrial rRNA localization	GO_0019095	0	1	0	0	0
pole plasm mitochondrial lrRNA localization	GO_0019096	0	1	0	0	0
pole plasm mRNA localization	GO_0019094	0	1	0	0	0
pole plasm assembly	GO_0007315	0	1	0	0	0
pole plasm RNA localization	GO_0007316	0	1	0	0	0
oogonium stage	GO_0048158	0	1	0	0	0
oogenesis stage	GO_0022605	0	1	0	0	0
oogenesis	GO_0048477	0	1	0	0	0
oocyte nucleus migration involved in oocyte dorsal/ventral axis specification	GO_0007312	0	1	0	0	0
oocyte nucleus localization involved in oocyte dorsal/ventral axis specification	GO_0051663	0	1	0	0	0
oocyte morphogenesis	GO_0048601	0	1	0	0	0
oocyte microtubule cytoskeleton polarization	GO_0008103	0	1	0	0	0
oocyte microtubule cytoskeleton organization	GO_0016325	0	1	0	0	0
oocyte maturation	GO_0001556	0	1	0	0	0
oocyte localization involved in germarium-derived egg chamber formation	GO_0030720	0	1	0	0	0
oocyte growth in germarium-derived egg chamber	GO_0030715	0	1	0	0	0
oocyte growth	GO_0001555	0	1	0	0	0
oocyte fate commitment	GO_0048600	0	1	0	0	0
oocyte dorsal/ventral axis specification	GO_0007310	0	1	0	0	0
oocyte differentiation	GO_0009994	0	1	0	0	0
oocyte development	GO_0048599	0	1	0	0	0
oocyte construction	GO_0007308	0	1	0	0	0
oocyte axis specification	GO_0007309	0	1	0	0	0
oocyte anterior/posterior axis specification	GO_0007314	0	1	0	0	0
oocyte animal/vegetal axis specification	GO_0060832	0	1	0	0	0
nurse cell nucleus anchoring	GO_0007302	0	1	0	0	0
nurse cell apoptotic process	GO_0045476	0	1	0	0	0
negative regulation of pole plasm oskar mRNA localization	GO_0045855	0	1	0	0	0
negative regulation of oocyte maturation	GO_1900194	0	1	0	0	0
negative regulation of oocyte development	GO_0060283	0	1	0	0	0
negative regulation of nurse cell apoptotic process	GO_0045849	0	1	0	0	0
negative regulation of cumulus cell differentiation	GO_0045593	0	1	0	0	0
negative regulation of border follicle cell migration	GO_1903687	0	1	0	0	0
negative regulation of border follicle cell delamination	GO_0030712	0	1	0	0	0
negative regulation of bicoid mRNA localization	GO_0045853	0	1	0	0	0
multi-layer follicle stage	GO_0048162	0	1	0	0	0
micropyle formation	GO_0046844	0	1	0	0	0
meiotic cell cycle process involved in oocyte maturation	GO_1903537	0	1	0	0	0
mature follicle stage	GO_0048166	0	1	0	0	0
maternal specification of dorsal/ventral axis, oocyte, soma encoded	GO_0007313	0	1	0	0	0
