name	ID	manual	auto	checked	blacklisted	is_obsolete
taurine dioxygenase activity	GO_0000908	1	1	1	0	0
sulfonate dioxygenase activity	GO_0000907	1	1	1	0	0
ferric-chelate reductase activity	GO_0000293	1	1	1	0	0
acylglycerone-phosphate reductase activity	GO_0000140	1	1	1	0	0
3-hydroxyanthranilate 3,4-dioxygenase activity	GO_0000334	1	1	1	0	0
thioredoxin	GO_0000008	1	0	1	1	1
NAD+ diphosphatase activity	GO_0000210	1	0	1	0	0
C-8 sterol isomerase activity	GO_0000247	1	0	1	0	0
zeinoxanthin epsilon hydroxylase activity	GO_0009974	0	1	0	0	0
zeaxanthin epoxidase activity	GO_0052662	0	1	0	0	0
zeaxanthin epoxidase [overall] activity	GO_0009540	0	1	0	0	0
zeatin reductase activity	GO_0050472	0	1	0	0	0
xylitol oxidase activity	GO_0050582	0	1	0	0	0
xylene monooxygenase activity	GO_0018639	0	1	0	0	0
xanthoxin dehydrogenase activity	GO_0010301	0	1	0	0	0
xanthommatin reductase activity	GO_0050399	0	1	0	0	0
xanthine oxidase activity	GO_0004855	0	1	0	0	0
xanthine dehydrogenase activity	GO_0004854	0	1	0	0	0
vomilenine reductase activity	GO_0050624	0	1	0	0	0
vomifoliol 4'-dehydrogenase activity	GO_0050396	0	1	0	0	0
vitamin-K-epoxide reductase (warfarin-sensitive) activity	GO_0047057	0	1	0	0	0
vitamin-K-epoxide reductase (warfarin-insensitive) activity	GO_0047058	0	1	0	0	0
vitamin D3 25-hydroxylase activity	GO_0030343	0	1	0	0	0
vitamin D 25-hydroxylase activity	GO_0070643	0	1	0	0	0
vitamin D 24-hydroxylase activity	GO_0070576	0	1	0	0	0
violaxanthin de-epoxidase activity	GO_0046422	0	1	0	0	0
vinyl chloride reductive dehalogenase activity	GO_0018698	0	1	0	0	0
vinorine hydroxylase activity	GO_0050596	0	1	0	0	0
very-long-chain-acyl-CoA dehydrogenase activity	GO_0017099	0	1	0	0	0
very-long-chain-(S)-2-hydroxy-acid oxidase activity	GO_0052852	0	1	0	0	0
very-long-chain fatty acyl-CoA oxidase activity	GO_0044535	0	1	0	0	0
very long-chain-3-hydroxyacyl-CoA dehydrogenase activity	GO_0035380	0	1	0	0	0
versicolorin reductase activity	GO_0042469	0	1	0	0	0
vellosimine dehydrogenase activity	GO_0050579	0	1	0	0	0
vanillyl-alcohol oxidase activity	GO_0018465	0	1	0	0	0
vanillin dehydrogenase activity	GO_0050608	0	1	0	0	0
vanillate monooxygenase activity	GO_0018489	0	1	0	0	0
vanillate O-demethylase (anaerobic) activity	GO_0018487	0	1	0	0	0
valine dehydrogenase (NADP) activity	GO_0050391	0	1	0	0	0
valine dehydrogenase (NAD) activity	GO_0043837	0	1	0	0	0
uronate dehydrogenase activity	GO_0050388	0	1	0	0	0
ureidoglycolate dehydrogenase activity	GO_0009040	0	1	0	0	0
urate oxidase activity	GO_0004846	0	1	0	0	0
uracil oxygenase activity	GO_0052614	0	1	0	0	0
uracil dehydrogenase activity	GO_0050383	0	1	0	0	0
ubiquinol-cytochrome-c reductase activity	GO_0008121	0	1	0	0	0
tyrosine N-monooxygenase activity	GO_0050370	0	1	0	0	0
tyrosine 3-monooxygenase activity	GO_0004511	0	1	0	0	0
tyramine-beta hydroxylase activity	GO_0004836	0	1	0	0	0
tryptophan dehydrogenase activity	GO_0050363	0	1	0	0	0
tryptophan alpha,beta-oxidase activity	GO_0050621	0	1	0	0	0
tryptophan 5-monooxygenase activity	GO_0004510	0	1	0	0	0
tryptophan 2-monooxygenase activity	GO_0050361	0	1	0	0	0
tryptophan 2,3-dioxygenase activity	GO_0004833	0	1	0	0	0
tryptophan 2'-dioxygenase activity	GO_0050360	0	1	0	0	0
tryptamine:oxygen oxidoreductase (deaminating) activity	GO_0052593	0	1	0	0	0
tryparedoxin peroxidase activity	GO_0033196	0	1	0	0	0
trypanothione-disulfide reductase activity	GO_0015042	0	1	0	0	0
tropinone reductase activity	GO_0050358	0	1	0	0	0
tropine dehydrogenase activity	GO_0050356	0	1	0	0	0
trinitrophenol hydride denitratase activity	GO_0034914	0	1	0	0	0
trinitrophenol dihydride denitratase activity	GO_0034800	0	1	0	0	0
trimethyllysine dioxygenase activity	GO_0050353	0	1	0	0	0
trimethylarsine oxidase activity	GO_0034542	0	1	0	0	0
trimethylamine-N-oxide reductase activity	GO_0009033	0	1	0	0	0
trimethylamine-N-oxide reductase (cytochrome c) activity	GO_0050626	0	1	0	0	0
trimethylamine monooxygenase activity	GO_0034899	0	1	0	0	0
trimethylamine dehydrogenase activity	GO_0050470	0	1	0	0	0
trihydroxytoluene dioxygenase activity	GO_0018616	0	1	0	0	0
triferuloylspermidine meta-hydroxylase activity	GO_0072550	0	1	0	0	0
tricoumaroylspermidine meta-hydroxylase activity	GO_0072547	0	1	0	0	0
trichloro-p-hydroquinone reductive dehalogenase activity	GO_0052690	0	1	0	0	0
tri-n-butyltin dioxygenase activity	GO_0018588	0	1	0	0	0
tri-(feruloyl or hydroxyferuloyl) spermidine meta-hydroxylase activity	GO_0072532	0	1	0	0	0
tri-(coumaroyl or caffeoyl) spermidine meta-hydroxylase activity	GO_0072533	0	1	0	0	0
trans-cinnamate 4-monooxygenase activity	GO_0016710	0	1	0	0	0
trans-cinnamate 2-monooxygenase activity	GO_0050344	0	1	0	0	0
trans-acenaphthene-1,2-diol dehydrogenase activity	GO_0047062	0	1	0	0	0
trans-9R,10R-dihydrodiolphenanthrene dehydrogenase activity	GO_0018500	0	1	0	0	0
trans-2-methyl-5-isopropylhexa-2,5-dienal dehydrogenase activity	GO_0018475	0	1	0	0	0
trans-2-enoyl-CoA reductase (NADPH) activity	GO_0019166	0	1	0	0	0
trans-2-enoyl-CoA reductase (NAD+) activity	GO_0050343	0	1	0	0	0
trans-1,2-dihydrodiolphenanthrene dehydrogenase activity	GO_0018503	0	1	0	0	0
trans-1,2-dihydrobenzene-1,2-diol dehydrogenase activity	GO_0047115	0	1	0	0	0
toluene-sulfonate methyl-monooxygenase activity	GO_0018652	0	1	0	0	0
toluene-4-sulfonate monooxygenase activity	GO_0018651	0	1	0	0	0
toluene dioxygenase activity	GO_0018624	0	1	0	0	0
toluene 4-monooxygenase activity	GO_0018638	0	1	0	0	0
toluene 3-monooxygenase activity	GO_0018657	0	1	0	0	0
toluene 2-monooxygenase activity	GO_0018644	0	1	0	0	0
toluate dioxygenase activity	GO_0018611	0	1	0	0	0
tocotrienol omega-hydroxylase activity	GO_0052872	0	1	0	0	0
tocopherol omega-hydroxylase activity	GO_0052870	0	1	0	0	0
thyroxine 5-deiodinase activity	GO_0033798	0	1	0	0	0
thyroxine 5'-deiodinase activity	GO_0004800	0	1	0	0	0
thymine dioxygenase activity	GO_0050341	0	1	0	0	0
thymine dehydrogenase activity	GO_0052620	0	1	0	0	0
thiosulfate dehydrogenase activity	GO_0050338	0	1	0	0	0
thiosulfate dehydrogenase (quinone) activity	GO_0043831	0	1	0	0	0
thioredoxin-disulfide reductase activity	GO_0004791	0	1	0	0	0
thioredoxin peroxidase activity	GO_0008379	0	1	0	0	0
thiophene-2-carbonyl-CoA monooxygenase activity	GO_0050603	0	1	0	0	0
