name	ID	manual	auto	checked	blacklisted	is_obsolete
islet amyloid polypeptide processing	GO_0034231	1	0	1	0	0
type B pancreatic cell maturation	GO_0072560	0	1	1	0	0
type B pancreatic cell fate commitment	GO_0003327	0	1	1	0	0
type B pancreatic cell differentiation	GO_0003309	0	1	1	0	0
type B pancreatic cell development	GO_0003323	0	1	1	0	0
type B pancreatic cell apoptotic process	GO_0097050	0	1	1	0	0
regulation of type B pancreatic cell development	GO_2000074	0	1	0	0	0
regulation of type B pancreatic cell apoptotic process	GO_2000674	0	1	0	0	0
positive regulation of type B pancreatic cell development	GO_2000078	0	1	0	0	0
positive regulation of type B pancreatic cell apoptotic process	GO_2000676	0	1	0	0	0
negative regulation of type B pancreatic cell development	GO_2000077	0	1	0	0	0
negative regulation of type B pancreatic cell apoptotic process	GO_2000675	0	1	0	0	0
