name	ID	manual	auto	checked	blacklisted
peptide stabilization	GO_0050822	1	1	1	0
peptide modification	GO_0031179	1	1	1	0
peptide metabolic process	GO_0006518	1	1	1	0
peptide catabolic process	GO_0043171	1	1	1	0
regulation of peptidyl-tyrosine phosphorylation	GO_0050730	1	0	1	0
regulation of peptidyl-tyrosine autophosphorylation	GO_1900084	1	0	1	0
regulation of peptidyl-threonine phosphorylation	GO_0010799	1	0	1	0
regulation of peptidyl-serine phosphorylation of STAT protein	GO_0033139	1	0	1	0
regulation of peptidyl-serine phosphorylation	GO_0033135	1	0	1	0
regulation of peptidyl-lysine acetylation	GO_2000756	1	0	1	0
regulation of peptidyl-cysteine S-nitrosylation	GO_2000169	1	0	1	0
regulation of N-terminal peptidyl-lysine acetylation	GO_2000759	1	0	1	0
protein-pyridoxal-5-phosphate linkage via peptidyl-N6-pyridoxal phosphate-L-lysine	GO_0018272	1	0	1	0
protein-chromophore linkage via peptidyl-cysteine	GO_0019922	1	0	1	0
protein-chromophore linkage via peptidyl-S-4-hydroxycinnamyl-L-cysteine	GO_0018097	1	0	1	0
protein-chromophore linkage via peptidyl-N6-retinal-L-lysine	GO_0018273	1	0	1	0
protein-chromophore linkage via peptidyl-N6-3-dehydroretinal-L-lysine	GO_0019931	1	0	1	0
protein peptidyl-prolyl isomerization	GO_0000413	1	0	1	0
protein citrullination	GO_0018101	1	0	1	0
positive regulation of peptidyl-tyrosine phosphorylation	GO_0050731	1	0	1	0
positive regulation of peptidyl-tyrosine autophosphorylation	GO_1900086	1	0	1	0
positive regulation of peptidyl-threonine phosphorylation	GO_0010800	1	0	1	0
positive regulation of peptidyl-serine phosphorylation of STAT protein	GO_0033141	1	0	1	0
positive regulation of peptidyl-serine phosphorylation	GO_0033138	1	0	1	0
positive regulation of peptidyl-lysine acetylation	GO_2000758	1	0	1	0
positive regulation of peptidyl-cysteine S-nitrosylation	GO_2000170	1	0	1	0
positive regulation of N-terminal peptidyl-lysine acetylation	GO_2000761	1	0	1	0
peptidyl-valine modification	GO_0018213	1	0	1	0
peptidyl-tyrosine uridylylation	GO_0018165	1	0	1	0
peptidyl-tyrosine sulfation	GO_0006478	1	0	1	0
peptidyl-tyrosine phosphorylation	GO_0018108	1	0	1	0
peptidyl-tyrosine modification	GO_0018212	1	0	1	0
peptidyl-tyrosine hydroxylation	GO_0018336	1	0	1	0
peptidyl-tyrosine dephosphorylation	GO_0035335	1	0	1	0
peptidyl-tyrosine dehydrogenation to form (Z)-2,3-didehydrotyrosine	GO_0030921	1	0	1	0
peptidyl-tyrosine dehydrogenation to form (E)-2,3-didehydrotyrosine	GO_0030922	1	0	1	0
peptidyl-tyrosine dehydrogenation	GO_0018251	1	0	1	0
peptidyl-tyrosine autophosphorylation	GO_0038083	1	0	1	0
peptidyl-tyrosine adenylylation	GO_0018254	1	0	1	0
peptidyl-tryptophan succinylation	GO_0018062	1	0	1	0
peptidyl-tryptophan racemization	GO_0019128	1	0	1	0
peptidyl-tryptophan oxidation to tryptophyl quinone	GO_0019926	1	0	1	0
peptidyl-tryptophan modification	GO_0018211	1	0	1	0
peptidyl-tryptophan hydroxylation	GO_0045325	1	0	1	0
peptidyl-tryptophan bromination	GO_0018080	1	0	1	0
peptidyl-thyronine iodination to form 3',3'',5'-triiodo-L-thyronine	GO_0018407	1	0	1	0
peptidyl-thyronine iodination to form 3',3'',5',5''-tetraiodo-L-thyronine	GO_0018408	1	0	1	0
peptidyl-thyronine iodination	GO_0018078	1	0	1	0
peptidyl-thyronine biosynthetic process from peptidyl-tyrosine	GO_0019879	1	0	1	0
peptidyl-threonine sulfation	GO_0050985	1	0	1	0
peptidyl-threonine racemization	GO_0046927	1	0	1	0
peptidyl-threonine phosphorylation	GO_0018107	1	0	1	0
peptidyl-threonine palmitoylation	GO_0018220	1	0	1	0
peptidyl-threonine octanoylation	GO_0051368	1	0	1	0
peptidyl-threonine modification	GO_0018210	1	0	1	0
peptidyl-threonine dephosphorylation	GO_0035970	1	0	1	0
peptidyl-threonine decanoylation	GO_0051369	1	0	1	0
peptidyl-threonine adenylylation	GO_0018178	1	0	1	0
peptidyl-serine sulfation	GO_0050984	1	0	1	0
peptidyl-serine racemization	GO_0019126	1	0	1	0
peptidyl-serine phosphorylation involved in acrosome reaction	GO_0060477	1	0	1	0
peptidyl-serine phosphorylation	GO_0018105	1	0	1	0
peptidyl-serine phosphopantetheinylation	GO_0018070	1	0	1	0
peptidyl-serine palmitoylation	GO_0018221	1	0	1	0
peptidyl-serine octanoylation	GO_0018191	1	0	1	0
peptidyl-serine modification	GO_0018209	1	0	1	0
peptidyl-serine dephosphorylation	GO_0070262	1	0	1	0
peptidyl-serine decanoylation	GO_0051367	1	0	1	0
peptidyl-serine autophosphorylation	GO_0036289	1	0	1	0
peptidyl-serine acetylation	GO_0030920	1	0	1	0
peptidyl-serine O-glucuronidation	GO_0018413	1	0	1	0
peptidyl-serine O-acetylation	GO_0030919	1	0	1	0
peptidyl-serine ADP-ribosylation	GO_0018312	1	0	1	0
peptidyl-selenocysteine modification	GO_0050844	1	0	1	0
peptidyl-sarcosine incorporation	GO_0019736	1	0	1	0
peptidyl-pyrromethane cofactor linkage	GO_0018160	1	0	1	0
peptidyl-prolyl isomerase B reaction	GO_0006460	1	0	1	1
peptidyl-proline modification	GO_0018208	1	0	1	0
peptidyl-proline hydroxylation to 4-hydroxy-L-proline	GO_0018401	1	0	1	0
peptidyl-proline hydroxylation to 3-hydroxy-L-proline	GO_0018400	1	0	1	0
peptidyl-proline hydroxylation	GO_0019511	1	0	1	0
peptidyl-proline di-hydroxylation	GO_0018188	1	0	1	0
peptidyl-phenylalanine racemization	GO_0019125	1	0	1	0
peptidyl-phenylalanine modification	GO_0018207	1	0	1	0
peptidyl-phenylalanine bromination to L-4'-bromophenylalanine	GO_0018399	1	0	1	0
peptidyl-phenylalanine bromination to L-3'-bromophenylalanine	GO_0018398	1	0	1	0
peptidyl-phenylalanine bromination to L-2'-bromophenylalanine	GO_0018397	1	0	1	0
peptidyl-phenylalanine bromination	GO_0018075	1	0	1	0
peptidyl-methionine racemization	GO_0019123	1	0	1	0
peptidyl-methionine oxidation	GO_0018159	1	0	1	0
peptidyl-methionine modification	GO_0018206	1	0	1	0
peptidyl-lysine trimethylation	GO_0018023	1	0	1	0
peptidyl-lysine succinylation	GO_0036050	1	0	1	0
peptidyl-lysine palmitoylation	GO_0018029	1	0	1	0
peptidyl-lysine oxidation	GO_0018057	1	0	1	0
peptidyl-lysine myristoylation	GO_0018028	1	0	1	0
peptidyl-lysine monomethylation	GO_0018026	1	0	1	0
peptidyl-lysine modification to peptidyl-hypusine	GO_0008612	1	0	1	0
peptidyl-lysine modification to peptidyl-N6-pyruvic acid 2-iminyl-L-lysine	GO_0018341	1	0	1	0
peptidyl-lysine modification	GO_0018205	1	0	1	0
peptidyl-lysine methylation	GO_0018022	1	0	1	0
peptidyl-lysine malonylation	GO_0044392	1	0	1	0
peptidyl-lysine malonylation	GO_0036045	1	0	1	1
peptidyl-lysine lipoylation	GO_0018055	1	0	1	0
peptidyl-lysine hydroxylation to 5-hydroxy-L-lysine	GO_0018395	1	0	1	0
peptidyl-lysine hydroxylation to 4-hydroxy-L-lysine	GO_0018396	1	0	1	0
peptidyl-lysine hydroxylation	GO_0017185	1	0	1	0
peptidyl-lysine guanylylation	GO_0018261	1	0	1	0
peptidyl-lysine formylation	GO_0018257	1	0	1	0
peptidyl-lysine dimethylation	GO_0018027	1	0	1	0
peptidyl-lysine dihydroxylation to 4,5-dihydroxy-L-lysine	GO_0030963	1	0	1	0
peptidyl-lysine desuccinylation	GO_0036049	1	0	1	0
peptidyl-lysine demalonylation	GO_0036047	1	0	1	0
peptidyl-lysine deacetylation	GO_0034983	1	0	1	0
peptidyl-lysine carboxylation	GO_0018235	1	0	1	0
peptidyl-lysine carboxyethylation	GO_0018238	1	0	1	0
peptidyl-lysine biotinylation	GO_0018054	1	0	1	0
peptidyl-lysine adenylylation	GO_0018116	1	0	1	0
peptidyl-lysine acetylation	GO_0018394	1	0	1	0
peptidyl-lysine N6-acetylation	GO_0018003	1	0	1	0
peptidyl-leucine racemization	GO_0019129	1	0	1	0
peptidyl-leucine modification	GO_0018204	1	0	1	0
peptidyl-lactic acid biosynthetic process from peptidyl-serine	GO_0018084	1	0	1	0
peptidyl-isoleucine racemization	GO_0019124	1	0	1	0
peptidyl-isoleucine modification	GO_0018203	1	0	1	0
peptidyl-histidine uridylylation, to form peptidyl-1'-(phospho-5'-uridine)-L-histidine	GO_0051110	1	0	1	0
peptidyl-histidine uridylylation	GO_0051114	1	0	1	0
peptidyl-histidine phosphorylation	GO_0018106	1	0	1	0
peptidyl-histidine modification	GO_0018202	1	0	1	0
peptidyl-histidine methylation, to form tele-methylhistidine	GO_0042038	1	0	1	0
peptidyl-histidine methylation, to form pros-methylhistidine	GO_0042037	1	0	1	0
peptidyl-histidine methylation	GO_0018021	1	0	1	0
