name	ID	manual	auto	checked	blacklisted	is_obsolete
endopolyphosphatase activity	GO_0000298	1	0	1	0	0
trehalose-phosphatase activity	GO_0004805	0	1	1	0	0
transmembrane receptor protein tyrosine phosphatase activity	GO_0005001	0	1	1	0	0
transmembrane receptor protein phosphatase activity	GO_0019198	0	1	1	0	0
thymidylate 5'-phosphatase activity	GO_0050340	0	1	1	0	0
thiamine phosphate phosphatase activity	GO_0042131	0	1	1	0	0
sugar-terminal-phosphatase activity	GO_0050309	0	1	1	0	0
sugar-phosphatase activity	GO_0050308	0	1	1	0	0
sucrose-phosphate phosphatase activity	GO_0050307	0	1	1	0	0
streptomycin-6-phosphatase activity	GO_0050301	0	1	1	0	0
sphingosine-1-phosphate phosphatase activity	GO_0042392	0	1	1	0	0
sorbitol-6-phosphatase activity	GO_0050286	0	1	1	0	0
sedoheptulose-bisphosphatase activity	GO_0050278	0	1	1	0	0
receptor signaling protein tyrosine phosphatase activity	GO_0004728	0	1	1	0	0
receptor signaling protein serine/threonine phosphatase activity	GO_0009400	0	1	1	0	0
pyridoxal phosphatase activity	GO_0033883	0	1	1	0	0
protein tyrosine/threonine phosphatase activity	GO_0008330	0	1	1	0	0
protein tyrosine/serine/threonine phosphatase activity	GO_0008138	0	1	1	0	0
protein tyrosine phosphatase activity, via thiol-phosphate intermediate	GO_0030945	0	1	1	0	0
protein tyrosine phosphatase activity, metal-dependent	GO_0030946	0	1	1	0	0
protein tyrosine phosphatase activity	GO_0004725	0	1	1	0	0
protein serine/threonine phosphatase activity	GO_0004722	0	1	1	0	0
protein arginine phosphatase activity	GO_0098627	0	1	1	0	0
prenylated protein tyrosine phosphatase activity	GO_0004727	0	1	1	0	0
polynucleotide phosphatase activity	GO_0098518	0	1	1	0	0
polynucleotide 5'-phosphatase activity	GO_0004651	0	1	1	0	0
polynucleotide 3'-phosphatase activity	GO_0046403	0	1	1	0	0
phosphoserine phosphatase activity	GO_0004647	0	1	1	0	0
phosphoprotein phosphatase activity	GO_0004721	0	1	1	0	0
phosphohistidine phosphatase activity	GO_0008969	0	1	1	0	0
phosphoglycolate phosphatase activity	GO_0008967	0	1	1	0	0
phosphoglycerate phosphatase activity	GO_0050192	0	1	1	0	0
phosphoethanolamine phosphatase activity	GO_0052732	0	1	1	0	0
phosphoenolpyruvate phosphatase activity	GO_0050189	0	1	1	0	0
phosphocholine phosphatase activity	GO_0052731	0	1	1	0	0
phosphatidylinositol-4-phosphate phosphatase activity	GO_0043812	0	1	1	0	0
phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity	GO_0004439	0	1	1	0	0
phosphatidylinositol-4,5-bisphosphate 4-phosphatase activity	GO_0034597	0	1	1	0	0
phosphatidylinositol-3-phosphatase activity	GO_0004438	0	1	1	0	0
phosphatidylinositol-3,5-bisphosphate 5-phosphatase activity	GO_0043813	0	1	1	0	0
phosphatidylinositol-3,5-bisphosphate 3-phosphatase activity	GO_0052629	0	1	1	0	0
