name	ID	manual	auto	checked	blacklisted	is_obsolete
maintenance of protein location in vacuole	GO_0072667	1	1	1	0	0
maintenance of protein location in plasma membrane	GO_0072660	1	1	1	0	0
maintenance of protein location in peroxisome	GO_0072664	1	1	1	0	0
maintenance of protein location in nucleus	GO_0051457	1	1	1	0	0
maintenance of protein location in membrane	GO_0072658	1	1	1	0	0
maintenance of protein location in extracellular region	GO_0071694	1	1	1	0	0
maintenance of protein location in chloroplast	GO_0072597	1	1	1	0	0
maintenance of protein location in cell cortex of cell tip	GO_0097248	1	1	1	0	0
maintenance of protein location in cell	GO_0032507	1	1	1	0	0
maintenance of protein location	GO_0045185	1	1	1	0	0
maintenance of protein localization in organelle	GO_0072595	1	1	1	0	0
maintenance of protein localization in endoplasmic reticulum	GO_0035437	1	1	1	0	0
viral capsid precursor transport to host cell nucleus	GO_0046752	0	1	0	0	0
ubiquitin-dependent endocytosis	GO_0070086	0	1	0	0	0
type III interferon secretion	GO_0072644	0	1	0	0	0
type I interferon secretion	GO_0072641	0	1	0	0	0
translocation of peptides or proteins into symbiont	GO_0051844	0	1	0	0	0
translocation of peptides or proteins into other organism involved in symbiotic interaction	GO_0051808	0	1	0	0	0
translocation of peptides or proteins into host cell cytoplasm	GO_0044053	0	1	0	0	0
translocation of peptides or proteins into host	GO_0042000	0	1	0	0	0
transforming growth factor-beta secretion	GO_0038044	0	1	0	0	0
transferrin transport	GO_0033572	0	1	0	0	0
transferrin transmembrane transporter activity	GO_0033570	0	1	0	0	0
transcription factor import into nucleus	GO_0042991	0	1	0	0	0
tail-anchored membrane protein insertion into ER membrane	GO_0071816	0	1	0	0	0
symbiont intracellular protein transport in host	GO_0030581	0	1	0	0	0
storage protein import into fat body	GO_0015032	0	1	0	0	0
sterol regulatory element binding protein import into nucleus	GO_0035105	0	1	0	0	0
steroid hormone receptor import into nucleus	GO_0002146	0	1	0	0	0
splicing factor protein import into nucleus	GO_0035048	0	1	0	0	0
snRNP protein import into nucleus	GO_0006608	0	1	0	0	0
skeletal muscle acetylcholine-gated channel clustering	GO_0071340	0	1	0	0	0
sister chromatid biorientation	GO_0031134	0	1	0	0	0
sequestration of proteasome core complex in proteasome storage granule	GO_1990237	0	1	0	0	0
sequestering of actin monomers	GO_0042989	0	1	0	0	0
sequestering of TGFbeta in extracellular matrix	GO_0035583	0	1	0	0	0
sequestering of BMP in extracellular matrix	GO_0035582	0	1	0	0	0
secretion of lysosomal enzymes	GO_0033299	0	1	0	0	0
ribosomal protein import into nucleus	GO_0006610	0	1	0	0	0
retrograde protein transport, ER to cytosol	GO_0030970	0	1	0	0	0
renin secretion into blood stream	GO_0002001	0	1	0	0	0
regulation of translation by machinery localization	GO_0043143	0	1	0	0	0
regulation of synaptic plasticity by receptor localization to synapse	GO_1900383	0	1	0	0	0
regulation of histone H3-T3 phosphorylation involved in chromosome passenger complex localization to kinetochore	GO_2000817	0	1	0	0	0
regulation of endocytosis by exocyst localization	GO_0051600	0	1	0	0	0
regulation of Wnt signaling pathway by Wnt protein secretion	GO_0061359	0	1	0	0	0
receptor localization to synapse	GO_0097120	0	1	0	0	0
receptor localization to nonmotile primary cilium	GO_0097500	0	1	0	0	0
receptor clustering	GO_0043113	0	1	0	0	0
proton motive force dependent protein transmembrane transporter activity	GO_0009977	0	1	0	0	0
protein-transmembrane transporting ATPase activity	GO_0015462	0	1	0	0	0
protein-exporting ATPase activity	GO_0008564	0	1	0	0	0
protein-DNA complex transport	GO_0015869	0	1	0	0	0
protein-DNA complex transmembrane transporter activity	GO_0015219	0	1	0	0	0
protein transporter activity	GO_0008565	0	1	0	0	0
protein transport within lipid bilayer	GO_0032594	0	1	0	0	0
protein transport within extracellular region	GO_0071693	0	1	0	0	0
protein transport out of plasma membrane raft	GO_0044862	0	1	0	0	0
protein transport out of membrane raft	GO_0032599	0	1	0	0	0
protein transport into plasma membrane raft	GO_0044861	0	1	0	0	0
protein transport into membrane raft	GO_0032596	0	1	0	0	0
protein transport from ciliary membrane to plasma membrane	GO_1903445	0	1	0	0	0
protein transport by the Tat complex	GO_0043953	0	1	0	0	0
protein transport by the Sec complex	GO_0043952	0	1	0	0	0
protein transport across periplasmic space	GO_0072322	0	1	0	0	0
protein transport	GO_0015031	0	1	0	0	0
protein transmembrane transporter activity	GO_0008320	0	1	0	0	0
protein transmembrane transport	GO_0071806	0	1	0	0	0
protein targeting to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway	GO_0043328	0	1	0	0	0
protein targeting to vacuole involved in autophagy	GO_0071211	0	1	0	0	0
protein targeting to vacuole	GO_0006623	0	1	0	0	0
protein targeting to vacuolar membrane	GO_0044395	0	1	0	0	0
protein targeting to prospore membrane	GO_0072693	0	1	0	0	0
protein targeting to plasma membrane	GO_0072661	0	1	0	0	0
protein targeting to peroxisome	GO_0006625	0	1	0	0	0
protein targeting to nucleus	GO_0044744	0	1	0	0	0
protein targeting to nuclear inner membrane	GO_0036228	0	1	0	0	0
protein targeting to mitochondrion	GO_0006626	0	1	0	0	0
protein targeting to membrane involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway	GO_0043329	0	1	0	0	0
protein targeting to membrane	GO_0006612	0	1	0	0	0
protein targeting to lysosome	GO_0006622	0	1	0	0	0
protein targeting to chloroplast	GO_0045036	0	1	0	0	0
protein targeting to Golgi	GO_0000042	0	1	0	0	0
protein targeting to ER	GO_0045047	0	1	0	0	0
protein targeting	GO_0006605	0	1	0	0	0
protein secretion by the type VII secretion system	GO_0044315	0	1	0	0	0
protein secretion by the type VI secretion system	GO_0033103	0	1	0	0	0
protein secretion by the type V secretion system	GO_0046819	0	1	0	0	0
protein secretion by the type IV secretion system	GO_0030255	0	1	0	0	0
protein secretion by the type III secretion system	GO_0030254	0	1	0	0	0
protein secretion by the type II secretion system	GO_0015628	0	1	0	0	0
protein secretion by the type I secretion system	GO_0030253	0	1	0	0	0
protein secretion by platelet	GO_0070560	0	1	0	0	0
protein secretion	GO_0009306	0	1	0	0	0
