name	ID	manual	auto	checked	blacklisted	is_obsolete
peptidyltransferase activity	GO_0000048	1	0	1	0	0
zymogen activation in other organism	GO_0044541	0	1	0	0	0
zymogen activation	GO_0031638	0	1	0	0	0
viral translational shunt	GO_0039704	0	1	0	0	0
viral translation	GO_0019081	0	1	0	0	0
viral protein processing	GO_0019082	0	1	0	0	0
vanadium incorporation into metallo-sulfur cluster	GO_0042039	0	1	0	0	0
vacuolar protein processing	GO_0006624	0	1	0	0	0
ubiquitin-independent protein catabolic process via the multivesicular body sorting pathway	GO_0090611	0	1	0	0	0
ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway	GO_0043162	0	1	0	0	0
ubiquitin-dependent protein catabolic process via the N-end rule pathway	GO_0071596	0	1	0	0	0
ubiquitin-dependent protein catabolic process	GO_0006511	0	1	0	0	0
ubiquitin-dependent SMAD protein catabolic process	GO_0030579	0	1	0	0	0
tyrosine phosphorylation of Stat7 protein	GO_0042507	0	1	0	0	0
tyrosine phosphorylation of Stat6 protein	GO_0042505	0	1	0	0	0
tyrosine phosphorylation of Stat5 protein	GO_0042506	0	1	0	0	0
tyrosine phosphorylation of Stat4 protein	GO_0042504	0	1	0	0	0
tyrosine phosphorylation of Stat3 protein	GO_0042503	0	1	0	0	0
tyrosine phosphorylation of Stat2 protein	GO_0042502	0	1	0	0	0
tyrosine phosphorylation of Stat1 protein	GO_0042508	0	1	0	0	0
tyrosine phosphorylation of STAT protein	GO_0007260	0	1	0	0	0
type I interferon biosynthetic process	GO_0045351	0	1	0	0	0
tungsten incorporation via L-selenocysteinyl tungsten bis(molybdopterin guanine dinucleotide)	GO_0051218	0	1	0	0	0
tungsten incorporation into tungsten-molybdopterin complex	GO_0042042	0	1	0	0	0
tungsten incorporation into metallo-sulfur cluster	GO_0051221	0	1	0	0	0
tumor necrosis factor biosynthetic process	GO_0042533	0	1	0	0	0
tubulin deacetylation	GO_0090042	0	1	0	0	0
trypsinogen activation	GO_0032023	0	1	0	0	0
translation	GO_0006412	0	1	0	0	0
transcription factor catabolic process	GO_0036369	0	1	0	0	0
trans-translation-dependent protein tagging	GO_0070930	0	1	0	0	0
tissue kallikrein-kinin cascade	GO_0002255	0	1	0	0	0
thymidylate synthase biosynthetic process	GO_0050757	0	1	0	0	0
thioredoxin biosynthetic process	GO_0042964	0	1	0	0	0
suppression by virus of host STAT1 activity by tyrosine dephosphorylation of STAT1	GO_0039566	0	1	0	0	0
suppression by virus of host RIG-I activity by RIG-I proteolysis	GO_0039544	0	1	0	0	0
suppression by virus of host MAVS activity by MAVS proteolysis	GO_0039546	0	1	0	0	0
sulfurated eukaryotic molybdenum cofactor(2-) biosynthetic process	GO_1902756	0	1	0	0	0
sulfur incorporation into metallo-sulfur cluster	GO_0031162	0	1	0	0	0
sterol regulatory element binding protein cleavage	GO_0035103	0	1	0	0	0
sodium-dependent self proteolysis	GO_1990091	0	1	0	0	0
signal peptide processing	GO_0006465	0	1	0	0	0
serine phosphorylation of STAT3 protein	GO_0033136	0	1	0	0	0
serine phosphorylation of STAT protein	GO_0042501	0	1	0	0	0
self proteolysis	GO_0097264	0	1	0	0	0
ribosome-associated ubiquitin-dependent protein catabolic process	GO_1990116	0	1	0	0	0
rhodopsin metabolic process	GO_0046154	0	1	0	0	0
rhodopsin catabolic process	GO_0046155	0	1	0	0	0
rhodopsin biosynthetic process	GO_0016063	0	1	0	0	0
regulation of translational initiation by eIF2 alpha phosphorylation	GO_0010998	0	1	0	0	0
regulation of transcription from RNA polymerase II promoter by histone modification	GO_1903756	0	1	0	0	0
pyrroloquinoline quinone biosynthetic process	GO_0018189	0	1	0	0	0
proteolysis within lysosome associated with antigen processing and presentation	GO_0002500	0	1	0	0	0
proteolysis within endosome associated with antigen processing and presentation	GO_0002499	0	1	0	0	0
proteolysis within endoplasmic reticulum associated with antigen processing and presentation	GO_0002498	0	1	0	0	0
proteolysis involved in cellular protein catabolic process	GO_0051603	0	1	0	0	0
proteolysis in other organism	GO_0035897	0	1	0	0	0
proteolysis by virus of host translation initiation factor	GO_0039607	0	1	0	0	0
proteolysis by cytosolic proteases associated with antigen processing and presentation	GO_0002203	0	1	0	0	0
proteolysis associated with antigen processing and presentation	GO_0002496	0	1	0	0	0
proteolysis	GO_0006508	0	1	0	0	0
proteoglycan metabolic process	GO_0006029	0	1	0	0	0
proteoglycan catabolic process	GO_0030167	0	1	0	0	0
proteoglycan biosynthetic process	GO_0030166	0	1	0	0	0
protein-tetrapyrrole linkage	GO_0017006	0	1	0	0	0
protein-pyridoxal-5-phosphate linkage via peptidyl-N6-pyridoxal phosphate-L-lysine	GO_0018272	0	1	0	0	0
protein-pyridoxal-5-phosphate linkage	GO_0018352	0	1	0	0	0
protein-phytochromobilin linkage via S-phytochromobilin-L-cysteine	GO_0018358	0	1	0	0	0
protein-phytochromobilin linkage	GO_0017012	0	1	0	0	0
protein-phycourobilin linkage via phycourobilin-bis-L-cysteine	GO_0018357	0	1	0	0	0
protein-phycourobilin linkage	GO_0017010	0	1	0	0	0
