name	ID	manual	auto	checked	blacklisted	is_obsolete
protein secretion by the type VII secretion system	GO_0044315	1	1	1	0	0
protein secretion by the type VI secretion system	GO_0033103	1	1	1	0	0
protein secretion by the type V secretion system	GO_0046819	1	1	1	0	0
protein secretion by the type IV secretion system	GO_0030255	1	1	1	0	0
protein secretion by the type III secretion system	GO_0030254	1	1	1	0	0
protein secretion by the type II secretion system	GO_0015628	1	1	1	0	0
protein secretion by the type I secretion system	GO_0030253	1	1	1	0	0
protein secretion by platelet	GO_0070560	1	1	1	0	0
protein secretion	GO_0009306	1	1	1	0	0
exocyst	GO_0000145	1	0	1	0	0
type III interferon secretion	GO_0072644	0	1	1	0	0
type I interferon secretion	GO_0072641	0	1	1	0	0
transforming growth factor-beta secretion	GO_0038044	0	1	1	0	0
secretion of lysosomal enzymes	GO_0033299	0	1	1	0	0
renin secretion into blood stream	GO_0002001	0	1	1	0	0
regulation of transforming growth factor-beta secretion	GO_2001201	0	1	1	0	0
regulation of secretion of lysosomal enzymes	GO_0090182	0	1	1	0	0
regulation of renin secretion into blood stream	GO_1900133	0	1	1	0	0
regulation of protein secretion	GO_0050708	0	1	1	0	0
regulation of pancreatic amylase secretion	GO_1902276	0	1	1	0	0
regulation of interleukin-8 secretion	GO_2000482	0	1	1	0	0
regulation of interleukin-5 secretion	GO_2000662	0	1	1	0	0
regulation of interleukin-2 secretion	GO_1900040	0	1	1	0	0
regulation of interleukin-13 secretion	GO_2000665	0	1	1	0	0
regulation of interleukin-12 secretion	GO_2001182	0	1	1	0	0
regulation of interleukin-10 secretion	GO_2001179	0	1	1	0	0
regulation of interleukin-1 secretion	GO_0050704	0	1	1	0	0
regulation of interleukin-1 beta secretion	GO_0050706	0	1	1	0	0
regulation of interleukin-1 alpha secretion	GO_0050705	0	1	1	0	0
regulation of interferon-gamma secretion	GO_1902713	0	1	1	0	0
regulation of interferon-beta secretion	GO_0035547	0	1	1	0	0
regulation of interferon-alpha secretion	GO_1902739	0	1	1	0	0
regulation of insulin secretion involved in cellular response to glucose stimulus	GO_0061178	0	1	1	0	0
regulation of insulin secretion	GO_0050796	0	1	1	0	0
regulation of immunoglobulin secretion	GO_0051023	0	1	1	0	0
regulation of glial cell line-derived neurotrophic factor secretion	GO_1900166	0	1	1	0	0
regulation of cytokine secretion involved in immune response	GO_0002739	0	1	1	0	0
regulation of cytokine secretion	GO_0050707	0	1	1	0	0
regulation of chemokine secretion	GO_0090196	0	1	1	0	0
regulation of chemokine (C-C motif) ligand 6 secretion	GO_0035535	0	1	1	0	0
regulation of adiponectin secretion	GO_0070163	0	1	1	0	0
regulation of Wnt signaling pathway by Wnt protein secretion	GO_0061359	0	1	1	0	0
regulation of Wnt protein secretion	GO_0061356	0	1	1	0	0
regulation of BMP secretion	GO_2001284	0	1	1	0	0
prolactin secretion	GO_0070459	0	1	1	0	0
positive regulation of transforming growth factor-beta secretion	GO_2001203	0	1	1	0	0
positive regulation of secretion of lysosomal enzymes	GO_0090340	0	1	1	0	0
positive regulation of renin secretion into blood stream	GO_1900135	0	1	1	0	0
positive regulation of protein secretion	GO_0050714	0	1	1	0	0
positive regulation of prolactin secretion	GO_1902722	0	1	1	0	0
positive regulation of pancreatic amylase secretion by cholecystokinin signaling pathway	GO_1902279	0	1	1	0	0
positive regulation of pancreatic amylase secretion	GO_1902278	0	1	1	0	0
positive regulation of interleukin-8 secretion	GO_2000484	0	1	1	0	0
positive regulation of interleukin-6 secretion	GO_2000778	0	1	1	0	0
positive regulation of interleukin-5 secretion	GO_2000664	0	1	1	0	0
positive regulation of interleukin-2 secretion	GO_1900042	0	1	1	0	0
positive regulation of interleukin-13 secretion	GO_2000667	0	1	1	0	0
positive regulation of interleukin-12 secretion	GO_2001184	0	1	1	0	0
positive regulation of interleukin-10 secretion	GO_2001181	0	1	1	0	0
positive regulation of interleukin-1 secretion	GO_0050716	0	1	1	0	0
positive regulation of interleukin-1 beta secretion	GO_0050718	0	1	1	0	0
positive regulation of interleukin-1 alpha secretion	GO_0050717	0	1	1	0	0
positive regulation of interferon-gamma secretion	GO_1902715	0	1	1	0	0
positive regulation of interferon-beta secretion	GO_0035549	0	1	1	0	0
positive regulation of interferon-alpha secretion	GO_1902741	0	1	1	0	0
positive regulation of insulin secretion involved in cellular response to glucose stimulus	GO_0035774	0	1	1	0	0
positive regulation of insulin secretion	GO_0032024	0	1	1	0	0
positive regulation of immunoglobulin secretion	GO_0051024	0	1	1	0	0
positive regulation of glial cell line-derived neurotrophic factor secretion	GO_1900168	0	1	1	0	0
positive regulation of cytokine secretion involved in immune response	GO_0002741	0	1	1	0	0
positive regulation of cytokine secretion	GO_0050715	0	1	1	0	0
positive regulation of chemokine secretion	GO_0090197	0	1	1	0	0
positive regulation of chemokine (C-C motif) ligand 6 secretion	GO_0035537	0	1	1	0	0
positive regulation of adiponectin secretion	GO_0070165	0	1	1	0	0
positive regulation of Wnt protein secretion	GO_0061357	0	1	1	0	0
positive regulation of BMP secretion	GO_1900144	0	1	1	0	0
platelet activating factor secretion involved in inflammatory response	GO_0002535	0	1	1	0	0
platelet activating factor secretion	GO_0002392	0	1	1	0	0
pancreatic amylase secretion	GO_0036395	0	1	1	0	0
negative regulation of transforming growth factor-beta secretion	GO_2001202	0	1	1	0	0
negative regulation of secretion of lysosomal enzymes	GO_0090341	0	1	1	0	0
negative regulation of renin secretion into blood stream	GO_1900134	0	1	1	0	0
negative regulation of protein secretion	GO_0050709	0	1	1	0	0
negative regulation of prolactin secretion	GO_1902721	0	1	1	0	0
negative regulation of pancreatic amylase secretion	GO_1902277	0	1	1	0	0
negative regulation of interleukin-8 secretion	GO_2000483	0	1	1	0	0
negative regulation of interleukin-6 secretion	GO_1900165	0	1	1	0	0
negative regulation of interleukin-5 secretion	GO_2000663	0	1	1	0	0
negative regulation of interleukin-2 secretion	GO_1900041	0	1	1	0	0
negative regulation of interleukin-13 secretion	GO_2000666	0	1	1	0	0
negative regulation of interleukin-12 secretion	GO_2001183	0	1	1	0	0
negative regulation of interleukin-10 secretion	GO_2001180	0	1	1	0	0
negative regulation of interleukin-1 secretion	GO_0050711	0	1	1	0	0
negative regulation of interleukin-1 beta secretion	GO_0050713	0	1	1	0	0
negative regulation of interleukin-1 alpha secretion	GO_0050712	0	1	1	0	0
negative regulation of interferon-gamma secretion	GO_1902714	0	1	1	0	0
negative regulation of interferon-beta secretion	GO_0035548	0	1	1	0	0
negative regulation of interferon-alpha secretion	GO_1902740	0	1	1	0	0
negative regulation of insulin secretion involved in cellular response to glucose stimulus	GO_0061179	0	1	1	0	0
negative regulation of insulin secretion	GO_0046676	0	1	1	0	0
negative regulation of immunoglobulin secretion	GO_0051025	0	1	1	0	0
negative regulation of glial cell line-derived neurotrophic factor secretion	GO_1900167	0	1	1	0	0
negative regulation of cytokine secretion involved in immune response	GO_0002740	0	1	1	0	0
negative regulation of cytokine secretion	GO_0050710	0	1	1	0	0
negative regulation of chemokine secretion	GO_0090198	0	1	1	0	0
negative regulation of chemokine (C-C motif) ligand 6 secretion	GO_0035536	0	1	1	0	0
negative regulation of adiponectin secretion	GO_0070164	0	1	1	0	0
negative regulation of Wnt protein secretion	GO_0061358	0	1	1	0	0
negative regulation of BMP signaling pathway by negative regulation of BMP secretion	GO_0038056	0	1	1	0	0
negative regulation of BMP secretion	GO_2001285	0	1	1	0	0
lysosomal enzyme secretion involved in inflammatory response	GO_0002533	0	1	1	0	0
interleukin-9 secretion	GO_0072607	0	1	1	0	0
interleukin-8 secretion	GO_0072606	0	1	1	0	0
interleukin-7 secretion	GO_0072605	0	1	1	0	0
interleukin-6 secretion	GO_0072604	0	1	1	0	0
interleukin-5 secretion	GO_0072603	0	1	1	0	0
interleukin-4 secretion	GO_0072602	0	1	1	0	0
interleukin-35 secretion	GO_0072626	0	1	1	0	0
interleukin-33 secretion	GO_0072640	0	1	1	0	0
interleukin-32 secretion	GO_0072638	0	1	1	0	0
interleukin-31 secretion	GO_0072636	0	1	1	0	0
interleukin-30 secretion	GO_0072634	0	1	1	0	0
interleukin-3 secretion	GO_0072601	0	1	1	0	0
interleukin-29 secretion	GO_0072632	0	1	1	0	0
interleukin-28B secretion	GO_0072630	0	1	1	0	0
interleukin-28A secretion	GO_0072628	0	1	1	0	0
interleukin-27 secretion	GO_0072625	0	1	1	0	0
interleukin-26 secretion	GO_0072624	0	1	1	0	0
interleukin-25 secretion	GO_0072623	0	1	1	0	0
interleukin-24 secretion	GO_0072622	0	1	1	0	0
interleukin-23 secretion	GO_0072621	0	1	1	0	0
interleukin-22 secretion	GO_0072620	0	1	1	0	0
interleukin-21 secretion	GO_0072619	0	1	1	0	0
interleukin-20 secretion	GO_0072618	0	1	1	0	0
interleukin-2 secretion	GO_0070970	0	1	1	0	0
interleukin-19 secretion	GO_0072617	0	1	1	0	0
interleukin-18 secretion	GO_0072616	0	1	1	0	0
interleukin-17 secretion	GO_0072615	0	1	1	0	0
interleukin-16 secretion	GO_0072614	0	1	1	0	0
interleukin-15 secretion	GO_0072613	0	1	1	0	0
interleukin-14 secretion	GO_0072612	0	1	1	0	0
interleukin-13 secretion	GO_0072611	0	1	1	0	0
interleukin-12 secretion	GO_0072610	0	1	1	0	0
interleukin-11 secretion	GO_0072609	0	1	1	0	0
interleukin-10 secretion	GO_0072608	0	1	1	0	0
interleukin-1 secretion	GO_0050701	0	1	1	0	0
interleukin-1 beta secretion	GO_0050702	0	1	1	0	0
interleukin-1 alpha secretion	GO_0050703	0	1	1	0	0
interferon-tau secretion	GO_0072652	0	1	1	0	0
interferon-omega secretion	GO_0072654	0	1	1	0	0
interferon-kappa secretion	GO_0072650	0	1	1	0	0
interferon-gamma secretion	GO_0072643	0	1	1	0	0
interferon-epsilon secretion	GO_0072648	0	1	1	0	0
interferon-delta secretion	GO_0072646	0	1	1	0	0
interferon-beta secretion	GO_0035546	0	1	1	0	0
interferon-alpha secretion	GO_0072642	0	1	1	0	0
insulin secretion involved in cellular response to glucose stimulus	GO_0035773	0	1	1	0	0
insulin secretion	GO_0030073	0	1	1	0	0
immunoglobulin secretion involved in immune response	GO_0002380	0	1	1	0	0
immunoglobulin secretion	GO_0048305	0	1	1	0	0
glial cell line-derived neurotrophic factor secretion	GO_0044467	0	1	1	0	0
cytokine secretion involved in immune response	GO_0002374	0	1	1	0	0
cytokine secretion	GO_0050663	0	1	1	0	0
chemokine secretion	GO_0090195	0	1	1	0	0
chemokine (C-C motif) ligand 6 secretion	GO_0035534	0	1	1	0	0
chemokine (C-C motif) ligand 2 secretion	GO_0035926	0	1	1	0	0
amylase secretion	GO_0036394	0	1	1	0	0
adiponectin secretion	GO_0070162	0	1	1	0	0
Wnt protein secretion	GO_0061355	0	1	1	0	0
BMP secretion	GO_0038055	0	1	1	0	0
