name	ID	manual	auto	checked	blacklisted	is_obsolete
protein import into nucleus, translocation	GO_0000060	1	1	1	0	0
protein import into nucleus, substrate release	GO_0000061	1	1	1	0	0
protein import into nucleus, docking	GO_0000059	1	1	1	0	0
chaperone-mediated protein transport across periplasmic space	GO_0072323	1	1	1	0	0
chaperone-mediated protein transport	GO_0072321	1	1	1	0	0
viral capsid precursor transport to host cell nucleus	GO_0046752	0	1	0	0	0
ubiquitin-dependent endocytosis	GO_0070086	0	1	0	0	0
type III interferon secretion	GO_0072644	0	1	0	0	0
type I interferon secretion	GO_0072641	0	1	0	0	0
translocation of peptides or proteins into symbiont	GO_0051844	0	1	0	0	0
translocation of peptides or proteins into other organism involved in symbiotic interaction	GO_0051808	0	1	0	0	0
translocation of peptides or proteins into host cell cytoplasm	GO_0044053	0	1	0	0	0
translocation of peptides or proteins into host	GO_0042000	0	1	0	0	0
transforming growth factor-beta secretion	GO_0038044	0	1	0	0	0
transferrin transport	GO_0033572	0	1	0	0	0
transferrin transmembrane transporter activity	GO_0033570	0	1	0	0	0
transcription factor import into nucleus	GO_0042991	0	1	0	0	0
symbiont intracellular protein transport in host	GO_0030581	0	1	0	0	0
suppression by virus of host STAT2 activity by negative regulation of STAT protein import into nucleus	GO_0039570	0	1	0	0	0
suppression by virus of host STAT1 activity by negative regulation of STAT protein import into nucleus	GO_0039567	0	1	0	0	0
storage protein import into fat body	GO_0015032	0	1	0	0	0
sterol regulatory element binding protein import into nucleus	GO_0035105	0	1	0	0	0
steroid hormone receptor import into nucleus	GO_0002146	0	1	0	0	0
splicing factor protein import into nucleus	GO_0035048	0	1	0	0	0
snRNP protein import into nucleus	GO_0006608	0	1	0	0	0
secretion of lysosomal enzymes	GO_0033299	0	1	0	0	0
ribosomal protein import into nucleus	GO_0006610	0	1	0	0	0
retrograde protein transport, ER to cytosol	GO_0030970	0	1	0	0	0
renin secretion into blood stream	GO_0002001	0	1	0	0	0
release of cytoplasmic sequestered NF-kappaB	GO_0008588	0	1	0	0	0
regulation of ubiquitin-dependent endocytosis	GO_2000395	0	1	0	0	0
regulation of transforming growth factor-beta secretion	GO_2001201	0	1	0	0	0
regulation of transcription factor import into nucleus	GO_0042990	0	1	0	0	0
regulation of secretion of lysosomal enzymes	GO_0090182	0	1	0	0	0
regulation of renin secretion into blood stream	GO_1900133	0	1	0	0	0
regulation of protein transport	GO_0051223	0	1	0	0	0
regulation of protein targeting to vacuolar membrane	GO_1900483	0	1	0	0	0
regulation of protein targeting to prospore membrane	GO_2001231	0	1	0	0	0
regulation of protein targeting to mitochondrion	GO_1903214	0	1	0	0	0
regulation of protein targeting to membrane	GO_0090313	0	1	0	0	0
regulation of protein targeting	GO_1903533	0	1	0	0	0
regulation of protein secretion	GO_0050708	0	1	0	0	0
regulation of protein processing involved in protein targeting to mitochondrion	GO_1903216	0	1	0	0	0
regulation of protein import into nucleus, translocation	GO_0033158	0	1	0	0	0
regulation of protein import into nucleus	GO_0042306	0	1	0	0	0
regulation of protein import into mitochondrial outer membrane	GO_1903636	0	1	0	0	0
regulation of protein export from nucleus	GO_0046825	0	1	0	0	0
regulation of protein exit from endoplasmic reticulum	GO_0070861	0	1	0	0	0
regulation of pancreatic amylase secretion	GO_1902276	0	1	0	0	0
regulation of intracellular protein transport	GO_0033157	0	1	0	0	0
regulation of interleukin-8 secretion	GO_2000482	0	1	0	0	0
regulation of interleukin-5 secretion	GO_2000662	0	1	0	0	0
regulation of interleukin-2 secretion	GO_1900040	0	1	0	0	0
regulation of interleukin-13 secretion	GO_2000665	0	1	0	0	0
regulation of interleukin-12 secretion	GO_2001182	0	1	0	0	0
regulation of interleukin-10 secretion	GO_2001179	0	1	0	0	0
regulation of interleukin-1 secretion	GO_0050704	0	1	0	0	0
regulation of interleukin-1 beta secretion	GO_0050706	0	1	0	0	0
regulation of interleukin-1 alpha secretion	GO_0050705	0	1	0	0	0
regulation of interferon-gamma secretion	GO_1902713	0	1	0	0	0
regulation of interferon-beta secretion	GO_0035547	0	1	0	0	0
regulation of interferon-alpha secretion	GO_1902739	0	1	0	0	0
regulation of immunoglobulin secretion	GO_0051023	0	1	0	0	0
regulation of glial cell line-derived neurotrophic factor secretion	GO_1900166	0	1	0	0	0
regulation of cytokine secretion involved in immune response	GO_0002739	0	1	0	0	0
regulation of cytokine secretion	GO_0050707	0	1	0	0	0
regulation of chemokine secretion	GO_0090196	0	1	0	0	0
regulation of chemokine (C-C motif) ligand 6 secretion	GO_0035535	0	1	0	0	0
regulation of catenin import into nucleus	GO_0035412	0	1	0	0	0
regulation of Wnt signaling pathway by Wnt protein secretion	GO_0061359	0	1	0	0	0
regulation of Wnt protein secretion	GO_0061356	0	1	0	0	0
regulation of STAT protein import into nucleus	GO_2000364	0	1	0	0	0
regulation of SMAD protein import into nucleus	GO_0060390	0	1	0	0	0
regulation of NFAT protein import into nucleus	GO_0051532	0	1	0	0	0
regulation of NF-kappaB import into nucleus	GO_0042345	0	1	0	0	0
regulation of MAPK export from nucleus	GO_0071701	0	1	0	0	0
regulation of Golgi to plasma membrane protein transport	GO_0042996	0	1	0	0	0
regulation of Golgi to plasma membrane CFTR protein transport	GO_0042999	0	1	0	0	0
regulation of CVT pathway	GO_2001159	0	1	0	0	0
regulation of BMP secretion	GO_2001284	0	1	0	0	0
proton motive force dependent protein transmembrane transporter activity	GO_0009977	0	1	0	0	0
protein-transmembrane transporting ATPase activity	GO_0015462	0	1	0	0	0
protein-exporting ATPase activity	GO_0008564	0	1	0	0	0
protein-DNA complex transport	GO_0015869	0	1	0	0	0
