name	ID	manual	auto	checked	blacklisted	is_obsolete
purine-containing compound salvage	GO_0043101	1	1	1	0	0
purine-containing compound metabolic process	GO_0072521	1	1	1	0	0
purine-containing compound catabolic process	GO_0072523	1	1	1	0	0
purine-containing compound biosynthetic process	GO_0072522	1	1	1	0	0
purine ribonucleotide metabolic process	GO_0009150	1	1	1	0	0
purine ribonucleotide interconversion	GO_0015951	1	1	1	0	0
purine ribonucleotide catabolic process	GO_0009154	1	1	1	0	0
purine ribonucleotide biosynthetic process	GO_0009152	1	1	1	0	0
purine ribonucleoside salvage	GO_0006166	1	1	1	0	0
purine ribonucleoside metabolic process	GO_0046128	1	1	1	0	0
purine ribonucleoside catabolic process	GO_0046130	1	1	1	0	0
purine ribonucleoside bisphosphate metabolic process	GO_0034035	1	1	1	0	0
purine ribonucleoside bisphosphate catabolic process	GO_0034037	1	1	1	0	0
purine ribonucleoside bisphosphate biosynthetic process	GO_0034036	1	1	1	0	0
purine ribonucleoside biosynthetic process	GO_0046129	1	1	1	0	0
purine nucleotide salvage	GO_0032261	1	1	1	0	0
purine nucleotide metabolic process	GO_0006163	1	1	1	0	0
purine nucleotide interconversion	GO_0015950	1	1	1	0	0
purine nucleotide catabolic process	GO_0006195	1	1	1	0	0
purine nucleotide biosynthetic process	GO_0006164	1	1	1	0	0
purine nucleoside metabolic process	GO_0042278	1	1	1	0	0
purine nucleoside interconversion	GO_0019686	1	1	1	0	0
purine nucleoside catabolic process	GO_0006152	1	1	1	0	0
purine nucleoside bisphosphate metabolic process	GO_0034032	1	1	1	0	0
purine nucleoside bisphosphate catabolic process	GO_0034034	1	1	1	0	0
purine nucleoside bisphosphate biosynthetic process	GO_0034033	1	1	1	0	0
purine nucleoside biosynthetic process	GO_0042451	1	1	1	0	0
purine nucleobase salvage	GO_0043096	1	1	1	0	0
purine nucleobase metabolic process	GO_0006144	1	1	1	0	0
purine nucleobase catabolic process	GO_0006145	1	1	1	0	0
purine nucleobase biosynthetic process	GO_0009113	1	1	1	0	0
purine deoxyribonucleotide metabolic process	GO_0009151	1	1	1	0	0
purine deoxyribonucleotide interconversion	GO_0015952	1	1	1	0	0
purine deoxyribonucleotide catabolic process	GO_0009155	1	1	1	0	0
purine deoxyribonucleotide biosynthetic process	GO_0009153	1	1	1	0	0
purine deoxyribonucleoside salvage	GO_0043098	1	1	1	0	0
purine deoxyribonucleoside metabolic process	GO_0046122	1	1	1	0	0
purine deoxyribonucleoside interconversion	GO_0019688	1	1	1	0	0
purine deoxyribonucleoside catabolic process	GO_0046124	1	1	1	0	0
purine deoxyribonucleoside biosynthetic process	GO_0046123	1	1	1	0	0
purine alkaloid metabolic process	GO_0046446	1	1	1	0	0
