name	ID	manual	auto	checked	blacklisted	is_obsolete
pyrimidine-containing compound salvage	GO_0008655	1	1	1	0	0
pyrimidine-containing compound metabolic process	GO_0072527	1	1	1	0	0
pyrimidine-containing compound catabolic process	GO_0072529	1	1	1	0	0
pyrimidine-containing compound biosynthetic process	GO_0072528	1	1	1	0	0
pyrimidine ribonucleotide salvage	GO_0010138	1	1	1	0	0
pyrimidine ribonucleotide metabolic process	GO_0009218	1	1	1	0	0
pyrimidine ribonucleotide interconversion	GO_0015954	1	1	1	0	0
pyrimidine ribonucleotide catabolic process	GO_0009222	1	1	1	0	0
pyrimidine ribonucleotide biosynthetic process	GO_0009220	1	1	1	0	0
pyrimidine ribonucleoside metabolic process	GO_0046131	1	1	1	0	0
pyrimidine ribonucleoside catabolic process	GO_0046133	1	1	1	0	0
pyrimidine ribonucleoside biosynthetic process	GO_0046132	1	1	1	0	0
pyrimidine nucleotide salvage	GO_0032262	1	1	1	0	0
pyrimidine nucleotide metabolic process	GO_0006220	1	1	1	0	0
pyrimidine nucleotide interconversion	GO_0015953	1	1	1	0	0
pyrimidine nucleotide catabolic process	GO_0006244	1	1	1	0	0
pyrimidine nucleotide biosynthetic process	GO_0006221	1	1	1	0	0
pyrimidine nucleoside salvage	GO_0043097	1	1	1	0	0
pyrimidine nucleoside metabolic process	GO_0006213	1	1	1	0	0
pyrimidine nucleoside interconversion	GO_0019689	1	1	1	0	0
pyrimidine nucleoside catabolic process	GO_0046135	1	1	1	0	0
pyrimidine nucleoside biosynthetic process	GO_0046134	1	1	1	0	0
pyrimidine nucleobase salvage	GO_0043100	1	1	1	0	0
pyrimidine nucleobase metabolic process	GO_0006206	1	1	1	0	0
pyrimidine nucleobase fermentation	GO_0043466	1	1	1	0	0
pyrimidine nucleobase catabolic process	GO_0006208	1	1	1	0	0
pyrimidine nucleobase biosynthetic process	GO_0019856	1	1	1	0	0
pyrimidine deoxyribonucleotide salvage	GO_0010139	1	1	1	0	0
pyrimidine deoxyribonucleotide metabolic process	GO_0009219	1	1	1	0	0
pyrimidine deoxyribonucleotide interconversion	GO_0015955	1	1	1	0	0
pyrimidine deoxyribonucleotide catabolic process	GO_0009223	1	1	1	0	0
pyrimidine deoxyribonucleotide biosynthetic process	GO_0009221	1	1	1	0	0
pyrimidine deoxyribonucleoside salvage	GO_0043099	1	1	1	0	0
pyrimidine deoxyribonucleoside metabolic process	GO_0046125	1	1	1	0	0
pyrimidine deoxyribonucleoside interconversion	GO_0019690	1	1	1	0	0
pyrimidine deoxyribonucleoside catabolic process	GO_0046127	1	1	1	0	0
pyrimidine deoxyribonucleoside biosynthetic process	GO_0046126	1	1	1	0	0
'de novo' pyrimidine nucleobase biosynthetic process	GO_0006207	1	1	1	0	0
regulation of pyrimidine nucleotide biosynthetic process	GO_1900397	1	0	1	0	0
regulation of pyrimidine nucleoside transport	GO_0032246	1	0	1	0	0
regulation of pyrimidine nucleobase metabolic process	GO_0006142	1	0	1	0	0
pyrimidine-containing compound transmembrane transport	GO_0072531	1	0	1	0	0
pyrimidine ribonucleoside triphosphate metabolic process	GO_0009208	1	0	1	0	0
pyrimidine ribonucleoside triphosphate catabolic process	GO_0009210	1	0	1	0	0
pyrimidine ribonucleoside triphosphate biosynthetic process	GO_0009209	1	0	1	0	0
pyrimidine ribonucleoside monophosphate metabolic process	GO_0009173	1	0	1	0	0
pyrimidine ribonucleoside monophosphate catabolic process	GO_0009175	1	0	1	0	0
pyrimidine ribonucleoside monophosphate biosynthetic process	GO_0009174	1	0	1	0	0
pyrimidine ribonucleoside diphosphate metabolic process	GO_0009193	1	0	1	0	0
pyrimidine ribonucleoside diphosphate catabolic process	GO_0009195	1	0	1	0	0
pyrimidine ribonucleoside diphosphate biosynthetic process	GO_0009194	1	0	1	0	0
pyrimidine nucleotide-sugar transport	GO_0015781	1	0	1	0	0
pyrimidine nucleotide transport	GO_0006864	1	0	1	0	0
pyrimidine nucleoside triphosphate metabolic process	GO_0009147	1	0	1	0	0
pyrimidine nucleoside triphosphate catabolic process	GO_0009149	1	0	1	0	0
pyrimidine nucleoside triphosphate biosynthetic process	GO_0009148	1	0	1	0	0
pyrimidine nucleoside transport	GO_0015864	1	0	1	0	0
pyrimidine nucleoside monophosphate metabolic process	GO_0009129	1	0	1	0	0
pyrimidine nucleoside monophosphate catabolic process	GO_0009131	1	0	1	0	0
pyrimidine nucleoside monophosphate biosynthetic process	GO_0009130	1	0	1	0	0
pyrimidine nucleoside diphosphate metabolic process	GO_0009138	1	0	1	0	0
pyrimidine nucleoside diphosphate catabolic process	GO_0009140	1	0	1	0	0
pyrimidine nucleoside diphosphate biosynthetic process	GO_0009139	1	0	1	0	0
pyrimidine nucleobase transport	GO_0015855	1	0	1	0	0
pyrimidine metabolic process	GO_0006205	1	0	1	1	1
pyrimidine dimer repair by nucleotide-excision repair	GO_0000720	1	0	1	0	0
pyrimidine dimer repair	GO_0006290	1	0	1	0	0
pyrimidine deoxyribonucleoside triphosphate metabolic process	GO_0009211	1	0	1	0	0
pyrimidine deoxyribonucleoside triphosphate catabolic process	GO_0009213	1	0	1	0	0
pyrimidine deoxyribonucleoside triphosphate biosynthetic process	GO_0009212	1	0	1	0	0
pyrimidine deoxyribonucleoside monophosphate metabolic process	GO_0009176	1	0	1	0	0
pyrimidine deoxyribonucleoside monophosphate catabolic process	GO_0009178	1	0	1	0	0
pyrimidine deoxyribonucleoside monophosphate biosynthetic process	GO_0009177	1	0	1	0	0
pyrimidine deoxyribonucleoside diphosphate metabolic process	GO_0009196	1	0	1	0	0
pyrimidine deoxyribonucleoside diphosphate catabolic process	GO_0009198	1	0	1	0	0
pyrimidine deoxyribonucleoside diphosphate biosynthetic process	GO_0009197	1	0	1	0	0
positive regulation of pyrimidine nucleotide biosynthetic process	GO_1900399	1	0	1	0	0
