name	ID	manual	auto	checked	blacklisted	is_obsolete
reproductive process in single-celled organism	GO_0022413	1	1	1	0	0
reproductive blastospore formation	GO_0034299	1	1	1	0	0
reproduction of a single-celled organism	GO_0032505	1	1	1	0	0
reproduction	GO_0000003	1	1	1	0	0
multicellular organismal reproductive process	GO_0048609	1	1	1	0	0
multicellular organismal reproductive behavior	GO_0033057	1	1	1	0	0
multicellular organism reproduction	GO_0032504	1	1	1	0	0
cellular process involved in reproduction in multicellular organism	GO_0022412	1	1	1	0	0
reproductive system development	GO_0061458	1	0	1	0	0
reproductive structure development	GO_0048608	1	0	1	0	0
reproductive sporulation	GO_0048622	1	0	1	1	1
reproductive process	GO_0022414	1	0	1	0	0
reproductive behavior	GO_0019098	1	0	1	0	0
regulation of timing of transition from vegetative to reproductive phase	GO_0048510	1	0	1	0	0
regulation of reproductive process	GO_2000241	1	0	1	0	0
positive regulation of reproductive process	GO_2000243	1	0	1	0	0
negative regulation of reproductive process	GO_2000242	1	0	1	0	0
maintenance of reproductive diapause	GO_0071984	1	0	1	0	0
exit from reproductive diapause	GO_0071983	1	0	1	0	0
entry into reproductive diapause	GO_0055116	1	0	1	0	0
developmental process involved in reproduction	GO_0003006	1	0	1	0	0
cellular process involved in reproduction	GO_0048610	1	0	1	1	1
acquisition of reproductive competence	GO_0010049	1	0	1	0	0
zygotene	GO_0000238	0	1	0	0	0
zygospore formation	GO_0034296	0	1	0	0	0
zoospore formation	GO_0075239	0	1	0	0	0
vulval location	GO_0034608	0	1	0	0	0
vitellogenesis	GO_0007296	0	1	0	0	0
vitelline membrane formation involved in chorion-containing eggshell formation	GO_0007305	0	1	0	0	0
vitelline membrane formation	GO_0030704	0	1	0	0	0
vesicle targeting to fusome	GO_0045479	0	1	0	0	0
uterine wall growth	GO_0042702	0	1	0	0	0
uterine wall breakdown	GO_0042704	0	1	0	0	0
uredospore formation	GO_0075251	0	1	0	0	0
turning behavior involved in mating	GO_0034607	0	1	0	0	0
