name	ID	manual	auto	checked	blacklisted	is_obsolete
autocrine signaling	GO_0035425	1	0	1	0	0
zymogen granule exocytosis	GO_0070625	0	1	0	0	0
vesicle tethering involved in exocytosis	GO_0090522	0	1	0	0	0
vesicle docking involved in exocytosis	GO_0006904	0	1	0	0	0
vasopressin secretion	GO_0030103	0	1	0	0	0
tyramine secretion, neurotransmission	GO_0061546	0	1	0	0	0
tyramine secretion	GO_0061545	0	1	0	0	0
type III interferon secretion	GO_0072644	0	1	0	0	0
type I interferon secretion	GO_0072641	0	1	0	0	0
transforming growth factor-beta secretion	GO_0038044	0	1	0	0	0
thyroid-stimulating hormone secretion	GO_0070460	0	1	0	0	0
testosterone secretion	GO_0035936	0	1	0	0	0
tear secretion	GO_0070075	0	1	0	0	0
synchronous neurotransmitter secretion	GO_0071911	0	1	0	0	0
synaptic vesicle targeting	GO_0016080	0	1	0	0	0
synaptic vesicle priming	GO_0016082	0	1	0	0	0
synaptic vesicle fusion to presynaptic membrane	GO_0031629	0	1	0	0	0
synaptic vesicle exocytosis	GO_0016079	0	1	0	0	0
synaptic vesicle docking involved in exocytosis	GO_0016081	0	1	0	0	0
synaptic vesicle budding from endosome	GO_0016182	0	1	0	0	0
steroid hormone secretion	GO_0035929	0	1	0	0	0
spontaneous neurotransmitter secretion	GO_0061669	0	1	0	0	0
somatostatin secretion	GO_0070253	0	1	0	0	0
slow, calcium ion-dependent exocytosis of neurotransmitter	GO_0098747	0	1	0	0	0
signal release	GO_0023061	0	1	0	0	0
serotonin secretion, neurotransmission	GO_0060096	0	1	0	0	0
serotonin secretion involved in inflammatory response	GO_0002442	0	1	0	0	0
serotonin secretion by platelet	GO_0002554	0	1	0	0	0
serotonin secretion by mast cell	GO_0002552	0	1	0	0	0
serotonin secretion by basophil	GO_0002556	0	1	0	0	0
serotonin secretion	GO_0001820	0	1	0	0	0
secretion of vasopressin involved in fast regulation of systemic arterial blood pressure	GO_0002004	0	1	0	0	0
secretion of lysosomal enzymes	GO_0033299	0	1	0	0	0
secretion by tissue	GO_0032941	0	1	0	0	0
secretion by the type IV secretion system	GO_0044097	0	1	0	0	0
secretion by lung epithelial cell involved in lung growth	GO_0061033	0	1	0	0	0
secretion by cell	GO_0032940	0	1	0	0	0
secretion	GO_0046903	0	1	0	0	0
saliva secretion	GO_0046541	0	1	0	0	0
renin secretion into blood stream	GO_0002001	0	1	0	0	0
renal tubular secretion	GO_0097254	0	1	0	0	0
regulation of transforming growth factor-beta secretion	GO_2001201	0	1	0	0	0
regulation of thyroid-stimulating hormone secretion	GO_2000612	0	1	0	0	0
regulation of testosterone secretion	GO_2000843	0	1	0	0	0
regulation of synaptic vesicle priming	GO_0010807	0	1	0	0	0
regulation of synaptic vesicle fusion to presynaptic membrane	GO_0031630	0	1	0	0	0
regulation of synaptic vesicle exocytosis	GO_2000300	0	1	0	0	0
regulation of steroid hormone secretion	GO_2000831	0	1	0	0	0
