name	ID	manual	auto	checked	blacklisted	is_obsolete
smoothened signaling pathway involved in ventral spinal cord patterning	GO_0021910	1	1	1	0	0
smoothened signaling pathway involved in ventral spinal cord interneuron specification	GO_0021775	1	1	1	0	0
smoothened signaling pathway involved in spinal cord motor neuron cell fate specification	GO_0021776	1	1	1	0	0
smoothened signaling pathway involved in regulation of secondary heart field cardioblast proliferation	GO_0003271	1	1	1	0	0
smoothened signaling pathway involved in regulation of cerebellar granule cell precursor cell proliferation	GO_0021938	1	1	1	0	0
smoothened signaling pathway involved in lung development	GO_0060506	1	1	1	0	0
smoothened signaling pathway involved in growth plate cartilage chondrocyte development	GO_0003435	1	1	1	0	0
smoothened signaling pathway involved in dorsal/ventral neural tube patterning	GO_0060831	1	1	1	0	0
smoothened signaling pathway	GO_0007224	1	1	1	0	0
signal transduction downstream of smoothened	GO_0007227	0	1	0	0	0
regulation of smoothened signaling pathway involved in dorsal/ventral neural tube patterning	GO_1901620	0	1	0	0	0
regulation of smoothened signaling pathway	GO_0008589	0	1	0	0	0
positive regulation of smoothened signaling pathway involved in dorsal/ventral neural tube patterning	GO_1901622	0	1	0	0	0
positive regulation of smoothened signaling pathway	GO_0045880	0	1	0	0	0
positive regulation of hh target transcription factor activity	GO_0007228	0	1	0	0	0
negative regulation of smoothened signaling pathway involved in ventral spinal cord patterning	GO_0021914	0	1	0	0	0
negative regulation of smoothened signaling pathway involved in dorsal/ventral neural tube patterning	GO_1901621	0	1	0	0	0
negative regulation of smoothened signaling pathway	GO_0045879	0	1	0	0	0
mesenchymal smoothened signaling pathway involved in prostate gland development	GO_0060783	0	1	0	0	0
ciliary receptor clustering involved in smoothened signaling pathway	GO_0060830	0	1	0	0	0
