name	ID	manual	auto	checked	blacklisted	is_obsolete
snRNA transport	GO_0051030	1	1	1	0	0
snRNA pseudouridine synthesis	GO_0031120	1	1	1	0	0
snRNA processing	GO_0016180	1	1	1	0	0
snRNA modification	GO_0040031	1	1	1	0	0
snRNA metabolic process	GO_0016073	1	1	1	0	0
snRNA import into nucleus	GO_0061015	1	1	1	0	0
snRNA import into Cajal body	GO_0061016	1	1	1	0	0
snRNA export from nucleus	GO_0006408	1	1	1	0	0
snRNA catabolic process	GO_0016076	1	1	1	0	0
snRNA 3'-end processing	GO_0034472	1	1	1	0	0
U6 snRNA 3'-end processing	GO_0034477	1	1	1	0	0
U5 snRNA 3'-end processing	GO_0034476	1	1	1	0	0
U4 snRNA 3'-end processing	GO_0034475	1	1	1	0	0
U2 snRNA 3'-end processing	GO_0034474	1	1	1	0	0
U1 snRNA 3'-end processing	GO_0034473	1	1	1	0	0
snRNA transcription from RNA polymerase III promoter	GO_0042796	1	0	1	0	0
snRNA transcription from RNA polymerase II promoter	GO_0042795	1	0	1	0	0
snRNA transcription	GO_0009301	1	0	1	0	0
snRNA capping	GO_0006387	1	0	1	1	1
snRNA-containing ribonucleoprotein complex export from nucleus	GO_0071429	0	1	0	0	0
snRNA 5'-end processing	GO_1990273	0	1	0	0	0
snRNA 2'-O-methylation	GO_1990437	0	1	0	0	0
nuclear polyadenylation-dependent snRNA catabolic process	GO_0071037	0	1	0	0	0
miRNA transport	GO_1990428	0	1	0	0	0
U6 2'-O-snRNA methylation	GO_1990438	0	1	0	0	0
