name	ID	manual	auto	checked	blacklisted	is_obsolete
zoospore formation	GO_0075239	1	1	1	0	0
zoospore movement on or near host	GO_0075234	1	0	1	0	0
zoospore encystment on host	GO_0075218	1	0	1	0	0
zygospore formation	GO_0034296	0	1	1	0	0
uredospore formation	GO_0075251	0	1	1	0	0
trehalose biosynthetic process involved in ascospore formation	GO_1901372	0	1	1	0	0
teliospore formation	GO_0075255	0	1	1	0	0
sporulation resulting in formation of a multicellular or syncytial spore	GO_0075283	0	1	1	0	0
sporulation resulting in formation of a cellular spore	GO_0030435	0	1	1	0	0
sporulation	GO_0043934	0	1	1	0	0
spore wall biogenesis	GO_0070590	0	1	1	0	0
spore wall assembly	GO_0042244	0	1	1	0	0
spore membrane bending pathway	GO_0070583	0	1	1	0	0
sporangiospore formation	GO_0034300	0	1	1	0	0
sexual sporulation resulting in formation of a multicellular or syncytial spore	GO_0075285	0	1	1	0	0
sexual sporulation resulting in formation of a cellular spore	GO_0043935	0	1	1	0	0
sexual sporulation	GO_0034293	0	1	1	0	0
sexual spore wall assembly	GO_0034294	0	1	1	0	0
reproductive blastospore formation	GO_0034299	0	1	1	0	0
regulation of zygospore formation	GO_0075298	0	1	1	0	0
regulation of zoospore formation	GO_0075240	0	1	1	0	0
regulation of uredospore formation	GO_0075252	0	1	1	0	0
regulation of teliospore formation	GO_0075256	0	1	1	0	0
regulation of sporulation resulting in formation of a cellular spore	GO_0042173	0	1	1	0	0
regulation of sporulation	GO_0043937	0	1	1	0	0
regulation of sporangiospore formation	GO_0075286	0	1	1	0	0
regulation of sexual sporulation resulting in formation of a cellular spore	GO_0043940	0	1	1	0	0
regulation of sexual sporulation	GO_0034306	0	1	1	0	0
regulation of oospore formation	GO_0075244	0	1	1	0	0
regulation of oomycete sporangium development	GO_0075322	0	1	1	0	0
regulation of conidium formation	GO_0075306	0	1	1	0	0
regulation of basidiospore formation	GO_0075302	0	1	1	0	0
regulation of asexual sporulation resulting in formation of a cellular spore	GO_0043943	0	1	1	0	0
regulation of asexual sporulation	GO_0034305	0	1	1	0	0
regulation of ascospore-type prospore membrane assembly	GO_1903023	0	1	1	0	0
regulation of ascospore wall chitin biosynthetic process	GO_0034223	0	1	1	0	0
regulation of ascospore wall beta-glucan biosynthetic process	GO_0060622	0	1	1	0	0
regulation of ascospore wall (1->3)-beta-D-glucan biosynthetic process	GO_0060624	0	1	1	0	0
regulation of ascospore formation	GO_0034307	0	1	1	0	0
regulation of aplanospore formation	GO_0075290	0	1	1	0	0
regulation of aeciospore formation	GO_0075248	0	1	1	0	0
positive regulation of zygospore formation	GO_0075299	0	1	1	0	0
positive regulation of zoospore formation	GO_0075241	0	1	1	0	0
positive regulation of uredospore formation	GO_0075253	0	1	1	0	0
positive regulation of teliospore formation	GO_0075257	0	1	1	0	0
positive regulation of sporulation resulting in formation of a cellular spore	GO_0045881	0	1	1	0	0
positive regulation of sporulation	GO_0043938	0	1	1	0	0
positive regulation of sporangiospore formation	GO_0075287	0	1	1	0	0
positive regulation of sexual sporulation resulting in formation of a cellular spore	GO_0043941	0	1	1	0	0
positive regulation of oospore formation	GO_0075245	0	1	1	0	0
positive regulation of oomycete sporangium development	GO_0075323	0	1	1	0	0
positive regulation of conidium formation	GO_0075307	0	1	1	0	0
positive regulation of basidiospore formation	GO_0075303	0	1	1	0	0
positive regulation of asexual sporulation resulting in formation of a cellular spore	GO_0043945	0	1	1	0	0
positive regulation of ascospore-type prospore membrane assembly	GO_1903024	0	1	1	0	0
positive regulation of ascospore formation	GO_0075296	0	1	1	0	0
positive regulation of aplanospore formation	GO_0075291	0	1	1	0	0
positive regulation of aeciospore formation	GO_0075249	0	1	1	0	0
oospore formation	GO_0075243	0	1	1	0	0
oomycete sporangium development	GO_0075321	0	1	1	0	0
oidium formation	GO_0034297	0	1	1	0	0
negative regulation of zygospore formation	GO_0075300	0	1	1	0	0
negative regulation of zoospore formation	GO_0075242	0	1	1	0	0
negative regulation of uredospore formation	GO_0075254	0	1	1	0	0
negative regulation of teliospore formation	GO_0075258	0	1	1	0	0
negative regulation of sporulation resulting in formation of a cellular spore	GO_0042174	0	1	1	0	0
negative regulation of sporulation	GO_0043939	0	1	1	0	0
