name	ID	manual	auto	checked	blacklisted	is_obsolete
stem cell proliferation	GO_0072089	1	1	1	0	0
stem cell maintenance	GO_0019827	1	1	1	0	0
stem cell fate specification	GO_0048866	1	1	1	0	0
stem cell fate determination	GO_0048867	1	1	1	0	0
stem cell fate commitment	GO_0048865	1	1	1	0	0
stem cell division	GO_0017145	1	1	1	0	0
stem cell differentiation	GO_0048863	1	1	1	0	0
stem cell development	GO_0048864	1	1	1	0	0
squamous basal epithelial stem cell differentiation involved in prostate gland acinus development	GO_0060529	1	1	1	0	0
somatic stem cell maintenance	GO_0035019	1	1	1	0	0
somatic stem cell division	GO_0048103	1	1	1	0	0
regulation of stem cell proliferation	GO_0072091	1	1	1	0	0
regulation of stem cell maintenance	GO_2000036	1	1	1	0	0
regulation of stem cell division	GO_2000035	1	1	1	0	0
regulation of stem cell differentiation	GO_2000736	1	1	1	0	0
germ-line stem cell maintenance	GO_0030718	1	1	1	0	0
germ-line stem cell division	GO_0042078	1	1	1	0	0
amniotic stem cell differentiation	GO_0097086	1	1	1	0	0
response to stem cell factor	GO_0036215	1	0	1	0	0
cellular response to stem cell factor stimulus	GO_0036216	1	0	1	0	0
ventricular zone neuroblast division	GO_0021847	0	1	1	0	0
symmetric stem cell division	GO_0098724	0	1	1	0	0
symmetric neuroblast division	GO_0055058	0	1	1	0	0
symmetric division of skeletal muscle satellite stem cell	GO_0098726	0	1	1	0	0
skeletal muscle satellite stem cell maintenance involved in skeletal muscle regeneration	GO_0098731	0	1	1	0	0
skeletal muscle satellite stem cell asymmetric division involved in skeletal muscle regeneration	GO_0014716	0	1	1	0	0
skeletal muscle satellite stem cell asymmetric division	GO_0014833	0	1	1	0	0
skeletal muscle satellite cell fate determination	GO_0014818	0	1	1	0	0
respiratory basal cell differentiation	GO_1902691	0	1	1	0	0
regulation of neuroblast proliferation	GO_1902692	0	1	0	0	0
regulation of neural crest formation	GO_0090299	0	1	0	0	0
regulation of metanephric cap mesenchymal cell proliferation	GO_0090095	0	1	0	0	0
regulation of mesenchymal stem cell proliferation involved in nephron morphogenesis	GO_0072042	0	1	0	0	0
regulation of mesenchymal stem cell proliferation	GO_1902460	0	1	0	0	0
regulation of mesenchymal stem cell differentiation	GO_2000739	0	1	0	0	0
regulation of mesenchymal cell proliferation involved in ureter development	GO_0072199	0	1	0	0	0
regulation of mesenchymal cell proliferation involved in prostate gland development	GO_0060782	0	1	0	0	0
regulation of mesenchymal cell proliferation involved in lung development	GO_2000790	0	1	0	0	0
regulation of mesenchymal cell proliferation	GO_0010464	0	1	0	0	0
regulation of mesenchymal cell apoptotic process involved in nephron morphogenesis	GO_0072039	0	1	0	0	0
regulation of mesenchymal cell apoptotic process involved in metanephros development	GO_1900211	0	1	0	0	0
regulation of mesenchymal cell apoptotic process involved in metanephric nephron morphogenesis	GO_0072304	0	1	0	0	0
regulation of mesenchymal cell apoptotic process involved in mesonephric nephron morphogenesis	GO_0061295	0	1	0	0	0
regulation of mesenchymal cell apoptotic process	GO_2001053	0	1	0	0	0
regulation of hematopoietic stem cell proliferation	GO_1902033	0	1	0	0	0
regulation of hematopoietic stem cell migration	GO_2000471	0	1	0	0	0
regulation of hematopoietic stem cell differentiation	GO_1902036	0	1	0	0	0
regulation of epithelial to mesenchymal transition	GO_0010717	0	1	0	0	0
regulation of endocardial cushion to mesenchymal transition involved in heart valve formation	GO_2000800	0	1	0	0	0
regulation of cardioblast differentiation	GO_0051890	0	1	0	0	0
regulation of cardioblast cell fate specification	GO_0042686	0	1	0	0	0
regulation of cardiac muscle cell myoblast differentiation	GO_2000690	0	1	0	0	0
regulation of canonical Wnt signaling pathway involved in neural crest cell differentiation	GO_0072335	0	1	0	0	0
regulation of amniotic stem cell differentiation	GO_2000797	0	1	0	0	0
positive regulation of stem cell proliferation	GO_2000648	0	1	0	0	0
positive regulation of stem cell maintenance	GO_1902459	0	1	0	0	0
positive regulation of stem cell differentiation	GO_2000738	0	1	0	0	0
positive regulation of skeletal muscle satellite cell differentiation	GO_1902726	0	1	0	0	0
positive regulation of neuroblast proliferation	GO_0002052	0	1	0	0	0
positive regulation of neural crest formation	GO_0090300	0	1	0	0	0
positive regulation of metanephric cap mesenchymal cell proliferation	GO_0090096	0	1	0	0	0
positive regulation of mesodermal to mesenchymal transition involved in gastrulation	GO_0060808	0	1	0	0	0
