name	ID	manual	auto	checked	blacklisted	is_obsolete
xylulose metabolic process	GO_0005997	1	1	1	0	0
xylulose catabolic process	GO_0005998	1	1	1	0	0
xylulose biosynthetic process	GO_0005999	1	1	1	0	0
xylose catabolic process to ethanol	GO_0044577	1	1	1	0	0
xyloglucan metabolic process	GO_0010411	1	1	1	0	0
xyloglucan catabolic process	GO_2000899	1	1	1	0	0
xyloglucan biosynthetic process	GO_0009969	1	1	1	0	0
trehalose metabolism in response to water deprivation	GO_0070416	1	1	1	0	0
trehalose metabolism in response to stress	GO_0070413	1	1	1	0	0
trehalose metabolism in response to heat stress	GO_0070414	1	1	1	0	0
trehalose metabolism in response to cold stress	GO_0070415	1	1	1	0	0
trehalose metabolic process	GO_0005991	1	1	1	0	0
trehalose catabolism in response to heat stress	GO_0090442	1	1	1	0	0
trehalose catabolic process	GO_0005993	1	1	1	0	0
trehalose biosynthetic process	GO_0005992	1	1	1	0	0
trehalose biosynthesis in response to heat stress	GO_0090441	1	1	1	0	0
tetrose metabolic process	GO_0033347	1	1	1	0	0
tetrose biosynthetic process	GO_0033348	1	1	1	0	0
sucrose metabolic process	GO_0005985	1	1	1	0	0
sucrose catabolic process via 3'-ketosucrose	GO_0019574	1	1	1	0	0
sucrose catabolic process to fructose-6-phosphate and glucose-6-phosphate	GO_0036008	1	1	1	0	0
sucrose catabolic process	GO_0005987	1	1	1	0	0
sucrose biosynthetic process	GO_0005986	1	1	1	0	0
sorbose metabolic process	GO_0019311	1	1	1	0	0
sorbose catabolic process	GO_0042848	1	1	1	0	0
sorbose biosynthetic process	GO_0042847	1	1	1	0	0
sorbitol metabolic process	GO_0006060	1	1	1	0	0
sorbitol catabolic process	GO_0006062	1	1	1	0	0
sorbitol biosynthetic process	GO_0006061	1	1	1	0	0
raffinose metabolic process	GO_0033530	1	1	1	0	0
raffinose family oligosaccharide biosynthetic process	GO_0010325	1	1	1	0	0
raffinose catabolic process	GO_0034484	1	1	1	0	0
raffinose biosynthetic process	GO_0033529	1	1	1	0	0
polysaccharide metabolic process	GO_0005976	1	1	1	0	0
polysaccharide catabolic process	GO_0000272	1	1	1	0	0
polysaccharide biosynthetic process	GO_0000271	1	1	1	0	0
pentose metabolic process	GO_0019321	1	1	1	0	0
