name	ID	manual	auto	checked	blacklisted	is_obsolete
translocation of peptides or proteins into symbiont	GO_0051844	1	1	1	0	0
translocation of molecules into symbiont	GO_0051862	1	1	1	0	0
symbiosis, encompassing mutualism through parasitism	GO_0044403	1	1	1	0	0
symbiont intracellular protein transport in host	GO_0030581	1	1	1	0	0
symbiont entry into host cell forming a symbiont-containing vacuole	GO_0085017	1	1	1	0	0
suppression of symbiont defenses	GO_0051859	1	1	1	0	0
rounding by symbiont of host cells	GO_0044054	1	1	1	0	0
response to symbiont defenses	GO_0052201	1	1	1	0	0
regulation of symbiont invasive hypha formation in host	GO_0075062	1	1	1	0	0
regulation of neutrophil mediated killing of symbiont cell	GO_0070949	1	1	1	0	0
regulation of growth of symbiont in host	GO_0044126	1	1	1	0	0
regulation of formation by symbiont of haustorium for nutrient acquisition from host	GO_0075045	1	1	1	0	0
regulation of development of symbiont in host	GO_0044127	1	1	1	0	0
regulation of cytolysis by symbiont of host cells	GO_0001898	1	1	1	0	0
regulation by host of cytolysis of symbiont cells	GO_0051839	1	1	1	0	0
recognition of symbiont	GO_0051855	1	1	1	0	0
positive regulation of symbiont transcription in response to host	GO_0075181	1	1	1	0	0
positive regulation of symbiont protein kinase-mediated signal transduction in response to host	GO_0075169	1	1	1	0	0
positive regulation of symbiont penetration peg initiation	GO_0075059	1	1	1	0	0
positive regulation of symbiont penetration peg formation for entry into host	GO_0075055	1	1	1	0	0
positive regulation of symbiont penetration hypha formation for entry into host	GO_0075203	1	1	1	0	0
positive regulation of symbiont invasive hypha formation in host	GO_0075063	1	1	1	0	0
positive regulation of symbiont haustorium neck formation for entry into host	GO_0075199	1	1	1	0	0
positive regulation of symbiont germ tube hook structure formation on or near host	GO_0075031	1	1	1	0	0
positive regulation of symbiont adenylate cyclase-mediated signal transduction in response to host	GO_0075335	1	1	1	0	0
positive regulation of neutrophil mediated killing of symbiont cell	GO_0070961	1	1	1	0	0
positive regulation of growth of symbiont on or near host surface	GO_0044142	1	1	1	0	0
positive regulation of growth of symbiont involved in interaction with host	GO_0044148	1	1	1	0	0
positive regulation of growth of symbiont in host	GO_0044128	1	1	1	0	0
positive regulation of formation by symbiont of haustorium for nutrient acquisition from host	GO_0075046	1	1	1	0	0
positive regulation of development of symbiont on or near host surface	GO_0044143	1	1	1	0	0
positive regulation of development of symbiont involved in interaction with host	GO_0044149	1	1	1	0	0
positive regulation of development of symbiont in host	GO_0044129	1	1	1	0	0
positive regulation of cytolysis by symbiont of host cells	GO_0001900	1	1	1	0	0
positive regulation by symbiont of nutrient release from host	GO_0052092	1	1	1	0	0
positive regulation by symbiont of host vacuole organization	GO_0044076	1	1	1	0	0
positive regulation by symbiont of host transmembrane receptor-mediated signal transduction	GO_0075113	1	1	1	0	0
positive regulation by symbiont of host transmembrane receptor-mediated cAMP signal transduction	GO_0075116	1	1	1	0	0
positive regulation by symbiont of host systemic acquired resistance	GO_0052537	1	1	1	0	0
positive regulation by symbiont of host signal transduction pathway	GO_0052028	1	1	1	0	0
positive regulation by symbiont of host signal transduction mediated by G-protein gamma subunit	GO_0075128	1	1	1	0	0
positive regulation by symbiont of host signal transduction mediated by G-protein beta subunit	GO_0075125	1	1	1	0	0
positive regulation by symbiont of host signal transduction mediated by G-protein alpha subunit	GO_0075122	1	1	1	0	0
positive regulation by symbiont of host salicylic acid-mediated defense response	GO_0052074	1	1	1	0	0
positive regulation by symbiont of host resistance gene-dependent defense response	GO_0052527	1	1	1	0	0
positive regulation by symbiont of host receptor-mediated signal transduction	GO_0075110	1	1	1	0	0
