name	ID	manual	auto	checked	blacklisted	is_obsolete
synaptic transmission, glycinergic	GO_0060012	1	1	1	0	0
synaptic transmission, glutamatergic	GO_0035249	1	1	1	0	0
synaptic transmission, dopaminergic	GO_0001963	1	1	1	0	0
synaptic transmission, cholinergic	GO_0007271	1	1	1	0	0
synaptic transmission, GABAergic	GO_0051932	1	1	1	0	0
synaptic transmission involved in micturition	GO_0060084	1	1	1	0	0
synaptic transmission	GO_0007268	1	1	1	0	0
synaptic growth at neuromuscular junction	GO_0051124	1	1	1	0	0
synapse organization	GO_0050808	1	1	1	0	0
synapse maturation	GO_0060074	1	1	1	0	0
synapse assembly involved in innervation	GO_0060386	1	1	1	0	0
synapse assembly	GO_0007416	1	1	1	0	0
synaptonemal complex assembly	GO_0007130	1	0	1	0	0
synaptic vesicle uncoating	GO_0016191	1	0	1	0	0
synaptic vesicle transport	GO_0048489	1	0	1	0	0
synaptic vesicle to endosome fusion	GO_0016189	1	0	1	0	0
synaptic vesicle targeting	GO_0016080	1	0	1	0	0
synaptic vesicle retrieval	GO_0016184	1	0	1	1	1
synaptic vesicle priming	GO_0016082	1	0	1	0	0
synaptic vesicle membrane organization	GO_0048499	1	0	1	0	0
synaptic vesicle maturation	GO_0016188	1	0	1	0	0
synaptic vesicle internalization	GO_0016187	1	0	1	1	1
synaptic vesicle fusion to presynaptic membrane	GO_0031629	1	0	1	0	0
synaptic vesicle fusion	GO_0016083	1	0	1	1	1
synaptic vesicle fission	GO_0016186	1	0	1	1	1
synaptic vesicle exocytosis	GO_0016079	1	0	1	0	0
synaptic vesicle endocytosis	GO_0048488	1	0	1	0	0
synaptic vesicle docking	GO_0016081	1	0	1	0	0
synaptic vesicle coating	GO_0016183	1	0	1	0	0
synaptic vesicle clustering	GO_0097091	1	0	1	0	0
synaptic vesicle budding from presynaptic membrane	GO_0016185	1	0	1	0	0
synaptic vesicle budding from endosome	GO_0016182	1	0	1	0	0
synaptic vesicle budding	GO_0070142	1	0	1	0	0
synaptic vesicle amine transport	GO_0015842	1	0	1	0	0
synaptic target recognition	GO_0008039	1	0	1	0	0
synaptic target inhibition	GO_0016201	1	0	1	0	0
synaptic target attraction	GO_0016200	1	0	1	0	0
synapsis	GO_0007129	1	0	1	0	0
induction of synaptic plasticity by chemical substance	GO_0051915	1	0	1	0	0
amino acid uptake involved in synaptic transmission	GO_0051933	1	0	1	0	0
L-glutamate uptake involved in synaptic transmission	GO_0051935	1	0	1	0	0
type Is terminal bouton	GO_0061177	0	1	1	0	0
type Ib terminal bouton	GO_0061176	0	1	1	0	0
type III terminal bouton	GO_0097467	0	1	1	0	0
type II terminal bouton	GO_0061175	0	1	1	0	0
type I terminal bouton	GO_0061174	0	1	1	0	0
terminal bouton	GO_0043195	0	1	1	0	0
synaptic vesicle, resting pool	GO_1990476	0	1	1	0	0
synaptic vesicle, recycling pool	GO_1990475	0	1	1	0	0
synaptic vesicle, readily releasable pool	GO_1990474	0	1	1	0	0
synaptic vesicle membrane	GO_0030672	0	1	1	0	0
synaptic vesicle lumen acidification	GO_0097401	0	1	0	0	0
synaptic vesicle lumen	GO_0034592	0	1	1	0	0
synaptic vesicle	GO_0008021	0	1	1	0	0
synaptic membrane	GO_0097060	0	1	1	0	0
synaptic cleft	GO_0043083	0	1	1	0	0
synapse part	GO_0044456	0	1	1	0	0
synapse	GO_0045202	0	1	1	0	0
symmetric synapse	GO_0032280	0	1	1	0	0
subsynaptic reticulum	GO_0071212	0	1	1	0	0
ribbon synapse	GO_0097470	0	1	1	0	0
presynaptic periactive zone	GO_0036062	0	1	1	0	0
presynaptic membrane	GO_0042734	0	1	1	0	0
presynaptic grid	GO_1990013	0	1	1	0	0
