name	ID	manual	auto	checked	blacklisted	is_obsolete
thigmotaxis	GO_0001966	1	1	1	0	0
thermotaxis	GO_0043052	1	1	1	0	0
taxis to electron acceptor	GO_0042334	1	1	1	0	0
taxis	GO_0042330	1	1	1	0	0
regulation of positive chemotaxis to cAMP by chlorinated alkylphenone	GO_0061119	1	1	1	0	0
regulation of positive chemotaxis to cAMP by DIF-2	GO_0061121	1	1	1	0	0
regulation of positive chemotaxis to cAMP by DIF-1	GO_0061120	1	1	1	0	0
regulation of positive chemotaxis to cAMP	GO_0061118	1	1	1	0	0
regulation of positive chemotaxis	GO_0050926	1	1	1	0	0
regulation of neutrophil chemotaxis	GO_0090022	1	1	1	0	0
regulation of negative chemotaxis	GO_0050923	1	1	1	0	0
regulation of muscle cell chemotaxis toward tendon cell	GO_2001281	1	1	1	0	0
regulation of monocyte chemotaxis	GO_0090025	1	1	1	0	0
regulation of leukocyte chemotaxis	GO_0002688	1	1	1	0	0
regulation of granulocyte chemotaxis	GO_0071622	1	1	1	0	0
regulation of eosinophil chemotaxis	GO_2000422	1	1	1	0	0
regulation of chemotaxis	GO_0050920	1	1	1	0	0
regulation of astrocyte chemotaxis	GO_2000458	1	1	1	0	0
regulation of B cell chemotaxis	GO_2000537	1	1	1	0	0
redox taxis	GO_0009455	1	1	1	0	0
positive regulation of positive chemotaxis to cAMP by chlorinated alkylphenone	GO_0061124	1	1	1	0	0
positive regulation of positive chemotaxis to cAMP by DIF-1	GO_0061126	1	1	1	0	0
positive regulation of positive chemotaxis to cAMP	GO_0061122	1	1	1	0	0
positive regulation of positive chemotaxis	GO_0050927	1	1	1	0	0
positive regulation of neutrophil chemotaxis	GO_0090023	1	1	1	0	0
positive regulation of negative chemotaxis	GO_0050924	1	1	1	0	0
positive regulation of monocyte chemotaxis	GO_0090026	1	1	1	0	0
positive regulation of leukocyte chemotaxis	GO_0002690	1	1	1	0	0
positive regulation of granulocyte chemotaxis	GO_0071624	1	1	1	0	0
positive regulation of eosinophil chemotaxis	GO_2000424	1	1	1	0	0
positive regulation of chemotaxis to cAMP by DIF-2	GO_0061128	1	1	1	0	0
positive regulation of chemotaxis	GO_0050921	1	1	1	0	0
positive regulation of astrocyte chemotaxis	GO_2000464	1	1	1	0	0
positive regulation of B cell chemotaxis	GO_2000538	1	1	1	0	0
positive phototaxis	GO_0046956	1	1	1	0	0
positive gravitaxis	GO_0048061	1	1	1	0	0
positive energy taxis on or near other organism involved in symbiotic interaction	GO_0052246	1	1	1	0	0
positive energy taxis on or near host	GO_0052146	1	1	1	0	0
positive energy taxis in other organism involved in symbiotic interaction	GO_0052247	1	1	1	0	0
positive energy taxis in host environment	GO_0052118	1	1	1	0	0
positive energy taxis in host	GO_0052147	1	1	1	0	0
positive energy taxis in environment of other organism involved in symbiotic interaction	GO_0052218	1	1	1	0	0
positive energy taxis	GO_0052128	1	1	1	0	0
positive chemotaxis on or near other organism involved in symbiotic interaction	GO_0052241	1	1	1	0	0
positive chemotaxis on or near host	GO_0052141	1	1	1	0	0
positive chemotaxis in other organism involved in symbiotic interaction	GO_0052240	1	1	1	0	0
positive chemotaxis in host environment	GO_0052121	1	1	1	0	0
positive chemotaxis in host	GO_0052140	1	1	1	0	0
positive chemotaxis in environment of other organism involved in symbiotic interaction	GO_0052221	1	1	1	0	0
positive chemotaxis	GO_0050918	1	1	1	0	0
positive aerotaxis on or near other organism involved in symbiotic interaction	GO_0052232	1	1	1	0	0
positive aerotaxis on or near host	GO_0052132	1	1	1	0	0
positive aerotaxis in other organism involved in symbiotic interaction	GO_0052233	1	1	1	0	0
positive aerotaxis in host environment	GO_0052120	1	1	1	0	0
positive aerotaxis in host	GO_0052133	1	1	1	0	0
positive aerotaxis in environment of other organism involved in symbiotic interaction	GO_0052220	1	1	1	0	0
positive aerotaxis	GO_0052131	1	1	1	0	0
phototaxis	GO_0042331	1	1	1	0	0
negative regulation of positive chemotaxis to cAMP by chlorinated alkylphenone	GO_0061125	1	1	1	0	0
negative regulation of positive chemotaxis to cAMP by DIF-2	GO_0061129	1	1	1	0	0
negative regulation of positive chemotaxis to cAMP by DIF-1	GO_0061127	1	1	1	0	0
negative regulation of positive chemotaxis to cAMP	GO_0061123	1	1	1	0	0
negative regulation of positive chemotaxis	GO_0050928	1	1	1	0	0
negative regulation of neutrophil chemotaxis	GO_0090024	1	1	1	0	0
negative regulation of negative chemotaxis	GO_0050925	1	1	1	0	0
negative regulation of muscle cell chemotaxis toward tendon cell	GO_2001282	1	1	1	0	0
negative regulation of monocyte chemotaxis	GO_0090027	1	1	1	0	0
negative regulation of leukocyte chemotaxis	GO_0002689	1	1	1	0	0
negative regulation of granulocyte chemotaxis	GO_0071623	1	1	1	0	0
negative regulation of eosinophil chemotaxis	GO_2000423	1	1	1	0	0
negative regulation of chemotaxis	GO_0050922	1	1	1	0	0
negative regulation of astrocyte chemotaxis	GO_2000459	1	1	1	0	0
negative regulation of B cell chemotaxis	GO_2000550	1	1	1	0	0
negative phototaxis	GO_0046957	1	1	1	0	0
negative gravitaxis	GO_0048060	1	1	1	0	0
negative energy taxis on or near other organism involved in symbiotic interaction	GO_0052245	1	1	1	0	0
negative energy taxis on or near host	GO_0052145	1	1	1	0	0
negative energy taxis in other organism involved in symbiotic interaction	GO_0052244	1	1	1	0	0
negative energy taxis in host environment	GO_0052119	1	1	1	0	0
negative energy taxis in host	GO_0052144	1	1	1	0	0
negative energy taxis in environment of other organism involved in symbiotic interaction	GO_0052219	1	1	1	0	0
negative energy taxis	GO_0052129	1	1	1	0	0
negative chemotaxis on or near other organism involved in symbiotic interaction	GO_0052236	1	1	1	0	0
negative chemotaxis on or near host	GO_0052136	1	1	1	0	0
negative chemotaxis in other organism involved in symbiotic interaction	GO_0052239	1	1	1	0	0
negative chemotaxis in host environment	GO_0052123	1	1	1	0	0
negative chemotaxis in host	GO_0052139	1	1	1	0	0
negative chemotaxis in environment of other organism involved in symbiotic interaction	GO_0052223	1	1	1	0	0
negative chemotaxis	GO_0050919	1	1	1	0	0
negative aerotaxis on or near other organism involved in symbiotic interaction	GO_0052234	1	1	1	0	0
