name	ID	manual	auto	checked	blacklisted	is_obsolete
telomeric loop formation	GO_0031627	1	1	1	0	0
telomere organization	GO_0032200	1	1	1	0	0
telomere maintenance via telomere shortening	GO_0010834	1	1	1	0	0
telomere maintenance via telomere lengthening	GO_0010833	1	1	1	0	0
telomere maintenance via telomerase	GO_0007004	1	1	1	0	0
telomere maintenance via semi-conservative replication	GO_0032201	1	1	1	0	0
telomere maintenance via recombination	GO_0000722	1	1	1	0	0
telomere maintenance in response to DNA damage	GO_0043247	1	1	1	0	0
telomere maintenance	GO_0000723	1	1	1	0	0
telomere formation via telomerase	GO_0032203	1	1	1	0	0
telomere capping	GO_0016233	1	1	1	0	0
telomere assembly	GO_0032202	1	1	1	0	0
template for synthesis of G-rich strand of telomere DNA activity	GO_0000332	1	0	1	0	0
telosome assembly	GO_0071573	1	0	1	0	0
telomeric heterochromatin assembly	GO_0031509	1	0	1	0	0
telomeric 3' overhang formation	GO_0031860	1	0	1	0	0
telomere tethering at nuclear periphery	GO_0034398	1	0	1	0	0
telomere localization	GO_0034397	1	0	1	0	0
telomere binding	GO_0007003	1	0	1	1	1
telomerase catalytic core complex	GO_0000333	1	0	1	0	0
telosome	GO_0070187	0	1	1	0	0
telomeric heterochromatin	GO_0031933	0	1	1	0	0
telomere-telomerase complex	GO_0070565	0	1	1	0	0
telomere single strand break repair	GO_1903823	0	1	0	0	0
telomere cap complex	GO_0000782	0	1	1	0	0
regulation of telomere maintenance via telomerase	GO_0032210	0	1	0	0	0
regulation of telomere maintenance via semi-conservative replication	GO_0032213	0	1	0	0	0
regulation of telomere maintenance via recombination	GO_0032207	0	1	0	0	0
regulation of telomere maintenance	GO_0032204	0	1	0	0	0
protein localization to telomeric heterochromatin	GO_1990152	0	1	0	0	0
protein localization to chromosome, telomeric region	GO_0070198	0	1	0	0	0
protection from non-homologous end joining at telomere	GO_0031848	0	1	1	0	0
positive regulation of telomere maintenance via telomerase	GO_0032212	0	1	0	0	0
positive regulation of telomere maintenance via semi-conservative replication	GO_0032215	0	1	0	0	0
positive regulation of telomere maintenance via recombination	GO_0032209	0	1	0	0	0
positive regulation of telomere maintenance	GO_0032206	0	1	0	0	0
polytene chromosome, telomeric region	GO_0035012	0	1	1	0	0
nuclear telomeric heterochromatin	GO_0005724	0	1	1	0	0
nuclear telomere cap complex	GO_0000783	0	1	1	0	0
nuclear chromosome, telomeric region	GO_0000784	0	1	1	0	0
negative regulation of telomere single strand break repair	GO_1903824	0	1	0	0	0
negative regulation of telomere maintenance via telomerase	GO_0032211	0	1	0	0	0
negative regulation of telomere maintenance via semi-conservative replication	GO_0032214	0	1	0	0	0
negative regulation of telomere maintenance via recombination	GO_0032208	0	1	0	0	0
negative regulation of telomere maintenance	GO_0032205	0	1	0	0	0
mitotic telomere maintenance via semi-conservative replication	GO_1902990	0	1	1	0	0
meiotic telomere maintenance via semi-conservative replication	GO_1902989	0	1	1	0	0
establishment of protein localization to telomere	GO_0070200	0	1	0	0	0
chromosome, telomeric region	GO_0000781	0	1	1	0	0
age-dependent telomere shortening	GO_0001309	0	1	1	0	0
Tpg-containing telomere binding complex	GO_0043769	0	1	1	0	0
Stn1-Ten1 complex	GO_0070188	0	1	1	0	0
