name	ID	manual	auto	checked	blacklisted	is_obsolete
terpenoid transport	GO_0046865	1	1	1	0	0
terpenoid metabolic process	GO_0006721	1	1	1	0	0
terpenoid catabolic process	GO_0016115	1	1	1	0	0
terpenoid biosynthetic process, mevalonate-independent	GO_0051483	1	1	1	0	0
terpenoid biosynthetic process, mevalonate-dependent	GO_0051485	1	1	1	0	0
terpenoid biosynthetic process	GO_0016114	1	1	1	0	0
terpenoid indole alkaloid metabolic process	GO_0046447	1	0	1	0	0
terpenoid indole alkaloid biosynthetic process	GO_0009709	1	0	1	0	0
zeaxanthin metabolic process	GO_1901825	0	1	0	0	0
zeaxanthin catabolic process	GO_1901826	0	1	0	0	0
zeaxanthin bis(beta-D-glucoside) metabolic process	GO_1901828	0	1	0	0	0
zeaxanthin bis(beta-D-glucoside) catabolic process	GO_1901829	0	1	0	0	0
zeaxanthin bis(beta-D-glucoside) biosynthetic process	GO_1901830	0	1	0	0	0
zeaxanthin biosynthetic process	GO_1901827	0	1	0	0	0
xanthophyll metabolic process	GO_0016122	0	1	0	0	0
xanthophyll cycle	GO_0010028	0	1	0	0	0
xanthophyll catabolic process	GO_0016124	0	1	0	0	0
xanthophyll biosynthetic process	GO_0016123	0	1	0	0	0
xanthophyll binding	GO_0051738	0	1	0	0	0
vitamin A transport	GO_0071938	0	1	0	0	0
vitamin A metabolic process	GO_0006776	0	1	0	0	0
vitamin A import	GO_0071939	0	1	0	0	0
vitamin A biosynthetic process	GO_0035238	0	1	0	0	0
tuberculosinol biosynthetic process	GO_0035440	0	1	0	0	0
triterpenoid metabolic process	GO_0006722	0	1	0	0	0
triterpenoid catabolic process	GO_0016105	0	1	0	0	0
triterpenoid biosynthetic process	GO_0016104	0	1	0	0	0
tricyclic triterpenoid metabolic process	GO_0010683	0	1	0	0	0
tricyclic triterpenoid catabolic process	GO_0010684	0	1	0	0	0
tricyclic triterpenoid biosynthetic process	GO_0010263	0	1	0	0	0
thalianol metabolic process	GO_0080003	0	1	0	0	0
tetraterpenoid transport	GO_0046866	0	1	0	0	0
tetraterpenoid metabolic process	GO_0016108	0	1	0	0	0
tetraterpenoid catabolic process	GO_0016110	0	1	0	0	0
tetraterpenoid biosynthetic process	GO_0016109	0	1	0	0	0
tetracyclic triterpenoid metabolic process	GO_0010685	0	1	0	0	0
tetracyclic triterpenoid biosynthetic process	GO_0010686	0	1	0	0	0
strigolactone metabolic process	GO_1901600	0	1	0	0	0
strigolactone biosynthetic process	GO_1901601	0	1	0	0	0
spheroidene metabolic process	GO_1901178	0	1	0	0	0
spheroidene catabolic process	GO_1901179	0	1	0	0	0
spheroidene biosynthetic process	GO_1901180	0	1	0	0	0
sesquiterpenoid metabolic process	GO_0006714	0	1	0	0	0
sesquiterpenoid catabolic process	GO_0016107	0	1	0	0	0
sesquiterpenoid biosynthetic process	GO_0016106	0	1	0	0	0
retinol transporter activity	GO_0034632	0	1	0	0	0
retinol transport	GO_0034633	0	1	0	0	0
retinol metabolic process	GO_0042572	0	1	0	0	0
retinol binding	GO_0019841	0	1	0	0	0
retinoid metabolic process	GO_0001523	0	1	0	0	0
retinoid binding	GO_0005501	0	1	0	0	0
retinoic acid receptor activity	GO_0003708	0	1	0	0	0
retinoic acid metabolic process in spinal cord anterior-posterior patterning	GO_0021911	0	1	0	0	0
retinoic acid metabolic process	GO_0042573	0	1	0	0	0
retinoic acid catabolic process	GO_0034653	0	1	0	0	0
retinoic acid biosynthetic process	GO_0002138	0	1	0	0	0
retinoic acid binding	GO_0001972	0	1	0	0	0
retinal metabolic process	GO_0042574	0	1	0	0	0
retinal binding	GO_0016918	0	1	0	0	0
response to vitamin A	GO_0033189	0	1	0	0	0
response to strigolactone	GO_1902347	0	1	0	0	0
response to retinoic acid	GO_0032526	0	1	0	0	0
response to paclitaxel	GO_1901555	0	1	0	0	0
response to gibberellin	GO_0009739	0	1	0	0	0
response to farnesol	GO_0097307	0	1	0	0	0
response to abscisic acid	GO_0009737	0	1	0	0	0
regulation of vitamin A metabolic process	GO_1901738	0	1	0	0	0
regulation of retinoic acid biosynthetic process	GO_1900052	0	1	0	0	0
regulation of juvenile hormone secretion	GO_0007558	0	1	0	0	0
regulation of juvenile hormone metabolic process	GO_0007556	0	1	0	0	0
regulation of juvenile hormone catabolic process	GO_0045952	0	1	0	0	0
regulation of juvenile hormone biosynthetic process	GO_0007557	0	1	0	0	0
regulation of gibberellin biosynthetic process	GO_0010371	0	1	0	0	0
regulation of gibberellic acid mediated signaling pathway	GO_0009937	0	1	0	0	0
regulation of abscisic acid-activated signaling pathway	GO_0009787	0	1	0	0	0
regulation of abscisic acid biosynthetic process	GO_0010115	0	1	0	0	0
positive regulation of retinoic acid biosynthetic process	GO_1900054	0	1	0	0	0
positive regulation of juvenile hormone secretion	GO_0045973	0	1	0	0	0
positive regulation of juvenile hormone metabolic process	GO_0045929	0	1	0	0	0
positive regulation of juvenile hormone catabolic process	GO_0045971	0	1	0	0	0
positive regulation of juvenile hormone biosynthetic process	GO_0045969	0	1	0	0	0
positive regulation of gibberellin biosynthetic process	GO_0010372	0	1	0	0	0
positive regulation of gibberellic acid mediated signaling pathway	GO_0009939	0	1	0	0	0
positive regulation of abscisic acid-activated signaling pathway	GO_0009789	0	1	0	0	0
positive regulation of abscisic acid biosynthetic process	GO_0010116	0	1	0	0	0
polyterpenoid metabolic process	GO_0016111	0	1	0	0	0
polyterpenoid catabolic process	GO_0016113	0	1	0	0	0
polyterpenoid biosynthetic process	GO_0016112	0	1	0	0	0
phytyl diphosphate metabolic process	GO_0033519	0	1	0	0	0
phytyl diphosphate biosynthetic process	GO_0033521	0	1	0	0	0
phytol salvage	GO_0033307	0	1	0	0	0
phytol metabolic process	GO_0033306	0	1	0	0	0
phytol biosynthetic process	GO_0033520	0	1	0	0	0
phorbol ester receptor activity	GO_0001565	0	1	0	0	0
phaseic acid biosynthetic process	GO_0010379	0	1	0	0	0
pentalenolactone metabolic process	GO_1901778	0	1	0	0	0
pentalenolactone catabolic process	GO_1901779	0	1	0	0	0
pentalenolactone biosynthetic process	GO_1901780	0	1	0	0	0
pentacyclic triterpenoid metabolic process	GO_0019742	0	1	0	0	0
pentacyclic triterpenoid catabolic process	GO_0019741	0	1	0	0	0
pentacyclic triterpenoid biosynthetic process	GO_0019745	0	1	0	0	0
paclitaxel metabolic process	GO_0042616	0	1	0	0	0
paclitaxel biosynthetic process	GO_0042617	0	1	0	0	0
non-kinase phorbol ester receptor activity	GO_0001566	0	1	0	0	0
negative regulation of retinoic acid biosynthetic process	GO_1900053	0	1	0	0	0
negative regulation of juvenile hormone secretion	GO_0045972	0	1	0	0	0
negative regulation of juvenile hormone metabolic process	GO_0045928	0	1	0	0	0
negative regulation of juvenile hormone catabolic process	GO_0045970	0	1	0	0	0
negative regulation of juvenile hormone biosynthetic process	GO_0045968	0	1	0	0	0
negative regulation of gibberellin biosynthetic process	GO_0010373	0	1	0	0	0
negative regulation of gibberellic acid mediated signaling pathway	GO_0009938	0	1	0	0	0
negative regulation of abscisic acid-activated signaling pathway	GO_0009788	0	1	0	0	0
negative regulation of abscisic acid biosynthetic process	GO_0090359	0	1	0	0	0
monoterpenoid metabolic process	GO_0016098	0	1	0	0	0
monoterpenoid catabolic process	GO_0016100	0	1	0	0	0
monoterpenoid biosynthetic process	GO_0016099	0	1	0	0	0
menthol metabolic process	GO_0031524	0	1	0	0	0
menthol biosynthetic process	GO_0031525	0	1	0	0	0
juvenile hormone secretion	GO_0045443	0	1	0	0	0
juvenile hormone receptor activity	GO_0004880	0	1	0	0	0
juvenile hormone metabolic process	GO_0006716	0	1	0	0	0
juvenile hormone catabolic process	GO_0006719	0	1	0	0	0
juvenile hormone biosynthetic process	GO_0006718	0	1	0	0	0
juvenile hormone binding	GO_0005500	0	1	0	0	0
hopanoid metabolic process	GO_0019744	0	1	0	0	0
