name	ID	manual	auto	checked	blacklisted	is_obsolete
transcriptional start site selection at bacterial-type RNA polymerase promoter	GO_0001176	1	1	1	0	0
transcriptional start site selection at RNA polymerase III promoter	GO_0001175	1	1	1	0	0
transcriptional start site selection at RNA polymerase II promoter	GO_0001174	1	1	1	0	0
transcriptional open complex formation at bacterial-type RNA polymerase promoter	GO_0001127	1	1	1	0	0
transcriptional open complex formation at RNA polymerase II promoter	GO_0001113	1	1	1	0	0
transcription, RNA-templated	GO_0001172	1	1	1	0	0
transcription, DNA-templated	GO_0006351	1	1	1	0	0
transcription ternary complex disassembly	GO_0001118	1	1	1	0	0
transcription termination from bacterial-type RNA polymerase promoter	GO_0001125	1	1	1	0	0
transcription of nuclear large rRNA transcript from RNA polymerase I promoter	GO_0042790	1	1	1	0	0
transcription initiation from mitochondrial promoter	GO_0006391	1	1	1	0	0
transcription initiation from bacterial-type RNA polymerase promoter	GO_0001123	1	1	1	0	0
transcription initiation from RNA polymerase III type 3 promoter	GO_0001024	1	1	1	0	0
transcription initiation from RNA polymerase III type 2 promoter	GO_0001023	1	1	1	0	0
transcription initiation from RNA polymerase III type 1 promoter	GO_0001022	1	1	1	0	0
transcription initiation from RNA polymerase III promoter	GO_0006384	1	1	1	0	0
transcription initiation from RNA polymerase III hybrid type promoter	GO_0001036	1	1	1	0	0
transcription initiation from RNA polymerase II promoter	GO_0006367	1	1	1	0	0
transcription initiation from RNA polymerase I promoter for nuclear large rRNA transcript	GO_0001180	1	1	1	0	0
transcription initiation from RNA polymerase I promoter	GO_0006361	1	1	1	0	0
transcription from plastid promoter	GO_0042793	1	1	1	0	0
transcription from mitochondrial promoter	GO_0006390	1	1	1	0	0
transcription from bacterial-type RNA polymerase promoter	GO_0001121	1	1	1	0	0
transcription from a RNA polymerase III hybrid type promoter	GO_0001041	1	1	1	0	0
transcription from RNA polymerase V promoter	GO_0001060	1	1	1	0	0
transcription from RNA polymerase IV promoter	GO_0001059	1	1	1	0	0
transcription from RNA polymerase III type 3 promoter	GO_0001035	1	1	1	0	0
transcription from RNA polymerase III type 2 promoter	GO_0001009	1	1	1	0	0
transcription from RNA polymerase III promoter	GO_0006383	1	1	1	0	0
transcription from RNA polymerase II promoter	GO_0006366	1	1	1	0	0
transcription from RNA polymerase I promoter	GO_0006360	1	1	1	0	0
transcription elongation from mitochondrial promoter	GO_0006392	1	1	1	0	0
transcription elongation from bacterial-type RNA polymerase promoter	GO_0001124	1	1	1	0	0
transcription elongation from RNA polymerase III promoter	GO_0006385	1	1	1	0	0
transcription elongation from RNA polymerase II promoter	GO_0006368	1	1	1	0	0
transcription elongation from RNA polymerase I promoter for nuclear large rRNA transcript	GO_0001183	1	1	1	0	0
transcription elongation from RNA polymerase I promoter	GO_0006362	1	1	1	0	0
termination of mitochondrial transcription	GO_0006393	1	1	1	0	0
termination of RNA polymerase III transcription	GO_0006386	1	1	1	0	0
termination of RNA polymerase II transcription, poly(A)-coupled	GO_0030846	1	1	1	0	0
termination of RNA polymerase II transcription, exosome-dependent	GO_0030847	1	1	1	0	0
termination of RNA polymerase II transcription	GO_0006369	1	1	1	0	0
termination of RNA polymerase I transcription from promoter for nuclear large rRNA transcript	GO_0001185	1	1	1	0	0
termination of RNA polymerase I transcription	GO_0006363	1	1	1	0	0
snoRNA transcription from an RNA polymerase II promoter	GO_0001015	1	1	1	0	0
snoRNA transcription from a type 2 RNA polymerase III promoter	GO_0001014	1	1	1	0	0
sequence-specific DNA binding RNA polymerase III transcription factor activity	GO_0001034	1	1	1	0	0
sequence-specific DNA binding RNA polymerase II transcription factor activity	GO_0000981	1	1	1	0	0
promoter clearance from bacterial-type RNA polymerase promoter	GO_0001122	1	1	1	0	0
promoter clearance from RNA polymerase III promoter	GO_0001110	1	1	1	0	0
promoter clearance from RNA polymerase II promoter	GO_0001111	1	1	1	0	0
promoter clearance from RNA polymerase I promoter for nuclear large rRNA transcript	GO_0001184	1	1	1	0	0
promoter clearance from RNA polymerase I promoter	GO_0001182	1	1	1	0	0
promoter clearance during DNA-templated transcription	GO_0001109	1	1	1	0	0
plastid single subunit type RNA polymerase activity	GO_0001066	1	1	1	0	0
plastid PEP-B RNA polymerase activity	GO_0001063	1	1	1	0	0
plastid PEP-A RNA polymerase activity	GO_0001062	1	1	1	0	0
mitochondrial single subunit type RNA polymerase activity	GO_0001065	1	1	1	0	0
maintenance of transcriptional fidelity during DNA-templated transcription elongation from bacterial-type RNA polymerase promoter	GO_0001194	1	1	1	0	0
maintenance of transcriptional fidelity during DNA-templated transcription elongation from RNA polymerase III promoter	GO_0001195	1	1	1	0	0
maintenance of transcriptional fidelity during DNA-templated transcription elongation from RNA polymerase II promoter	GO_0001193	1	1	1	0	0
maintenance of transcriptional fidelity during DNA-templated transcription elongation	GO_0001192	1	1	1	0	0
mRNA transcription from RNA polymerase II promoter	GO_0042789	1	1	1	0	0
core RNA polymerase III binding transcription factor activity	GO_0000995	1	1	1	0	0
core RNA polymerase II binding transcription factor activity	GO_0000991	1	1	1	0	0
bacterial-type RNA polymerase preinitiation complex assembly	GO_0001126	1	1	1	0	0
bacterial-type RNA polymerase activity	GO_0001061	1	1	1	0	0
TFIIIB-type transcription factor activity	GO_0001026	1	1	1	0	0
TFIIH-class binding transcription factor activity	GO_0001090	1	1	1	0	0
TFIIF-class binding transcription factor activity	GO_0001089	1	1	1	0	0
TFIIE-class binding transcription factor activity	GO_0001088	1	1	1	0	0
TFIID-class binding transcription factor activity	GO_0001084	1	1	1	0	0
TFIIB-class binding transcription factor activity	GO_0001087	1	1	1	0	0
TFIIA-class binding transcription factor activity	GO_0001086	1	1	1	0	0
RNA polymerase V activity	GO_0001058	1	1	1	0	0
RNA polymerase IV activity	GO_0001057	1	1	1	0	0
RNA polymerase III type 3 promoter transcriptional preinitiation complex assembly	GO_0001020	1	1	1	0	0
RNA polymerase III type 3 promoter TFIIIB-type transcription factor activity	GO_0001029	1	1	1	0	0
