name	ID	manual	auto	checked	blacklisted
xanthine phosphoribosyltransferase activity	GO_0000310	1	1	1	0
trans-hexaprenyltranstransferase activity	GO_0000010	1	1	1	0
phosphoethanolamine N-methyltransferase activity	GO_0000234	1	1	1	0
phosphatidyl-N-methylethanolamine N-methyltransferase activity	GO_0000773	1	1	1	0
nicotinamide-nucleotide adenylyltransferase activity	GO_0000309	1	1	1	0
[cytochrome c]-lysine N-methyltransferase activity	GO_0000277	1	1	1	0
glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex	GO_0000506	1	0	1	0
zeatin O-beta-D-xylosyltransferase activity	GO_0050404	0	1	0	0
zeatin 9-aminocarboxyethyltransferase activity	GO_0050447	0	1	0	0
xylulokinase activity	GO_0004856	0	1	0	0
xylosyltransferase activity	GO_0042285	0	1	0	0
xylosylprotein 4-beta-galactosyltransferase activity	GO_0046525	0	1	0	0
xyloglucan:xyloglucosyl transferase activity	GO_0016762	0	1	0	0
xyloglucan endotransglucosylase activity	GO_0080039	0	1	0	0
xyloglucan 6-xylosyltransferase activity	GO_0033843	0	1	0	0
xyloglucan 4-glucosyltransferase activity	GO_0033826	0	1	0	0
xylitol kinase activity	GO_0050400	0	1	0	0
vomilenine glucosyltransferase activity	GO_0050506	0	1	0	0
vitexin beta-glucosyltransferase activity	GO_0050395	0	1	0	0
vitexin 2''-O-rhamnoside 7-O-methyltransferase activity	GO_0033801	0	1	0	0
viomycin kinase activity	GO_0050394	0	1	0	0
vinorine synthase activity	GO_0050636	0	1	0	0
vascular endothelial growth factor-activated receptor activity	GO_0005021	0	1	0	0
valine-pyruvate transaminase activity	GO_0009042	0	1	0	0
valine-3-methyl-2-oxovalerate transaminase activity	GO_0047301	0	1	0	0
uroporphyrin-III C-methyltransferase activity	GO_0004851	0	1	0	0
uridylyltransferase activity	GO_0070569	0	1	0	0
uridylate kinase activity	GO_0009041	0	1	0	0
uridine phosphorylase activity	GO_0004850	0	1	0	0
uridine kinase activity	GO_0004849	0	1	0	0
urate-ribonucleotide phosphorylase activity	GO_0050384	0	1	0	0
uracilylalanine synthase activity	GO_0050471	0	1	0	0
uracil phosphoribosyltransferase activity	GO_0004845	0	1	0	0
undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase activity	GO_0050511	0	1	0	0
undecaprenyl-phosphate mannosyltransferase activity	GO_0047267	0	1	0	0
undecaprenyl-phosphate glucose phosphotransferase activity	GO_0089702	0	1	0	0
undecaprenyl-phosphate galactose phosphotransferase activity	GO_0047360	0	1	0	0
undecaprenol kinase activity	GO_0009038	0	1	0	0
ubiquitin-ubiquitin ligase activity	GO_0034450	0	1	0	0
ubiquitin-protein transferase activity	GO_0004842	0	1	0	0
ubiquitin-calmodulin ligase activity	GO_0050372	0	1	0	0
ubiquitin protein ligase activity	GO_0061630	0	1	0	0
ubiquitin conjugating enzyme activity	GO_0061631	0	1	0	0
tyrosine-ester sulfotransferase activity	GO_0017067	0	1	0	0
tyramine N-methyltransferase activity	GO_0030738	0	1	0	0
tyramine N-feruloyltransferase activity	GO_0050366	0	1	0	0
tubulin N-acetyltransferase activity	GO_0019799	0	1	0	0
tryptophan-phenylpyruvate transaminase activity	GO_0047299	0	1	0	0
tryptophan dimethylallyltransferase activity	GO_0050364	0	1	0	0
tryptophan 2-C-methyltransferase activity	GO_0030772	0	1	0	0
tropomyosin kinase activity	GO_0050359	0	1	0	0
triphosphoribosyl-dephospho-CoA synthase activity	GO_0046917	0	1	0	0
triokinase activity	GO_0050354	0	1	0	0
trimethylsulfonium-tetrahydrofolate N-methyltransferase activity	GO_0047147	0	1	0	0
trimethylamine methyltransferase activity	GO_0043834	0	1	0	0
trihydroxystilbene synthase activity	GO_0050350	0	1	0	0
trihydroxypterocarpan dimethylallyltransferase activity	GO_0047292	0	1	0	0
trihydroxyferuloyl spermidine:S-adenosyl-L-methionine O-methyltransferase activity	GO_0080077	0	1	0	0
trihydroxyferuloyl spermidine O-methyltransferase activity	GO_0080012	0	1	0	0
triglyceride-sterol O-acyltransferase activity	GO_0047197	0	1	0	0
triglucosylalkylacylglycerol sulfotransferase activity	GO_0047363	0	1	0	0
trichothecene 3-O-acetyltransferase activity	GO_0045462	0	1	0	0
tricaffeoyl spermidine:S-adenosyl-L-methionine O-methyltransferase activity	GO_0080078	0	1	0	0
trehalose O-mycolyltransferase activity	GO_0050348	0	1	0	0
trehalose 6-phosphate phosphorylase activity	GO_0050503	0	1	0	0
transmembrane-ephrin receptor activity	GO_0005005	0	1	0	0
transmembrane receptor protein tyrosine kinase activity	GO_0004714	0	1	0	0
transmembrane receptor protein serine/threonine kinase activity	GO_0004675	0	1	0	0
transmembrane receptor protein kinase activity	GO_0019199	0	1	0	0
transmembrane receptor histidine kinase activity	GO_0009784	0	1	0	0
transmembrane histidine kinase cytokinin receptor activity	GO_0009885	0	1	0	0
transketolase activity	GO_0004802	0	1	0	0
transforming growth factor beta-activated receptor activity	GO_0005024	0	1	0	0
transforming growth factor beta receptor activity, type III	GO_0070123	0	1	0	0
transforming growth factor beta receptor activity, type II	GO_0005026	0	1	0	0
transforming growth factor beta receptor activity, type I	GO_0005025	0	1	0	0
transferase activity, transferring sulfur-containing groups	GO_0016782	0	1	0	0
transferase activity, transferring selenium-containing groups	GO_0016785	0	1	0	0
transferase activity, transferring phosphorus-containing groups	GO_0016772	0	1	0	0
transferase activity, transferring pentosyl groups	GO_0016763	0	1	0	0
transferase activity, transferring one-carbon groups	GO_0016741	0	1	0	0
transferase activity, transferring nitrogenous groups	GO_0016769	0	1	0	0
transferase activity, transferring hexosyl groups	GO_0016758	0	1	0	0
transferase activity, transferring glycosyl groups	GO_0016757	0	1	0	0
transferase activity, transferring amino-acyl groups	GO_0016755	0	1	0	0
transferase activity, transferring alkylthio groups	GO_0050497	0	1	0	0
transferase activity, transferring alkyl or aryl (other than methyl) groups	GO_0016765	0	1	0	0
transferase activity, transferring aldehyde or ketonic groups	GO_0016744	0	1	0	0
transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer	GO_0046912	0	1	0	0
transferase activity, transferring acyl groups other than amino-acyl groups	GO_0016747	0	1	0	0
transferase activity, transferring acyl groups	GO_0016746	0	1	0	0
transferase activity	GO_0016740	0	1	0	0
transaminase activity	GO_0008483	0	1	0	0
trans-zeatin O-beta-D-glucosyltransferase activity	GO_0050403	0	1	0	0
trans-pentaprenyltranstransferase activity	GO_0048045	0	1	0	0
trans-octaprenyltranstransferase activity	GO_0050347	0	1	0	0
trans-aconitate 3-methyltransferase activity	GO_0046547	0	1	0	0
trans-aconitate 2-methyltransferase activity	GO_0030798	0	1	0	0
trans-9R,10R-dihydrodiolphenanthrene sulfotransferase activity	GO_0018721	0	1	0	0
trans-3,4-dihydrodiolphenanthrene sulfotransferase activity	GO_0018725	0	1	0	0
tomatidine UDP-glucosyltransferase activity	GO_0051509	0	1	0	0
tocopherol O-methyltransferase activity	GO_0050342	0	1	0	0
thyroid-hormone transaminase activity	GO_0033852	0	1	0	0
thymidylate synthase activity	GO_0004799	0	1	0	0
thymidylate synthase (FAD) activity	GO_0050797	0	1	0	0
thymidylate kinase activity	GO_0004798	0	1	0	0
thymidine phosphorylase activity	GO_0009032	0	1	0	0
thymidine kinase activity	GO_0004797	0	1	0	0
thiosulfate-thiol sulfurtransferase activity	GO_0050337	0	1	0	0
thiosulfate-dithiol sulfurtransferase activity	GO_0047362	0	1	0	0
thiosulfate sulfurtransferase activity	GO_0004792	0	1	0	0
thiopurine S-methyltransferase activity	GO_0008119	0	1	0	0
thiol sulfotransferase activity	GO_0033870	0	1	0	0
thiol S-methyltransferase activity	GO_0018708	0	1	0	0
thiohydroximate beta-D-glucosyltransferase activity	GO_0047251	0	1	0	0
thioether S-methyltransferase activity	GO_0004790	0	1	0	0
thioethanolamine S-acetyltransferase activity	GO_0050336	0	1	0	0
thiazole synthase activity	GO_1990107	0	1	0	0
thiamine-phosphate kinase activity	GO_0009030	0	1	0	0
thiamine-phosphate diphosphorylase activity	GO_0004789	0	1	0	0
thiamine-diphosphate kinase activity	GO_0050331	0	1	0	0
thiamine pyridinylase activity	GO_0050332	0	1	0	0
thiamine kinase activity	GO_0019165	0	1	0	0
thiamine diphosphokinase activity	GO_0004788	0	1	0	0
thetin-homocysteine S-methyltransferase activity	GO_0047149	0	1	0	0
thermospermine synthase activity	GO_0010487	0	1	0	0
tetraketide alpha-pyrone synthase activity	GO_0090439	0	1	0	0
tetrahydromethanopterin-dependent serine hydroxymethyltransferase activity	GO_0044685	0	1	0	0
tetrahydromethanopterin S-methyltransferase activity	GO_0030269	0	1	0	0
tetrahydrodipicolinate N-acetyltransferase activity	GO_0047200	0	1	0	0
tetrahydrocolumbamine 2-O-methyltransferase activity	GO_0030762	0	1	0	0
tetraacyldisaccharide 4'-kinase activity	GO_0009029	0	1	0	0
telomeric template RNA reverse transcriptase activity	GO_0003721	0	1	0	0
telomerase activity	GO_0003720	0	1	0	0
tellurite methyltransferase activity	GO_0035797	0	1	0	0
taxadien-5-alpha-ol O-acetyltransferase activity	GO_0050638	0	1	0	0
taurocyamine kinase activity	GO_0050324	0	1	0	0
taurine-pyruvate aminotransferase activity	GO_0031299	0	1	0	0
taurine-2-oxoglutarate transaminase activity	GO_0050322	0	1	0	0
tau-protein kinase activity	GO_0050321	0	1	0	0
tartronate O-hydroxycinnamoyltransferase activity	GO_0047161	0	1	0	0
tagatose-6-phosphate kinase activity	GO_0009024	0	1	0	0
tagatose kinase activity	GO_0050317	0	1	0	0
tRNA-uridine aminocarboxypropyltransferase activity	GO_0016432	0	1	0	0
tRNA-queuosine beta-mannosyltransferase activity	GO_0016438	0	1	0	0
tRNA nucleotidyltransferase activity	GO_0009022	0	1	0	0
tRNA methyltransferase activity	GO_0008175	0	1	0	0
tRNA m6t6A37 methyltransferase activity	GO_0089715	0	1	0	0
tRNA guanylyltransferase activity	GO_0008193	0	1	0	0
tRNA dimethylallyltransferase activity	GO_0052381	0	1	0	0
tRNA cytidylyltransferase activity	GO_0016437	0	1	0	0
tRNA adenylyltransferase activity	GO_0004810	0	1	0	0
tRNA N-acetyltransferase activity	GO_0051392	0	1	0	0
tRNA A64-2'-O-ribosylphosphate transferase activity	GO_0043399	0	1	0	0
tRNA 2-selenouridine synthase activity	GO_0043828	0	1	0	0
tRNA 2'-phosphotransferase activity	GO_0000215	0	1	0	0
tRNA (uracil-2'-O-)-methyltransferase activity	GO_0052665	0	1	0	0
tRNA (uracil) methyltransferase activity	GO_0016300	0	1	0	0
tRNA (m5U54) methyltransferase activity	GO_0030696	0	1	0	0
tRNA (guanosine-2'-O-)-methyltransferase activity	GO_0009020	0	1	0	0
tRNA (guanine-N7-)-methyltransferase activity	GO_0008176	0	1	0	0
tRNA (guanine-N2-)-methyltransferase activity	GO_0004809	0	1	0	0
tRNA (guanine-N1-)-methyltransferase activity	GO_0009019	0	1	0	0
tRNA (guanine) methyltransferase activity	GO_0016423	0	1	0	0
tRNA (guanine(9)-N(1))-methyltransferase activity	GO_0052905	0	1	0	0
tRNA (guanine(37)-N(1))-methyltransferase activity	GO_0052906	0	1	0	0
tRNA (cytosine-5-)-methyltransferase activity	GO_0016428	0	1	0	0
tRNA (cytosine-3-)-methyltransferase activity	GO_0052735	0	1	0	0
tRNA (cytosine-2'-O-)-methyltransferase activity	GO_0052666	0	1	0	0
