manual map name	manual map id	auto map name	auto map id	checked	blacklisted
triglyceride acyl-chain remodeling		'triglyceride acyl-chain remodeling'			
triglyceride biosynthetic process		'triglyceride biosynthetic process'			
triglyceride catabolic process		'triglyceride catabolic process'			
triglyceride homeostasis		'triglyceride homeostasis'			
triglyceride metabolic process		'triglyceride metabolic process'			
triglyceride mobilization		'triglyceride mobilization'			
triglyceride transport		'triglyceride transport'			
triglyceride-rich lipoprotein particle clearance					
triglyceride-rich lipoprotein particle remodeling					
		'triglyceride binding'			
		'cellular response to triglyceride'			
		'cellular triglyceride homeostasis'			
