name	ID	manual	auto	checked	blacklisted	is_obsolete
vacuole organization	GO_0007033	1	1	1	0	0
vacuole inheritance	GO_0000011	1	1	1	0	0
vacuole fusion, non-autophagic	GO_0042144	1	1	1	0	0
vacuolar transport	GO_0007034	1	1	1	0	0
vacuolar transmembrane transport	GO_0034486	1	1	1	0	0
vacuolar proton-transporting V-type ATPase, V1 domain	GO_0000221	1	1	1	0	0
vacuolar proton-transporting V-type ATPase, V0 domain	GO_0000220	1	1	1	0	0
vacuolar protein processing	GO_0006624	1	1	1	0	0
vacuolar phosphate transport	GO_0007037	1	1	1	0	0
vacuolar calcium ion homeostasis	GO_0007036	1	1	1	0	0
vacuolar amino acid transmembrane transport	GO_0034487	1	1	1	0	0
vacuolar acidification	GO_0007035	1	1	1	0	0
storage vacuole	GO_0000322	1	1	1	0	0
protein storage vacuole	GO_0000326	1	1	1	0	0
protein catabolic process in the vacuole	GO_0007039	1	1	1	0	0
plant-type vacuole lumen	GO_0000330	1	1	1	0	0
plant-type vacuole	GO_0000325	1	1	1	0	0
lytic vacuole within protein storage vacuole	GO_0000327	1	1	1	0	0
lytic vacuole	GO_0000323	1	1	1	0	0
fungal-type vacuole membrane	GO_0000329	1	1	1	0	0
fungal-type vacuole lumen	GO_0000328	1	1	1	0	0
fungal-type vacuole	GO_0000324	1	1	1	0	0
extrinsic component of vacuolar membrane	GO_0000306	1	1	1	0	0
contractile vacuole	GO_0000331	1	1	1	0	0
autophagic vacuole membrane	GO_0000421	1	1	1	0	0
vacuolar sequestering of sodium ion	GO_0043182	1	0	1	0	0
vacuolar sequestering	GO_0043181	1	0	1	0	0
vacuolar proton-transporting V-type ATPase complex assembly	GO_0070072	1	0	1	0	0
pre-autophagosomal structure	GO_0000407	1	0	1	0	0
vesicle fusion with vacuole	GO_0051469	0	1	1	0	0
vacuole fusion	GO_0097576	0	1	1	0	0
vacuole	GO_0005773	0	1	1	0	0
vacuolar proton-transporting V-type ATPase complex	GO_0016471	0	1	1	0	0
vacuolar part	GO_0044437	0	1	1	0	0
vacuolar membrane	GO_0005774	0	1	1	0	0
vacuolar lumen	GO_0005775	0	1	1	0	0
vacuolar HOPS complex	GO_1902500	0	1	1	0	0
serotonin secretion by mast cell	GO_0002552	0	1	1	0	0
senescence-associated vacuole	GO_0010282	0	1	1	0	0
secondary lysosome	GO_0005767	0	1	1	0	0
retrograde transport, vacuole to Golgi	GO_0045018	0	1	1	0	0
proteolysis within lysosome associated with antigen processing and presentation	GO_0002500	0	1	1	0	0
protein targeting to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway	GO_0043328	0	1	1	0	0
protein targeting to vacuole involved in autophagy	GO_0071211	0	1	1	0	0
protein targeting to vacuole	GO_0006623	0	1	1	0	0
protein targeting to vacuolar membrane	GO_0044395	0	1	1	0	0
protein targeting to lysosome	GO_0006622	0	1	1	0	0
protein storage vacuole organization	GO_1990019	0	1	1	0	0
protein storage vacuole membrane	GO_0032586	0	1	1	0	0
protein storage vacuole lumen	GO_0034495	0	1	1	0	0
protein localization to vacuole	GO_0072665	0	1	1	0	0
protein localization to vacuolar membrane	GO_1903778	0	1	1	0	0
protein localization to lysosome	GO_0061462	0	1	1	0	0
primary lysosome	GO_0005766	0	1	1	0	0
post-lysosomal vacuole	GO_0032195	0	1	1	0	0
plant-type vacuole membrane	GO_0009705	0	1	1	0	0
phytochelatin import into vacuole	GO_0071995	0	1	1	0	0
phytochelatin 4 import into vacuole	GO_0036248	0	1	1	0	0
