name	ID	manual	auto	checked	blacklisted	is_obsolete
vasculogenesis involved in coronary vascular morphogenesis	GO_0060979	1	1	1	0	0
vasculogenesis	GO_0001570	1	1	1	0	0
vasculature development	GO_0001944	1	1	1	0	0
vascular wound healing	GO_0061042	1	1	1	0	0
vascular smooth muscle cell fate specification	GO_0097082	1	1	1	0	0
vascular smooth muscle cell fate determination	GO_0097083	1	1	1	0	0
vascular smooth muscle cell fate commitment	GO_0097081	1	1	1	0	0
vascular smooth muscle cell differentiation	GO_0035886	1	1	1	0	0
vascular smooth muscle cell development	GO_0097084	1	1	1	0	0
superior vena cava morphogenesis	GO_0060578	1	1	1	0	0
cerebellum vasculature morphogenesis	GO_0061301	1	1	1	0	0
cerebellum vasculature development	GO_0061300	1	1	1	0	0
angioblast cell migration involved in selective angioblast sprouting	GO_0035475	1	1	1	0	0
angioblast cell migration from lateral mesoderm to midline	GO_0035479	1	1	1	0	0
angioblast cell migration	GO_0035476	1	1	1	0	0
angioblast cell differentiation	GO_0035779	1	1	1	0	0
vascular transport	GO_0010232	1	0	1	0	0
vascular smooth muscle contraction	GO_0014829	1	0	1	0	0
vascular process in circulatory system	GO_0003018	1	0	1	0	0
ventral aorta morphogenesis	GO_0035913	0	1	1	0	0
ventral aorta development	GO_0035908	0	1	1	0	0
venous endothelial cell migration involved in lymph vessel development	GO_0060855	0	1	1	0	0
venous endothelial cell fate commitment	GO_0060845	0	1	1	0	0
venous endothelial cell differentiation	GO_0060843	0	1	1	0	0
venous blood vessel morphogenesis	GO_0048845	0	1	1	0	0
venous blood vessel development	GO_0060841	0	1	1	0	0
vascular endothelial growth factor receptor signaling pathway involved in lymphatic endothelial cell fate commitment	GO_0060851	0	1	1	0	0
sprouting angiogenesis	GO_0002040	0	1	1	0	0
selective angioblast sprouting	GO_0035474	0	1	1	0	0
retinal blood vessel morphogenesis	GO_0061304	0	1	1	0	0
retina vasculature morphogenesis in camera-type eye	GO_0061299	0	1	1	0	0
retina vasculature development in camera-type eye	GO_0061298	0	1	1	0	0
renal system vasculature morphogenesis	GO_0061438	0	1	1	0	0
renal system vasculature development	GO_0061437	0	1	1	0	0
renal artery morphogenesis	GO_0061441	0	1	1	0	0
regulation of venous endothelial cell fate commitment	GO_2000787	0	1	1	0	0
regulation of vasculogenesis	GO_2001212	0	1	1	0	0
regulation of vasculature development	GO_1901342	0	1	1	0	0
regulation of vascular wound healing	GO_0061043	0	1	1	0	0
regulation of transcription involved in venous endothelial cell fate commitment	GO_0060852	0	1	1	0	0
