name	ID	manual	auto	checked	blacklisted	is_obsolete
virus-infected cell apoptotic process	GO_0006926	1	0	1	1	1
virus tail fiber assembly	GO_0098004	1	0	1	0	0
virus maturation	GO_0019075	1	0	1	0	0
virus induced gene silencing	GO_0009616	1	0	1	0	0
virus baseplate assembly	GO_0098045	1	0	1	0	0
virulence	GO_0009406	1	0	1	1	1
virion attachment to host cell	GO_0019062	1	0	1	0	0
virion assembly	GO_0019068	1	0	1	0	0
viral-induced premature senescence	GO_0090401	1	0	1	0	0
viral triggering of virus induced gene silencing	GO_0060150	1	0	1	0	0
viral transmission by vector	GO_0044009	1	0	1	0	0
viral translation	GO_0019081	1	0	1	0	0
viral transcription	GO_0019083	1	0	1	0	0
viral tail assembly	GO_0098003	1	0	1	0	0
viral scaffold assembly and maintenance	GO_0046807	1	0	1	0	0
viral replication complex formation and maintenance	GO_0046786	1	0	1	0	0
viral replication	GO_0008166	1	0	1	1	1
viral release from host cell	GO_0019076	1	0	1	0	0
viral protein processing	GO_0019082	1	0	1	0	0
viral process	GO_0016032	1	0	1	0	0
viral procapsid maturation	GO_0046797	1	0	1	0	0
viral penetration into host nucleus	GO_0075732	1	0	1	0	0
viral mRNA export from host cell nucleus	GO_0046784	1	0	1	0	0
viral life cycle	GO_0019058	1	0	1	0	0
viral latency	GO_0019042	1	0	1	0	0
viral head-tail joining	GO_0098005	1	0	1	0	0
viral genome replication	GO_0019079	1	0	1	0	0
viral genome packaging	GO_0019072	1	0	1	0	0
viral genome maturation	GO_0019070	1	0	1	0	0
viral gene silencing in virus induced gene silencing	GO_0060145	1	0	1	0	0
viral gene expression	GO_0019080	1	0	1	0	0
viral exocytosis	GO_0046754	1	0	1	0	0
viral entry into host cell via clathrin-mediated endocytosis followed by genetic injection through the endosome membrane	GO_0075705	1	0	1	1	1
viral entry into host cell via caveolin-mediated endocytosis followed by genetic injection through the endosome membrane	GO_0075515	1	0	1	1	1
viral entry into host cell	GO_0046718	1	0	1	0	0
viral capsid secondary envelopment	GO_0046745	1	0	1	0	0
viral capsid precursor transport to host cell nucleus	GO_0046752	1	0	1	0	0
viral capsid assembly	GO_0019069	1	0	1	0	0
viral budding from plasma membrane	GO_0046761	1	0	1	0	0
viral budding from outer nuclear membrane	GO_0046772	1	0	1	0	0
viral budding from nuclear membrane	GO_0046765	1	0	1	0	0
viral budding from inner nuclear membrane	GO_0046771	1	0	1	0	0
viral budding from ER membrane	GO_0046762	1	0	1	0	0
viral budding	GO_0046755	1	0	1	0	0
viral RNA genome packaging	GO_0019074	1	0	1	0	0
viral DNA repair	GO_0046787	1	0	1	0	0
viral DNA genome packaging, headful	GO_0098006	1	0	1	0	0
viral DNA genome packaging, 5' extended cos packaging	GO_0098037	1	0	1	0	0
viral DNA genome packaging, 3' extended cos packaging	GO_0098036	1	0	1	0	0
viral DNA genome packaging via site-specific sequence recognition	GO_0098035	1	0	1	0	0
viral DNA genome packaging	GO_0019073	1	0	1	0	0
viral DNA cleavage involved in viral genome maturation	GO_0019071	1	0	1	0	0
uncoating of virus	GO_0019061	1	0	1	0	0
transport of virus in multicellular host	GO_0046739	1	0	1	0	0
transport of virus in host, tissue to tissue	GO_0046741	1	0	1	0	0
transport of virus in host, cell to cell	GO_0046740	1	0	1	0	0
transport of virus	GO_0046794	1	0	1	0	0
transport of viral material towards nucleus	GO_0075606	1	0	1	0	0
transmission of virus	GO_0019089	1	0	1	0	0
translocation of virus into host cell	GO_0019066	1	0	1	1	1
transformation of host cell by virus	GO_0019087	1	0	1	0	0
suppression by virus of host viral-induced cytoplasmic pattern recognition receptor signaling pathway	GO_0039537	1	0	1	0	0
suppression by virus of host type I interferon-mediated signaling pathway	GO_0039502	1	0	1	0	0
suppression by virus of host type I interferon production	GO_0039501	1	0	1	0	0
suppression by virus of host translation termination	GO_0046773	1	0	1	0	0
suppression by virus of host translation initiation factor activity by induction of host protein dephosphorylation	GO_0039608	1	0	1	0	0
suppression by virus of host translation initiation factor activity	GO_0039611	1	0	1	0	0
suppression by virus of host translation initiation	GO_0039606	1	0	1	0	0
suppression by virus of host translation	GO_0039604	1	0	1	0	0
suppression by virus of host transcription initiation from RNA polymerase II promoter	GO_0039602	1	0	1	0	0
suppression by virus of host tetherin activity	GO_0039587	1	0	1	0	0
suppression by virus of host tapasin activity	GO_0039591	1	0	1	0	0
suppression by virus of host receptor activity	GO_0039508	1	0	1	0	0
suppression by virus of host protein tyrosine kinase activity	GO_0039512	1	0	1	0	0
suppression by virus of host protein phosphorylation	GO_0039613	1	0	1	0	0
suppression by virus of host protein kinase activity	GO_0039584	1	0	1	0	0
suppression by virus of host peptidoglycan biosynthetic process	GO_0039635	1	0	1	0	0
suppression by virus of host pattern recognition receptor activity	GO_0039509	1	0	1	0	0
suppression by virus of host molecular function	GO_0039507	1	0	1	0	0
suppression by virus of host mRNA splicing	GO_0046780	1	0	1	0	0
suppression by virus of host mRNA processing	GO_0039524	1	0	1	0	0
suppression by virus of host mRNA export from nucleus	GO_0039522	1	0	1	0	0
suppression by virus of host intracellular interferon activity	GO_0046774	1	0	1	0	0
suppression by virus of host interferon receptor activity	GO_0039511	1	0	1	0	0
suppression by virus of host exit from mitosis	GO_0039593	1	0	1	0	0
