name	ID	manual	auto	checked	blacklisted
positive regulation of sequestering of zinc ion	GO_0061090	0	1	0	0
zinc ion transmembrane import	GO_0071578	1	0	1	0
zinc potentiation of synaptic transmission, glycinergic	GO_0060095	1	0	1	0
sequestering of zinc ion	GO_0032119	0	1	0	0
zinc ion transport	GO_0006829	1	0	1	0
regulation of sequestering of zinc ion	GO_0061088	0	1	0	0
negative regulation of sequestering of zinc ion	GO_0061089	0	1	0	0
zinc ion homeostasis	GO_0055069	1	1	1	0
cellular zinc ion homeostasis	GO_0006882	0	1	0	0
zinc ion transmembrane transport	GO_0071577	1	0	1	0
